Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-26_09h28m13s,30m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h28m18s,98m;0,000000387288;0,000000060203;0,795988160606;-0,021612275418;0,000000006260;-0,000000004695;0,000001651808;0,000000296518;0,799996005881;0,032493635789;0,000000009390;-0,000000004695;0,000000615778;0,000000108718;0,797992083244;0,096619160184;0,000000005478;-0,000000002348;0,000000135323;0,000000027338;0,795988160606;0,006442641504;0,000000003913;-0,000000003130;0,000000014818;0,000000010123;-0,157879014755;0,244909435345;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,783964624782;-0,199961390139;0,000000001565;-0,000000001565;0,000004708253;0,000000823923;0,799996005881;0,026481867878;0,000000016433;-0,000000009390;0,000005886698;0,000001385758;0,799996005881;-0,073714263988;0,000000017998;-0,000000005478;0,000003932013;0,000001345068;0,799996005881;-0,053675037615;0,000000015650;-0,000000006260;0,000002367013;0,000000404503;0,799996005881;-0,029627965967;0,000000014867;-0,000000010955;0,000000014818;0,000000010123;0,413238936879;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,120666231831;0,048525016888;0,000000001565;-0,000000001565;0,000003238718;0,000000617343;0,799996005881;0,090607392272;0,000000014085;-0,000000008607;0,000000374768;0,000000140018;0,795988160606;0,166756452490;0,000000010173;-0,000000005478;0,000000014818;0,000000010123;-0,133831943108;-0,085737799812;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,013596584869;-0,047663269703;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,248917280619;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,197957467502;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,161886860030;-0,195953544864;0,000000001565;-0,000000001565;0,000000049248;0,000000013253;0,783964624782;0,295007501278;0,000000001565;-0,000000001565
09h28m26s,02m;0,000000390418;0,000000061768;0,799996005881;-0,017604430143;0,000000005478;-0,000000003130;0,000001628333;0,000000293388;0,797992083244;0,042513248976;0,000000009390;-0,000000004695;0,000000622038;0,000000104023;0,799996005881;0,094615237546;0,000000004695;-0,000000003130;0,000000133758;0,000000028903;0,791980315332;0,030489713152;0,000000003130;-0,000000002348;0,000000013253;0,000000010123;-0,187937854315;0,140705458204;0,000000001565;-0,000000000783;0,000000014818;0,000000010123;0,533474295118;0,104634850733;0,000000001565;-0,000000001565;0,000004733293;0,000000845833;0,799996005881;0,018466177328;0,000000016433;-0,000000008608;0,000005900783;0,000001382628;0,799996005881;-0,081729954537;0,000000018780;-0,000000006260;0,000003925753;0,000001343503;0,799996005881;-0,049667192340;0,000000013303;-0,000000007043;0,000002346668;0,000000399808;0,799996005881;-0,025620120693;0,000000014085;-0,000000010173;0,000000014818;0,000000010123;-0,133831943108;-0,137839788382;0,000000002348;-0,000000001565;0,000000014818;0,000000011688;-0,149863324206;-0,199961390139;0,000000001565;-0,000000001565;0,000003226198;0,000000614213;0,799996005881;0,092611314909;0,000000015650;-0,000000008608;0,000000418588;0,000000160363;0,789976392694;0,150725071391;0,000000012520;-0,000000008608;0,000000014818;0,000000010123;-0,199961390139;0,126677999743;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,197957467502;-0,021612275418;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,110646618645;-0,021612275418;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,135835865745;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,107780948823;-0,157879014755;0,000000001565;-0,000000001565;0,000000049248;0,000000013253;0,783964624782;0,178779988313;0,000000003130;-0,000000001565
09h28m33s,05m;0,000000385723;0,000000060203;0,797992083244;0,036501481064;0,000000006260;-0,000000003130;0,000001640853;0,000000288693;0,799996005881;0,052532862163;0,000000010173;-0,000000003913;0,000000618908;0,000000104023;0,799996005881;0,082591701722;0,000000004695;-0,000000002348;0,000000130628;0,000000027338;0,777952856871;0,070568165898;0,000000003912;-0,000000003130;0,000000013253;0,000000010123;-0,191945699590;-0,141847633657;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,329074186112;-0,195953544864;0,000000001565;-0,000000001565;0,000004731728;0,000000845833;0,799996005881;0,030489713152;0,000000016433;-0,000000008608;0,000005907043;0,000001382628;0,799996005881;-0,069706418714;0,000000019562;-0,000000005478;0,000003927318;0,000001346633;0,799996005881;-0,043655424428;0,000000011738;-0,000000005478;0,000002346668;0,000000410763;0,799996005881;0,002434796230;0,000000014867;-0,000000013302;0,000000014818;0,000000010123;0,042513248976;0,479368383911;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,157879014755;0,246913357982;0,000000001565;-0,000000001565;0,000003218373;0,000000618908;0,799996005881;0,086599546997;0,000000015650;-0,000000007825;0,000000391983;0,000000149408;0,793984237969;0,170764297764;0,000000009390;-0,000000007825;0,000000014818;0,000000010123;0,154732916666;-0,095757412999;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,195953544864;-0,007584816957;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,286991810728;-0,079726031900;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,137839788382;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,164752529852;-0,199961390139;0,000000001565;-0,000000001565;0,000000046118;0,000000011688;0,755909707860;0,242905512708;0,000000002348;-0,000000001565
09h28m40s,06m;0,000000387288;0,000000060203;0,795988160606;-0,007584816957;0,000000005478;-0,000000003130;0,000001578253;0,000000290258;0,797992083244;0,044517171613;0,000000012520;-0,000000006260;0,000000617343;0,000000102458;0,799996005881;0,094615237546;0,000000004695;-0,000000002348;0,000000130628;0,000000027338;0,791980315332;0,054536784800;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;-0,169902550579;-0,107780948823;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,004438718867;-0,199961390139;0,000000001565;-0,000000001565;0,000004734858;0,000000847398;0,799996005881;0,022474022603;0,000000017215;-0,000000008608;0,000005917998;0,000001382628;0,799996005881;-0,075718186625;0,000000024257;-0,000000005478;0,000003911668;0,000001345068;0,799996005881;-0,037643656517;0,000000014085;-0,000000006260;0,000002351363;0,000000401373;0,799996005881;-0,029627965967;0,000000013303;-0,000000014085;0,000000014818;0,000000011688;-0,157879014755;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,185933931678;0,182787833588;0,000000001565;-0,000000001565;0,000003215243;0,000000617343;0,797992083244;0,096619160184;0,000000013303;-0,000000008608;0,000000371638;0,000000143148;0,789976392694;0,168760375127;0,000000004695;-0,000000006260;0,000000014818;0,000000010123;0,387187942594;0,058544630075;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,169902550579;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,785968547420;0,122670154469;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,163890782667;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,383180097320;-0,149863324206;0,000000001565;-0,000000001565;0,000000046118;0,000000013253;0,789976392694;0,004438718867;0,000000002347;-0,000000002347
09h28m47s,07m;0,000000382593;0,000000061768;0,799996005881;0,036501481064;0,000000004695;-0,000000003130;0,000001426448;0,000000280868;0,797992083244;0,052532862163;0,000000009390;-0,000000004695;0,000000618908;0,000000104023;0,799996005881;0,106638773370;0,000000007042;-0,000000003130;0,000000136888;0,000000025773;0,799996005881;0,068564243261;0,000000003130;-0,000000003130;0,000000013253;0,000000010123;-0,199961390139;-0,157879014755;0,000000000783;-0,000000001565;0,000000014818;0,000000010123;-0,175914318491;-0,185933931678;0,000000001565;-0,000000001565;0,000004734858;0,000000845833;0,799996005881;0,030489713152;0,000000016433;-0,000000009390;0,000005905478;0,000001382628;0,799996005881;-0,071710341351;0,000000017998;-0,000000005478;0,000003908538;0,000001346633;0,799996005881;-0,043655424428;0,000000013303;-0,000000007043;0,000002334148;0,000000404503;0,795988160606;-0,019608352781;0,000000014867;-0,000000015650;0,000000014818;0,000000010123;-0,071710341351;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,101769180911;0,086599546997;0,000000001565;-0,000000001565;0,000003226198;0,000000618908;0,799996005881;0,092611314909;0,000000014867;-0,000000007825;0,000000387288;0,000000149408;0,789976392694;0,150725071391;0,000000008607;-0,000000011737;0,000000014818;0,000000011688;-0,049667192340;-0,199961390139;0,000000001565;-0,000000000783;0,000000014818;0,000000010123;0,054536784800;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,119804484646;0,725850868300;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,187937854315;-0,149863324206;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,122670154469;-0,123812329921;0,000000001565;-0,000000001565;0,000000049248;0,000000013253;0,795988160606;-0,023616198055;0,000000002348;-0,000000002347
09h28m54s,10m;0,000000379463;0,000000066463;0,799996005881;-0,043655424428;0,000000003913;-0,000000003130;0,000001327853;0,000000279303;0,797992083244;0,038505403701;0,000000014085;-0,000000009390;0,000000620473;0,000000104023;0,799996005881;0,140705458204;0,000000004695;-0,000000002348;0,000000130628;0,000000027338;0,787972470057;0,066560320624;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;-0,171906473217;-0,093753490361;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,027624043330;-0,199961390139;0,000000001565;-0,000000001565;0,000004730163;0,000000852093;0,799996005881;0,030489713152;0,000000017998;-0,000000008608;0,000005891393;0,000001385758;0,799996005881;-0,071710341351;0,000000019562;-0,000000005478;0,000003897583;0,000001345068;0,799996005881;-0,041651501791;0,000000012520;-0,000000007825;0,000002331018;0,000000396678;0,799996005881;-0,019608352781;0,000000010955;-0,000000013302;0,000000014818;0,000000010123;-0,199961390139;-0,059686805527;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,197957467502;-0,071710341351;0,000000001565;-0,000000001565;0,000003219938;0,000000623603;0,797992083244;0,096619160184;0,000000014085;-0,000000009390;0,000000382593;0,000000146278;0,781960702145;0,164752529852;0,000000008607;-0,000000008607;0,000000014818;0,000000010123;0,074576011173;-0,151867246843;0,000000000783;-0,000000001565;0,000000014818;0,000000010123;0,024477945240;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,019608352781;-0,151867246843;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,571548825227;-0,165894705305;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,171906473217;0,048525016888;0,000000001565;-0,000000001565;0,000000047683;0,000000013253;0,799996005881;-0,017604430143;0,000000003130;-0,000000001565
09h29m01s,13m;0,000000390418;0,000000066463;0,799996005881;-0,041651501791;0,000000004695;-0,000000003130;0,000001576688;0,000000290258;0,797992083244;0,062552475349;0,000000010955;-0,000000005478;0,000000617343;0,000000100893;0,797992083244;0,126677999743;0,000000004695;-0,000000002347;0,000000135323;0,000000027338;0,797992083244;0,070568165898;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;0,044517171613;-0,093753490361;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,667737111818;-0,167898627942;0,000000001565;-0,000000001565;0,000004727033;0,000000850528;0,799996005881;0,028485790515;0,000000017215;-0,000000008608;0,000005907043;0,000001385758;0,799996005881;-0,073714263988;0,000000022693;-0,000000005478;0,000003908538;0,000001346633;0,799996005881;-0,025620120693;0,000000012520;-0,000000006260;0,000002348233;0,000000410763;0,799996005881;0,000430873592;0,000000015650;-0,000000021128;0,000000014818;0,000000010123;-0,081729954537;-0,157879014755;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,117800562009;0,042513248976;0,000000001565;-0,000000001565;0,000003207418;0,000000614213;0,799996005881;0,098623082821;0,000000014867;-0,000000007825;0,000000407633;0,000000161928;0,795988160606;0,178779988313;0,000000009390;-0,000000006260;0,000000014818;0,000000010123;-0,111788794097;-0,139843711020;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,109784871460;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,075718186625;0,060548552712;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,037643656517;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,043655424428;-0,165894705305;0,000000001565;-0,000000001565;0,000000044553;0,000000011688;0,765929321047;-0,123812329921;0,000000002348;-0,000000001565
09h29m08s,15m;0,000000384158;0,000000066463;0,799996005881;0,014458332054;0,000000004695;-0,000000003130;0,000001595468;0,000000293388;0,799996005881;0,058544630075;0,000000009390;-0,000000005478;0,000000622038;0,000000102458;0,799996005881;0,134693690293;0,000000006260;-0,000000002348;0,000000143148;0,000000028903;0,799996005881;0,090607392272;0,000000003912;-0,000000003130;0,000000014818;0,000000010123;-0,141847633657;-0,083733877175;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,077722109263;-0,199961390139;0,000000001565;-0,000000001565;0,000004725468;0,000000850528;0,799996005881;0,032493635789;0,000000017997;-0,000000010173;0,000005882003;0,000001387323;0,799996005881;-0,071710341351;0,000000018780;-0,000000005478;0,000003892888;0,000001346633;0,799996005881;-0,037643656517;0,000000014085;-0,000000007043;0,000002337278;0,000000398243;0,799996005881;-0,031631888605;0,000000012520;-0,000000014085;0,000000014818;0,000000010123;-0,183930009040;-0,157879014755;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,177918241129;-0,133831943108;0,000000001565;-0,000000001565;0,000003212113;0,000000623603;0,799996005881;0,092611314909;0,000000014867;-0,000000009390;0,000000374768;0,000000152538;0,789976392694;0,174772143039;0,000000008608;-0,000000008608;0,000000014818;0,000000010123;0,042513248976;-0,171906473217;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,109784871460;-0,065698573439;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,067702496076;0,174772143039;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,147859401569;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,039647579154;-0,195953544864;0,000000001565;-0,000000000783;0,000000041423;0,000000010123;0,793984237969;0,022474022603;0,000000003130;-0,000000002348
09h29m15s,20m;0,000000371638;0,000000066463;0,799996005881;-0,045659347066;0,000000004695;-0,000000003130;0,000001592338;0,000000296518;0,799996005881;0,066560320624;0,000000009390;-0,000000005478;0,000000622038;0,000000104023;0,799996005881;0,114654463919;0,000000006260;-0,000000003130;0,000000133758;0,000000027338;0,797992083244;0,080587779085;0,000000003912;-0,000000002348;0,000000014818;0,000000010123;-0,093753490361;-0,163890782667;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,735870481487;-0,197957467502;0,000000001565;-0,000000001565;0,000004733293;0,000000852093;0,799996005881;0,032493635789;0,000000018780;-0,000000007825;0,000005869483;0,000001388888;0,799996005881;-0,069706418714;0,000000020345;-0,000000006260;0,000003885063;0,000001345068;0,799996005881;-0,039647579154;0,000000014867;-0,000000009390;0,000002340408;0,000000388853;0,799996005881;-0,017604430143;0,000000014085;-0,000000011738;0,000000014818;0,000000010123;-0,153871169481;-0,123812329921;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,081729954537;-0,199961390139;0,000000001565;-0,000000001565;0,000003172988;0,000000618908;0,799996005881;0,096619160184;0,000000014867;-0,000000007825;0,000000377898;0,000000149408;0,783964624782;0,176776065676;0,000000005478;-0,000000006260;0,000000014818;0,000000010123;-0,173910395854;-0,107780948823;0,000000002348;-0,000000001565;0,000000014818;0,000000010123;-0,113792716734;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,089745645087;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,018466177328;-0,155875092118;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,041651501791;-0,015600507506;0,000000001565;-0,000000001565;0,000000042988;0,000000013253;0,795988160606;0,096619160184;0,000000001565;-0,000000002348
09h29m22s,28m;0,000000363813;0,000000058638;0,797992083244;-0,009588739594;0,000000004695;-0,000000003912;0,000001589208;0,000000298083;0,797992083244;0,056540707437;0,000000009390;-0,000000004695;0,000000618908;0,000000102458;0,795988160606;0,138701535567;0,000000005478;-0,000000002348;0,000000125933;0,000000028903;0,789976392694;-0,011592662231;0,000000003912;-0,000000002348;0,000000014818;0,000000010123;0,104634850733;-0,191945699590;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,777952856871;-0,199961390139;0,000000001565;-0,000000001565;0,000004727033;0,000000847398;0,799996005881;0,036501481064;0,000000017215;-0,000000010173;0,000005863223;0,000001387323;0,799996005881;-0,065698573439;0,000000022692;-0,000000005478;0,000003883498;0,000001346633;0,799996005881;-0,037643656517;0,000000012520;-0,000000007825;0,000002338843;0,000000401373;0,799996005881;-0,019608352781;0,000000010173;-0,000000009390;0,000000014818;0,000000010123;-0,181926086403;-0,041651501791;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,071710341351;0,060548552712;0,000000001565;-0,000000001565;0,000003188638;0,000000618908;0,799996005881;0,092611314909;0,000000014867;-0,000000009390;0,000000371638;0,000000154103;0,723846945663;0,166756452490;0,000000012520;-0,000000014085;0,000000014818;0,000000010123;-0,017604430143;0,601607664787;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,176776065676;-0,181926086403;0,000000001565;-0,000000000783;0,000000014818;0,000000011688;-0,199961390139;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,038505403701;0,733866558850;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,037643656517;-0,081729954537;0,000000001565;-0,000000001565;0,000000041423;0,000000014818;0,743886172036;-0,079726031900;0,000000002348;-0,000000002348
