Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-31_20h07m40s,08m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
20h07m45s,85m;0,000002036798;0,000000215138;0,797992083244;-0,173910395854;0,000000010955;-0,000000003912;0,000001518783;-0,000000240277;0,797992083244;-0,199961390139;0,000000021127;-0,000000002347;0,000002166693;0,000000030468;0,799996005881;-0,199961390139;0,000000014868;-0,000000001565;0,000000518748;0,000000219833;0,799996005881;-0,009588739594;0,000000005478;-0,000000006260;0,000002068098;0,000000409198;0,799996005881;-0,059686805527;0,000000009390;-0,000000006260;0,000000091503;-0,000000013352;-0,103773103548;0,028485790515;0,000000003130;-0,000000004695;0,000000030468;0,000000013253;0,791980315332;-0,089745645087;0,000000002348;-0,000000003130;0,000000089938;0,000000017948;0,797992083244;0,208838827873;0,000000002348;-0,000000003130;0,000000013253;0,000000008558;0,094615237546;-0,197957467502;0,000000001565;-0,000000001565;0,000000069593;0,000000016383;0,781960702145;-0,069706418714;0,000000002348;-0,000000002348;0,000000398243;0,000000152538;0,797992083244;0,146717226116;0,000000003912;-0,000000003130;0,000000388853;0,000000075853;0,797992083244;-0,007584816957;0,000000003913;-0,000000003130;0,000000647078;0,000000097763;0,799996005881;0,112650541282;0,000000005478;-0,000000003130;0,000003090043;0,000000659598;0,799996005881;-0,035639733879;0,000000014085;-0,000000016433;0,000002143218;0,000000420153;0,799996005881;-0,059686805527;0,000000010173;-0,000000004695;0,000002039928;0,000000407633;0,799996005881;-0,033635811242;0,000000012520;-0,000000005478;0,000000014818;0,000000010123;-0,091749567724;0,058544630075;0,000000001565;-0,000000001565;0,000000404503;0,000000082113;0,795988160606;-0,037643656517;0,000000003130;-0,000000001565;0,000000212008;0,000000044553;0,799996005881;-0,091749567724;0,000000002348;-0,000000001565;0,000000016383;0,000000006993;0,607619432699;-0,035639733879;0,000000003130;-0,000000003130
20h07m53s,01m;0,000001805178;0,000000063333;0,799996005881;-0,179922163766;0,000000011737;-0,000000010173;0,000001490613;-0,000000068127;0,799996005881;-0,199961390139;0,000000023475;-0,000000003913;0,000002016453;0,000000201053;0,797992083244;-0,199961390139;0,000000011738;-0,000000003912;0,000000503098;0,000000246438;0,771941088959;0,066560320624;0,000000007825;-0,000000007043;0,000001935073;0,000000412328;0,799996005881;0,024477945240;0,000000010173;-0,000000007043;0,000000171318;0,000000047683;-0,199961390139;0,140705458204;0,000000003130;-0,000000003912;0,000000030468;0,000000013253;0,771941088959;-0,143851556294;0,000000002348;-0,000000002348;0,000000083678;0,000000019513;0,797992083244;0,198819214687;0,000000002348;-0,000000003130;0,000000013253;0,000000006993;0,148721148754;-0,199961390139;0,000000001565;-0,000000002348;0,000000066463;0,000000016383;0,797992083244;-0,045659347066;0,000000002348;-0,000000002348;0,000000401373;0,000000152538;0,799996005881;0,198819214687;0,000000003912;-0,000000003130;0,000000379463;0,000000080548;0,795988160606;0,010450486779;0,000000003130;-0,000000003130;0,000000626733;0,000000094633;0,799996005881;0,126677999743;0,000000004695;-0,000000003913;0,000003019618;0,000000656468;0,797992083244;0,004438718867;0,000000015650;-0,000000017215;0,000002111918;0,000000420153;0,799996005881;-0,023616198055;0,000000008608;-0,000000005478;0,000002021148;0,000000404503;0,799996005881;-0,025620120693;0,000000009390;-0,000000006260;0,000000014818;0,000000010123;-0,135835865745;-0,183930009040;0,000000001565;-0,000000001565;0,000000399808;0,000000077418;0,799996005881;0,014458332054;0,000000003130;-0,000000002348;0,000000208878;0,000000044553;0,791980315332;-0,085737799812;0,000000002348;-0,000000001565;0,000000014818;0,000000006993;0,377168329408;-0,159882937393;0,000000001565;-0,000000002348
20h08m00s,13m;0,000001848998;0,000000083678;0,795988160606;-0,199961390139;0,000000010173;-0,000000004695;0,000001487483;0,000000046118;0,795988160606;-0,199961390139;0,000000017997;-0,000000002347;0,000002014888;0,000000276173;0,799996005881;-0,199961390139;0,000000012520;-0,000000003130;0,000000471798;0,000000212008;0,789976392694;0,098623082821;0,000000006260;-0,000000006260;0,000001902208;0,000000410763;0,791980315332;0,044517171613;0,000000010955;-0,000000007043;0,000000233918;0,000000074288;-0,199961390139;0,142709380842;0,000000002348;-0,000000004695;0,000000030468;0,000000013253;0,793984237969;-0,115796639372;0,000000001565;-0,000000002348;0,000000080548;0,000000019513;0,789976392694;0,230881976884;0,000000003912;-0,000000003912;0,000000013253;0,000000008558;-0,029627965967;-0,195953544864;0,000000001565;-0,000000001565;0,000000063333;0,000000013253;0,791980315332;-0,043655424428;0,000000002347;-0,000000002347;0,000000393548;0,000000154103;0,797992083244;0,230881976884;0,000000003913;-0,000000003130;0,000000371638;0,000000077418;0,797992083244;-0,005580894319;0,000000003913;-0,000000003130;0,000000623603;0,000000093068;0,799996005881;0,176776065676;0,000000005477;-0,000000005478;0,000002986753;0,000000658033;0,799996005881;0,020470099966;0,000000016432;-0,000000014867;0,000002086878;0,000000417023;0,799996005881;-0,009588739594;0,000000010173;-0,000000005478;0,000001975763;0,000000402938;0,799996005881;-0,001573049045;0,000000010955;-0,000000007043;0,000000014818;0,000000010123;-0,055678960252;0,182787833588;0,000000001565;-0,000000001565;0,000000391983;0,000000080548;0,793984237969;-0,001573049045;0,000000004695;-0,000000002348;0,000000204183;0,000000044553;0,793984237969;-0,055678960252;0,000000002348;-0,000000001565;0,000000016383;0,000000008558;0,595595896875;-0,199961390139;0,000000002348;-0,000000002348
20h08m07s,19m;0,000001952288;0,000000089938;0,799996005881;-0,199961390139;0,000000011738;-0,000000005478;0,000001537563;0,000000102458;0,799996005881;-0,199961390139;0,000000017215;-0,000000001565;0,000002035233;0,000000340338;0,799996005881;-0,199961390139;0,000000010173;-0,000000002348;0,000000423283;0,000000179143;0,773945011596;0,124674077106;0,000000005478;-0,000000006260;0,000001895948;0,000000409198;0,797992083244;0,056540707437;0,000000008607;-0,000000007043;0,000000263653;0,000000097763;-0,199961390139;0,170764297764;0,000000003130;-0,000000004695;0,000000028903;0,000000011688;0,727854790938;-0,121808407284;0,000000003130;-0,000000002348;0,000000078983;0,000000016383;0,789976392694;0,238897667433;0,000000003912;-0,000000003912;0,000000014818;0,000000008558;0,663729266544;-0,181926086403;0,000000001565;-0,000000001565;0,000000063333;0,000000016383;0,779956779508;-0,035639733879;0,000000002348;-0,000000003130;0,000000390418;0,000000154103;0,795988160606;0,222866286334;0,000000003130;-0,000000003130;0,000000368508;0,000000075853;0,799996005881;0,002434796230;0,000000003913;-0,000000003130;0,000000615778;0,000000100893;0,799996005881;0,148721148754;0,000000005478;-0,000000003913;0,000002966408;0,000000662728;0,799996005881;0,010450486779;0,000000014867;-0,000000013302;0,000002075923;0,000000417023;0,799996005881;0,006442641504;0,000000009390;-0,000000006260;0,000001977328;0,000000406068;0,797992083244;0,006442641504;0,000000011737;-0,000000008607;0,000000014818;0,000000010123;-0,135835865745;0,092611314909;0,000000001565;-0,000000001565;0,000000393548;0,000000080548;0,797992083244;0,016462254691;0,000000003913;-0,000000002348;0,000000205748;0,000000044553;0,799996005881;-0,025620120693;0,000000002348;-0,000000001565;0,000000016383;0,000000008558;0,587580206326;-0,199961390139;0,000000002348;-0,000000002348
20h08m14s,28m;0,000002000803;0,000000136888;0,797992083244;-0,173910395854;0,000000012520;-0,000000003912;0,000001557908;0,000000091503;0,797992083244;-0,199961390139;0,000000021128;-0,000000001565;0,000002027408;0,000000349728;0,799996005881;-0,199961390139;0,000000009390;-0,000000005478;0,000000418588;0,000000183838;0,785968547420;0,100627005458;0,000000007042;-0,000000007043;0,000001884993;0,000000420153;0,799996005881;0,034497558427;0,000000014085;-0,000000007043;0,000000262088;0,000000097763;-0,199961390139;0,130685845018;0,000000003130;-0,000000003913;0,000000028903;0,000000011688;0,769937166321;-0,157879014755;0,000000002348;-0,000000002348;0,000000080548;0,000000019513;0,791980315332;0,232885899521;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;0,226874131609;-0,183930009040;0,000000001565;-0,000000001565;0,000000064898;0,000000014818;0,795988160606;-0,015600507506;0,000000002347;-0,000000001565;0,000000385723;0,000000154103;0,799996005881;0,226874131609;0,000000003912;-0,000000003130;0,000000368508;0,000000074288;0,797992083244;0,030489713152;0,000000003912;-0,000000002348;0,000000614213;0,000000097763;0,799996005881;0,168760375127;0,000000005478;-0,000000003913;0,000002961713;0,000000658033;0,799996005881;0,024477945240;0,000000015650;-0,000000014867;0,000002071228;0,000000418588;0,799996005881;0,004438718867;0,000000009390;-0,000000005478;0,000001986718;0,000000407633;0,799996005881;0,004438718867;0,000000010173;-0,000000006260;0,000000014818;0,000000010123;-0,029627965967;0,192807446775;0,000000001565;-0,000000001565;0,000000387288;0,000000080548;0,795988160606;0,024477945240;0,000000003913;-0,000000002347;0,000000204183;0,000000044553;0,797992083244;-0,045659347066;0,000000002348;-0,000000002348;0,000000016383;0,000000006993;0,581568438414;-0,137839788382;0,000000002348;-0,000000002348
20h08m21s,37m;0,000002018018;0,000000130628;0,799996005881;-0,195953544864;0,000000011737;-0,000000003912;0,000001503133;0,000000069593;0,797992083244;-0,199961390139;0,000000015650;-0,000000001565;0,000002014888;0,000000357553;0,799996005881;-0,199961390139;0,000000011738;-0,000000002348;0,000000409198;0,000000176013;0,799996005881;0,114654463919;0,000000007825;-0,000000008607;0,000001869343;0,000000415458;0,799996005881;0,048525016888;0,000000010955;-0,000000007042;0,000000291823;0,000000113413;-0,199961390139;0,130685845018;0,000000002348;-0,000000003913;0,000000028903;0,000000011688;0,771941088959;-0,199961390139;0,000000002348;-0,000000002348;0,000000077418;0,000000017948;0,799996005881;0,206834905236;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;0,072572088536;-0,171906473217;0,000000001565;-0,000000001565;0,000000066463;0,000000016383;0,799996005881;-0,029627965967;0,000000001565;-0,000000002348;0,000000387288;0,000000154103;0,797992083244;0,228878054246;0,000000003913;-0,000000003130;0,000000368508;0,000000078983;0,797992083244;0,028485790515;0,000000003912;-0,000000003130;0,000000607953;0,000000094633;0,799996005881;0,178779988313;0,000000007042;-0,000000003912;0,000002957018;0,000000659598;0,799996005881;0,022474022603;0,000000017215;-0,000000014867;0,000002068098;0,000000418588;0,799996005881;0,008446564142;0,000000010955;-0,000000006260;0,000001983588;0,000000406068;0,799996005881;0,016462254691;0,000000010173;-0,000000007043;0,000000014818;0,000000010123;-0,199961390139;-0,059686805527;0,000000001565;-0,000000001565;0,000000385723;0,000000080548;0,793984237969;0,038505403701;0,000000003912;-0,000000002348;0,000000204183;0,000000042988;0,799996005881;-0,039647579154;0,000000002348;-0,000000002348;0,000000016383;0,000000006993;0,633670426984;-0,193949622227;0,000000002348;-0,000000002348
20h08m28s,55m;0,000002039928;0,000000124368;0,799996005881;-0,199961390139;0,000000010173;-0,000000003912;0,000001503133;0,000000053943;0,799996005881;-0,199961390139;0,000000019562;-0,000000001565;0,000002005498;0,000000363813;0,797992083244;-0,199961390139;0,000000010173;-0,000000003130;0,000000409198;0,000000182273;0,795988160606;0,106638773370;0,000000007825;-0,000000008608;0,000001867778;0,000000417023;0,799996005881;0,048525016888;0,000000010955;-0,000000006260;0,000000338773;0,000000121238;-0,199961390139;0,150725071391;0,000000003130;-0,000000007825;0,000000028903;0,000000010123;0,755909707860;-0,187937854315;0,000000002348;-0,000000002348;0,000000072723;0,000000017948;0,787972470057;0,307031037102;0,000000002348;-0,000000003130;0,000000013253;0,000000006993;0,345105567211;-0,199961390139;0,000000001565;-0,000000001565;0,000000060203;0,000000013253;0,773945011596;-0,013596584869;0,000000003130;-0,000000002348;0,000000384158;0,000000154103;0,795988160606;0,246913357982;0,000000003130;-0,000000003130;0,000000366943;0,000000069593;0,799996005881;0,024477945240;0,000000004695;-0,000000003912;0,000000595433;0,000000093068;0,799996005881;0,208838827873;0,000000005478;-0,000000003130;0,000002957018;0,000000640818;0,799996005881;0,016462254691;0,000000013302;-0,000000014085;0,000002060273;0,000000420153;0,799996005881;0,024477945240;0,000000011738;-0,000000004695;0,000001964808;0,000000406068;0,799996005881;0,012454409416;0,000000010955;-0,000000007043;0,000000014818;0,000000010123;-0,061690728164;-0,029627965967;0,000000001565;-0,000000001565;0,000000388853;0,000000078983;0,799996005881;0,046521094251;0,000000003130;-0,000000002348;0,000000201053;0,000000044553;0,793984237969;-0,029627965967;0,000000002347;-0,000000002348;0,000000016383;0,000000006993;0,529466449844;-0,019608352781;0,000000002348;-0,000000002348
20h08m35s,72m;0,000002063403;0,000000122803;0,799996005881;-0,199961390139;0,000000010173;-0,000000003130;0,000001495308;0,000000138453;0,797992083244;-0,199961390139;0,000000013303;-0,000000001565;0,000001949158;0,000000341903;0,797992083244;-0,199961390139;0,000000011737;-0,000000004695;0,000000440498;0,000000202618;0,797992083244;0,126677999743;0,000000006260;-0,000000010173;0,000001867778;0,000000421718;0,797992083244;0,056540707437;0,000000009390;-0,000000007043;0,000000252698;0,000000100893;-0,199961390139;0,156736839303;0,000000002348;-0,000000004695;0,000000025773;0,000000011688;0,721843023026;-0,199961390139;0,000000003130;-0,000000002348;0,000000075853;0,000000017948;0,783964624782;0,228878054246;0,000000003130;-0,000000002348;0,000000013253;0,000000008558;-0,079726031900;-0,199961390139;0,000000001565;-0,000000000783;0,000000063333;0,000000017948;0,785968547420;-0,039647579154;0,000000002348;-0,000000002348;0,000000379463;0,000000154103;0,789976392694;0,262944739081;0,000000003912;-0,000000003130;0,000000365378;0,000000075853;0,797992083244;0,062552475349;0,000000003912;-0,000000002348;0,000000600128;0,000000093068;0,797992083244;0,162748607215;0,000000007043;-0,000000003912;0,000002939803;0,000000658033;0,799996005881;0,036501481064;0,000000017215;-0,000000018780;0,000002063403;0,000000420153;0,799996005881;0,010450486779;0,000000009390;-0,000000006260;0,000001963243;0,000000404503;0,799996005881;0,016462254691;0,000000010955;-0,000000007043;0,000000014818;0,000000010123;-0,039647579154;0,002434796230;0,000000001565;-0,000000001565;0,000000393548;0,000000078983;0,799996005881;0,022474022603;0,000000004695;-0,000000002348;0,000000201053;0,000000044553;0,793984237969;-0,059686805527;0,000000002348;-0,000000002348;0,000000016383;0,000000006993;0,675752802367;-0,145855478932;0,000000002348;-0,000000002348
20h08m42s,84m;0,000002066533;0,000000152538;0,799996005881;-0,199961390139;0,000000010173;-0,000000003130;0,000001467138;0,000000144713;0,799996005881;-0,199961390139;0,000000014085;-0,000000001565;0,000001927248;0,000000379463;0,799996005881;-0,199961390139;0,000000010173;-0,000000002348;0,000000437368;0,000000202618;0,797992083244;0,118662309194;0,000000008607;-0,000000008608;0,000001856823;0,000000412328;0,797992083244;0,056540707437;0,000000010173;-0,000000007043;0,000000232353;0,000000074288;-0,199961390139;0,160744684578;0,000000003130;-0,000000003912;0,000000027338;0,000000010123;0,787972470057;0,088603469634;0,000000002347;-0,000000002348;0,000000071158;0,000000017948;0,791980315332;0,248917280619;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;0,042513248976;-0,191945699590;0,000000001565;-0,000000001565;0,000000061768;0,000000014818;0,795988160606;-0,001573049045;0,000000002348;-0,000000002348;0,000000376333;0,000000155668;0,797992083244;0,254929048531;0,000000003912;-0,000000003130;0,000000370073;0,000000078983;0,799996005881;0,036501481064;0,000000003130;-0,000000003130;0,000000600128;0,000000094633;0,791980315332;0,196815292049;0,000000005478;-0,000000004695;0,000002924153;0,000000662728;0,795988160606;0,034497558427;0,000000012520;-0,000000014085;0,000002054013;0,000000418588;0,799996005881;0,018466177328;0,000000008608;-0,000000006260;0,000001958548;0,000000406068;0,799996005881;0,024477945240;0,000000009390;-0,000000006260;0,000000014818;0,000000010123;-0,017604430143;-0,195953544864;0,000000001565;-0,000000001565;0,000000385723;0,000000080548;0,797992083244;0,032493635789;0,000000003130;-0,000000002348;0,000000201053;0,000000044553;0,795988160606;0,004438718867;0,000000002348;-0,000000001565;0,000000016383;0,000000008558;0,581568438414;-0,165894705305;0,000000002348;-0,000000002348
20h08m50s,02m;0,000001928813;0,000000089938;0,799996005881;-0,199961390139;0,000000010955;-0,000000005478;0,000001384193;0,000000021078;0,799996005881;-0,199961390139;0,000000014085;-0,000000003912;0,000001900643;0,000000323123;0,799996005881;-0,199961390139;0,000000010173;-0,000000004695;0,000000418588;0,000000179143;0,787972470057;0,136697612930;0,000000009390;-0,000000008607;0,000001859953;0,000000396678;0,799996005881;0,068564243261;0,000000008607;-0,000000008607;0,000000172883;0,000000058638;-0,199961390139;0,174772143039;0,000000003912;-0,000000003912;0,000000025773;0,000000010123;0,777952856871;-0,059686805527;0,000000002348;-0,000000001565;0,000000075853;0,000000019513;0,795988160606;0,293003578640;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;-0,121808407284;-0,199961390139;0,000000001565;-0,000000001565;0,000000063333;0,000000014818;0,795988160606;0,024477945240;0,000000002347;-0,000000002348;0,000000374768;0,000000155668;0,797992083244;0,238897667433;0,000000003913;-0,000000003130;0,000000363813;0,000000080548;0,799996005881;0,044517171613;0,000000005478;-0,000000003912;0,000000600128;0,000000093068;0,795988160606;0,204830982599;0,000000005478;-0,000000003913;0,000002941368;0,000000670553;0,799996005881;0,038505403701;0,000000023475;-0,000000014867;0,000002054013;0,000000417023;0,799996005881;0,014458332054;0,000000009390;-0,000000004695;0,000001942898;0,000000407633;0,799996005881;0,028485790515;0,000000009390;-0,000000006260;0,000000014818;0,000000010123;-0,139843711020;-0,107780948823;0,000000001565;-0,000000001565;0,000000381028;0,000000078983;0,799996005881;0,034497558427;0,000000003912;-0,000000001565;0,000000199488;0,000000046118;0,795988160606;-0,029627965967;0,000000002348;-0,000000001565;0,000000016383;0,000000006993;0,571548825227;0,212846673148;0,000000002348;-0,000000002348
