Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-31_08h42m53s,29m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
08h42m59s,05m;0,000000254263;0,000000124368;0,797992083244;-0,199961390139;0,000000003130;-0,000000003130;0,000000243308;0,000000010123;0,789976392694;0,044517171613;0,000000005478;-0,000000007043;0,000002005498;0,000000293388;0,799996005881;-0,131828020470;0,000000018780;-0,000000011738;0,000000240178;0,000000033598;0,779956779508;-0,129824097833;0,000000010173;-0,000000010173;0,000002013323;0,000000307473;0,799996005881;-0,031631888605;0,000000014867;-0,000000013302;0,000000030468;-0,000000014917;0,216854518422;-0,199961390139;0,000000003912;-0,000000003912;0,000000030468;0,000000005428;0,763925398409;0,363140870946;0,000000002348;-0,000000003912;0,000000100893;0,000000017948;0,783964624782;0,170764297764;0,000000003130;-0,000000003912;0,000000014818;0,000000008558;0,773945011596;-0,129824097833;0,000000001565;-0,000000001565;0,000000077418;0,000000016383;0,799996005881;0,242905512708;0,000000002348;-0,000000003130;0,000000550048;0,000000136888;0,789976392694;-0,083733877175;0,000000006260;-0,000000004695;0,000000435803;0,000000088373;0,799996005881;-0,029627965967;0,000000009390;-0,000000007043;0,000000698723;0,000000107153;0,799996005881;0,162748607215;0,000000005478;-0,000000004695;0,000003249673;0,000000650208;0,799996005881;-0,033635811242;0,000000014085;-0,000000009390;0,000002443698;0,000000467103;0,797992083244;-0,067702496076;0,000000010955;-0,000000005478;0,000002237118;0,000000420153;0,799996005881;-0,023616198055;0,000000010173;-0,000000005478;0,000000014818;0,000000010123;-0,121808407284;-0,085737799812;0,000000001565;-0,000000001565;0,000000445193;0,000000083678;0,797992083244;-0,027624043330;0,000000003913;-0,000000002348;0,000000222963;0,000000041423;0,797992083244;-0,079726031900;0,000000002348;-0,000000001565;0,000000014818;0,000000006993;0,757913630497;-0,159882937393;0,000000001565;-0,000000001565
08h43m06s,27m;0,000000226093;0,000000006993;0,799996005881;-0,179922163766;0,000000003912;-0,000000002348;0,000000212008;0,000000011688;0,797992083244;0,174772143039;0,000000004695;-0,000000005478;0,000001869343;0,000000304343;0,799996005881;-0,067702496076;0,000000017215;-0,000000005477;0,000000218268;0,000000039858;0,749897939948;-0,043655424428;0,000000007043;-0,000000004695;0,000001897513;0,000000305908;0,799996005881;0,042513248976;0,000000019562;-0,000000010955;0,000000033598;-0,000000027437;0,375164406770;-0,199961390139;0,000000004695;-0,000000004695;0,000000024208;0,000000006993;0,775948934233;0,407227168967;0,000000002348;-0,000000002348;0,000000094633;0,000000016383;0,799996005881;0,274968274905;0,000000003912;-0,000000003130;0,000000013253;0,000000008558;-0,153871169481;-0,193949622227;0,000000001565;-0,000000001565;0,000000072723;0,000000013253;0,789976392694;-0,039647579154;0,000000002348;-0,000000002347;0,000000540658;0,000000130628;0,791980315332;-0,005580894319;0,000000004695;-0,000000003912;0,000000420153;0,000000083678;0,795988160606;0,040509326339;0,000000005478;-0,000000004695;0,000000668988;0,000000108718;0,799996005881;0,176776065676;0,000000006260;-0,000000003912;0,000003169858;0,000000647078;0,799996005881;0,000430873592;0,000000014867;-0,000000010955;0,000002387358;0,000000467103;0,799996005881;-0,033635811242;0,000000025823;-0,000000023475;0,000002193298;0,000000409198;0,799996005881;0,042513248976;0,000000013302;-0,000000010955;0,000000014818;0,000000010123;-0,087741722449;-0,153871169481;0,000000001565;-0,000000001565;0,000000431108;0,000000083678;0,799996005881;0,008446564142;0,000000003912;-0,000000002347;0,000000218268;0,000000042988;0,791980315332;-0,093753490361;0,000000002348;-0,000000002348;0,000000016383;0,000000005428;0,705811641927;0,174772143039;0,000000001565;-0,000000002348
08h43m13s,49m;0,000000216703;0,000000006993;0,799996005881;-0,135835865745;0,000000003912;-0,000000003130;0,000000196358;0,000000008558;0,789976392694;0,208838827873;0,000000005478;-0,000000007042;0,000001823958;0,000000301213;0,797992083244;-0,019608352781;0,000000014085;-0,000000006260;0,000000212008;0,000000038293;0,779956779508;-0,035639733879;0,000000007825;-0,000000007825;0,000001853693;0,000000302778;0,799996005881;0,062552475349;0,000000016433;-0,000000014085;0,000000033598;-0,000000021177;0,497403687646;-0,199961390139;0,000000005478;-0,000000005478;0,000000025773;0,000000005428;0,791980315332;0,451313466988;0,000000002348;-0,000000003913;0,000000093068;0,000000022643;0,799996005881;0,295007501278;0,000000003912;-0,000000003130;0,000000013253;0,000000008558;-0,141847633657;-0,193949622227;0,000000001565;-0,000000001565;0,000000069593;0,000000014818;0,785968547420;0,002434796230;0,000000002348;-0,000000002348;0,000000534398;0,000000133758;0,797992083244;0,000430873592;0,000000003913;-0,000000003912;0,000000424848;0,000000088373;0,795988160606;0,076579933810;0,000000010173;-0,000000006260;0,000000656468;0,000000107153;0,797992083244;0,188799601500;0,000000007825;-0,000000003913;0,000003121343;0,000000647078;0,799996005881;0,030489713152;0,000000019562;-0,000000013302;0,000002362318;0,000000465538;0,799996005881;-0,019608352781;0,000000017215;-0,000000011738;0,000002163563;0,000000388853;0,799996005881;0,076579933810;0,000000021128;-0,000000019562;0,000000014818;0,000000010123;-0,153871169481;-0,115796639372;0,000000001565;-0,000000001565;0,000000421718;0,000000085243;0,799996005881;-0,009588739594;0,000000003130;-0,000000002348;0,000000215138;0,000000042988;0,797992083244;-0,085737799812;0,000000002348;-0,000000002348;0,000000014818;0,000000005428;0,635674349621;-0,183930009040;0,000000001565;-0,000000001565
08h43m20s,60m;0,000000213573;0,000000014818;0,785968547420;-0,155875092118;0,000000003912;-0,000000003130;0,000000196358;0,000000006993;0,793984237969;0,250921203257;0,000000005478;-0,000000006260;0,000001819263;0,000000299648;0,799996005881;0,002434796230;0,000000013302;-0,000000005478;0,000000207313;0,000000038293;0,797992083244;0,006442641504;0,000000006260;-0,000000006260;0,000001834913;0,000000298083;0,799996005881;0,082591701722;0,000000017215;-0,000000014867;0,000000033598;-0,000000025872;0,625654736435;-0,199961390139;0,000000003130;-0,000000003912;0,000000019513;0,000000005428;-0,135835865745;0,671744957093;0,000000003130;-0,000000003130;0,000000089938;0,000000019513;0,797992083244;0,270960429630;0,000000003912;-0,000000003130;0,000000013253;0,000000006993;0,152728994028;0,204830982599;0,000000001565;-0,000000001565;0,000000069593;0,000000013253;0,773945011596;-0,001573049045;0,000000003130;-0,000000003912;0,000000528138;0,000000136888;0,797992083244;0,006442641504;0,000000005478;-0,000000003130;0,000000426413;0,000000083678;0,799996005881;0,048525016888;0,000000010173;-0,000000007825;0,000000647078;0,000000110283;0,799996005881;0,216854518422;0,000000006260;-0,000000003130;0,000003094738;0,000000648643;0,799996005881;0,042513248976;0,000000015650;-0,000000012520;0,000002345103;0,000000449888;0,799996005881;0,020470099966;0,000000031300;-0,000000017215;0,000002149478;0,000000396678;0,799996005881;0,068564243261;0,000000022692;-0,000000010955;0,000000014818;0,000000010123;-0,093753490361;-0,169902550579;0,000000001565;-0,000000001565;0,000000418588;0,000000085243;0,797992083244;0,024477945240;0,000000003912;-0,000000002348;0,000000213573;0,000000041423;0,799996005881;-0,059686805527;0,000000002348;-0,000000002347;0,000000014818;0,000000006993;0,693788106103;-0,197957467502;0,000000001565;-0,000000002348
08h43m27s,67m;0,000000212008;0,000000016383;0,777952856871;-0,089745645087;0,000000003130;-0,000000002348;0,000000193228;0,000000014818;0,799996005881;0,264948661718;0,000000007043;-0,000000009390;0,000001797353;0,000000302778;0,797992083244;0,004438718867;0,000000014085;-0,000000006260;0,000000205748;0,000000038293;0,791980315332;-0,009588739594;0,000000007825;-0,000000006260;0,000001820828;0,000000301213;0,799996005881;0,092611314909;0,000000012520;-0,000000013302;0,000000032033;-0,000000029002;0,435282085890;-0,199961390139;0,000000003912;-0,000000003912;0,000000024208;0,000000005428;0,775948934233;0,463337002812;0,000000003130;-0,000000002348;0,000000086808;0,000000021078;0,793984237969;0,232885899521;0,000000003913;-0,000000003130;0,000000013253;0,000000008558;-0,027624043330;-0,199961390139;0,000000001565;-0,000000001565;0,000000066463;0,000000014818;0,791980315332;-0,005580894319;0,000000003130;-0,000000003130;0,000000526573;0,000000138453;0,797992083244;0,024477945240;0,000000003913;-0,000000003912;0,000000409198;0,000000088373;0,781960702145;0,052532862163;0,000000007825;-0,000000008607;0,000000647078;0,000000102458;0,799996005881;0,226874131609;0,000000005478;-0,000000003912;0,000003074393;0,000000659598;0,799996005881;0,032493635789;0,000000014085;-0,000000014085;0,000002335713;0,000000462408;0,799996005881;0,004438718867;0,000000028170;-0,000000021128;0,000002151043;0,000000388853;0,799996005881;0,076579933810;0,000000018780;-0,000000015650;0,000000014818;0,000000010123;0,353121257760;-0,167898627942;0,000000001565;-0,000000001565;0,000000417023;0,000000083678;0,797992083244;0,024477945240;0,000000004695;-0,000000002348;0,000000212008;0,000000042988;0,791980315332;-0,067702496076;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,793984237969;-0,173910395854;0,000000001565;-0,000000002348
08h43m34s,83m;0,000000210443;0,000000006993;0,795988160606;-0,091749567724;0,000000003130;-0,000000002348;0,000000190098;0,000000010123;0,799996005881;0,284987888091;0,000000004695;-0,000000006260;0,000001791093;0,000000299648;0,799996005881;0,032493635789;0,000000014867;-0,000000007825;0,000000210443;0,000000038293;0,779956779508;0,054536784800;0,000000008608;-0,000000007043;0,000001813003;0,000000301213;0,799996005881;0,086599546997;0,000000016433;-0,000000009390;0,000000032033;-0,000000024307;0,795988160606;-0,199961390139;0,000000004695;-0,000000003913;0,000000028903;0,000000006993;0,777952856871;0,497403687646;0,000000002348;-0,000000003130;0,000000086808;0,000000022643;0,797992083244;0,268956506993;0,000000004695;-0,000000003130;0,000000013253;0,000000008558;0,627658659072;-0,199961390139;0,000000001565;-0,000000001565;0,000000066463;0,000000014818;0,797992083244;0,004438718867;0,000000003130;-0,000000002348;0,000000525008;0,000000138453;0,799996005881;0,016462254691;0,000000003912;-0,000000002348;0,000000410763;0,000000082113;0,799996005881;0,074576011173;0,000000006260;-0,000000007825;0,000000639253;0,000000100893;0,797992083244;0,232885899521;0,000000005478;-0,000000003913;0,000003058743;0,000000656468;0,799996005881;0,044517171613;0,000000016433;-0,000000012520;0,000002331018;0,000000463973;0,799996005881;0,016462254691;0,000000025823;-0,000000013302;0,000002126003;0,000000382593;0,799996005881;0,092611314909;0,000000020345;-0,000000020345;0,000000014818;0,000000010123;-0,141847633657;-0,109784871460;0,000000001565;-0,000000001565;0,000000413893;0,000000083678;0,799996005881;0,006442641504;0,000000003912;-0,000000002348;0,000000212008;0,000000042988;0,799996005881;-0,047663269703;0,000000002348;-0,000000001565;0,000000014818;0,000000005428;0,661725343906;-0,147859401569;0,000000001565;-0,000000001565
08h43m42s,00m;0,000000210443;0,000000010123;0,797992083244;-0,103773103548;0,000000002348;-0,000000002347;0,000000188533;0,000000016383;0,797992083244;0,260940816443;0,000000005478;-0,000000005478;0,000001786398;0,000000304343;0,795988160606;0,038505403701;0,000000014867;-0,000000007043;0,000000205748;0,000000039858;0,789976392694;0,048525016888;0,000000005478;-0,000000005478;0,000001803613;0,000000299648;0,797992083244;0,094615237546;0,000000014867;-0,000000011738;0,000000032033;-0,000000024307;0,701803796653;-0,199961390139;0,000000004695;-0,000000003912;0,000000024208;0,000000006993;0,717835177751;0,375164406770;0,000000002348;-0,000000002348;0,000000086808;0,000000019513;0,797992083244;0,323062418200;0,000000003130;-0,000000003130;0,000000013253;0,000000006993;-0,135835865745;-0,197957467502;0,000000001565;-0,000000001565;0,000000066463;0,000000011688;0,789976392694;0,008446564142;0,000000003130;-0,000000003130;0,000000518748;0,000000138453;0,795988160606;0,022474022603;0,000000003913;-0,000000003130;0,000000410763;0,000000080548;0,799996005881;0,078583856448;0,000000007043;-0,000000007825;0,000000643948;0,000000100893;0,799996005881;0,226874131609;0,000000006260;-0,000000003912;0,000003054048;0,000000645513;0,799996005881;0,050528939525;0,000000012520;-0,000000011738;0,000002321628;0,000000463973;0,799996005881;0,044517171613;0,000000028952;-0,000000017997;0,000002118178;0,000000387288;0,799996005881;0,076579933810;0,000000022693;-0,000000016433;0,000000014818;0,000000010123;-0,051671114978;-0,099765258273;0,000000001565;-0,000000001565;0,000000413893;0,000000082113;0,799996005881;0,028485790515;0,000000004695;-0,000000002348;0,000000210443;0,000000042988;0,785968547420;-0,041651501791;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,175914318491;-0,155875092118;0,000000001565;-0,000000001565
08h43m49s,08m;0,000000208878;0,000000010123;0,797992083244;-0,077722109263;0,000000003912;-0,000000002348;0,000000190098;0,000000017948;0,799996005881;0,236893744796;0,000000005478;-0,000000007042;0,000001780138;0,000000301213;0,799996005881;0,022474022603;0,000000015650;-0,000000010173;0,000000212008;0,000000036728;0,775948934233;0,036501481064;0,000000007043;-0,000000007043;0,000001800483;0,000000298083;0,797992083244;0,116658386557;0,000000014085;-0,000000012520;0,000000032033;-0,000000025872;0,489387997097;-0,199961390139;0,000000003913;-0,000000004695;0,000000027338;0,000000006993;0,641686117533;0,397207555781;0,000000003130;-0,000000003130;0,000000082113;0,000000024208;0,799996005881;0,052532862163;0,000000003912;-0,000000002348;0,000000013253;0,000000006993;-0,155875092118;-0,041651501791;0,000000001565;-0,000000001565;0,000000069593;0,000000013253;0,793984237969;-0,001573049045;0,000000003130;-0,000000002348;0,000000518748;0,000000140018;0,797992083244;0,048525016888;0,000000005478;-0,000000002348;0,000000409198;0,000000075853;0,799996005881;0,066560320624;0,000000006260;-0,000000005478;0,000000629863;0,000000105588;0,799996005881;0,266952584355;0,000000005478;-0,000000004695;0,000003044658;0,000000658033;0,799996005881;0,072572088536;0,000000019562;-0,000000014867;0,000002315368;0,000000457713;0,799996005881;0,062552475349;0,000000026605;-0,000000011738;0,000002118178;0,000000377898;0,799996005881;0,082591701722;0,000000020345;-0,000000021128;0,000000014818;0,000000010123;0,144713303479;-0,003576971682;0,000000001565;-0,000000001565;0,000000409198;0,000000085243;0,795988160606;0,010450486779;0,000000005478;-0,000000003130;0,000000208878;0,000000041423;0,799996005881;-0,009588739594;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,725850868300;-0,199961390139;0,000000001565;-0,000000001565
08h43m56s,28m;0,000000208878;0,000000008558;0,799996005881;-0,097761335636;0,000000003912;-0,000000003130;0,000000186968;0,000000024208;0,799996005881;0,242905512708;0,000000004695;-0,000000005478;0,000001762923;0,000000302778;0,797992083244;0,034497558427;0,000000012520;-0,000000006260;0,000000210443;0,000000038293;0,783964624782;0,058544630075;0,000000007825;-0,000000005478;0,000001794223;0,000000299648;0,799996005881;0,098623082821;0,000000011738;-0,000000011738;0,000000032033;-0,000000024307;0,789976392694;-0,199961390139;0,000000003912;-0,000000003912;0,000000027338;0,000000006993;0,687776338191;0,351117335123;0,000000003130;-0,000000003913;0,000000086808;0,000000024208;0,799996005881;0,068564243261;0,000000003912;-0,000000003130;0,000000014818;0,000000006993;0,729858713575;-0,199961390139;0,000000001565;-0,000000001565;0,000000068028;0,000000014818;0,793984237969;-0,011592662231;0,000000003912;-0,000000003912;0,000000520313;0,000000136888;0,799996005881;0,028485790515;0,000000003130;-0,000000003912;0,000000396678;0,000000085243;0,797992083244;0,082591701722;0,000000005478;-0,000000005478;0,000000632993;0,000000105588;0,799996005881;0,218858441060;0,000000005478;-0,000000003913;0,000003025878;0,000000639253;0,799996005881;0,080587779085;0,000000021128;-0,000000015650;0,000002313803;0,000000449888;0,799996005881;0,060548552712;0,000000029735;-0,000000017215;0,000002111918;0,000000387288;0,799996005881;0,108642696007;0,000000021910;-0,000000017998;0,000000014818;0,000000010123;-0,099765258273;-0,055678960252;0,000000001565;-0,000000001565;0,000000412328;0,000000083678;0,793984237969;0,022474022603;0,000000003912;-0,000000002348;0,000000210443;0,000000041423;0,791980315332;-0,033635811242;0,000000002348;-0,000000002347;0,000000014818;0,000000006993;0,591588051600;-0,197957467502;0,000000001565;-0,000000001565
08h44m03s,43m;0,000000205748;0,000000008558;0,785968547420;-0,085737799812;0,000000005478;-0,000000003130;0,000000186968;0,000000017948;0,799996005881;-0,009588739594;0,000000004695;-0,000000006260;0,000001764488;0,000000301213;0,799996005881;0,008446564142;0,000000011737;-0,000000006260;0,000000202618;0,000000036728;0,797992083244;0,008446564142;0,000000006260;-0,000000006260;0,000001784833;0,000000299648;0,799996005881;0,102630928096;0,000000014867;-0,000000014867;0,000000032033;-0,000000024307;0,757913630497;-0,199961390139;0,000000005478;-0,000000003912;0,000000028903;0,000000008558;0,621646891160;0,403219323693;0,000000003130;-0,000000003130;0,000000080548;0,000000024208;0,797992083244;0,030489713152;0,000000004695;-0,000000003913;0,000000013253;0,000000008558;0,204830982599;-0,069706418714;0,000000001565;-0,000000001565;0,000000069593;0,000000014818;0,795988160606;-0,009588739594;0,000000003130;-0,000000003130;0,000000518748;0,000000138453;0,797992083244;0,022474022603;0,000000003913;-0,000000003130;0,000000391983;0,000000080548;0,797992083244;0,102630928096;0,000000008607;-0,000000006260;0,000000625168;0,000000110283;0,799996005881;0,240901590070;0,000000006260;-0,000000003912;0,000003032138;0,000000626733;0,799996005881;0,130685845018;0,000000034430;-0,000000041472;0,000002312238;0,000000465538;0,799996005881;0,012454409416;0,000000023475;-0,000000011738;0,000002116613;0,000000395113;0,799996005881;0,090607392272;0,000000027388;-0,000000020345;0,000000014818;0,000000010123;-0,131828020470;0,371156561496;0,000000001565;-0,000000001565;0,000000412328;0,000000086808;0,797992083244;0,022474022603;0,000000003912;-0,000000002347;0,000000210443;0,000000042988;0,793984237969;-0,041651501791;0,000000002348;-0,000000001565;0,000000014818;0,000000005428;0,763925398409;-0,143851556294;0,000000001565;-0,000000001565
