Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-30_10h14m08s,15m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h14m13s,89m;0,000000014818;0,000000008558;0,585576283688;-0,157879014755;0,000000002348;-0,000000001565;0,000001465573;0,000001424883;-0,009588739594;0,735870481487;0,000000003130;-0,000000005478;0,000002237118;0,000002154173;-0,111788794097;0,795988160606;0,000000007043;-0,000000007042;0,000004700428;0,000000661163;0,799996005881;-0,027624043330;0,000000017997;-0,000000010955;0,000002368578;0,000002287198;-0,021612275418;0,775948934233;0,000000004695;-0,000000005478;0,000000061768;0,000000016383;0,789976392694;-0,175914318491;0,000000001565;-0,000000001565;0,000003772383;0,000000463973;0,799996005881;0,002434796230;0,000000027388;-0,000000009390;0,000004766158;0,000000703418;0,799996005881;-0,023616198055;0,000000028170;-0,000000014085;0,000003834983;0,000000463973;0,799996005881;-0,049667192340;0,000000018780;-0,000000011738;0,000001201088;0,000001179178;-0,173910395854;0,757913630497;0,000000003912;-0,000000003130;0,000001149443;0,000001107188;-0,167898627942;0,080587779085;0,000000011738;-0,000000013302;0,000000811403;0,000000797318;-0,101769180911;0,461333080175;0,000000003130;-0,000000004695;0,000004237188;0,000000679943;0,799996005881;-0,003576971682;0,000000015650;-0,000000010955;0,000003742648;0,000000438933;0,799996005881;0,014458332054;0,000000023475;-0,000000009390;0,000000014818;0,000000010123;-0,097761335636;-0,173910395854;0,000000001565;-0,000000001565;0,000003980528;0,000000719068;0,799996005881;-0,055678960252;0,000000014085;-0,000000007043;0,000001982023;0,000001939768;-0,003576971682;0,693788106103;0,000000004695;-0,000000005478;0,000000456148;0,000000442063;-0,197957467502;0,697795951378;0,000000002348;-0,000000002348;0,000000498403;0,000000194793;0,771941088959;-0,069706418714;0,000000011737;-0,000000007825;0,000009741293;0,000001640853;0,799996005881;-0,019608352781;0,000000032083;-0,000000020345
10h14m21s,01m;0,000000013253;0,000000006993;-0,197957467502;-0,167898627942;0,000000001565;-0,000000001565;0,000001351328;0,000001302813;-0,039647579154;0,795988160606;0,000000003912;-0,000000004695;0,000001988283;0,000001900643;-0,109784871460;0,799996005881;0,000000004695;-0,000000005478;0,000004767723;0,000000615778;0,799996005881;-0,011592662231;0,000000028170;-0,000000010955;0,000001949158;0,000001856823;-0,085737799812;0,793984237969;0,000000004695;-0,000000004695;0,000000055508;0,000000016383;0,787972470057;-0,139843711020;0,000000002347;-0,000000001565;0,000003833418;0,000000445193;0,799996005881;0,022474022603;0,000000022693;-0,000000010955;0,000004905443;0,000000670553;0,799996005881;-0,005580894319;0,000000035213;-0,000000025823;0,000003860023;0,000000454583;0,799996005881;-0,021612275418;0,000000021128;-0,000000014867;0,000001017983;0,000000996073;-0,193949622227;0,715831255114;0,000000003130;-0,000000003913;0,000001177613;0,000001063368;0,088603469634;0,725850868300;0,000000043820;-0,000000042255;0,000000756628;0,000000733153;-0,157879014755;0,723846945663;0,000000002348;-0,000000003130;0,000004282573;0,000000675248;0,799996005881;0,014458332054;0,000000015650;-0,000000010173;0,000003797423;0,000000435803;0,799996005881;0,004438718867;0,000000023475;-0,000000009390;0,000000014818;0,000000010123;-0,189941776952;-0,173910395854;0,000000001565;-0,000000001565;0,000003975833;0,000000715938;0,799996005881;-0,037643656517;0,000000017215;-0,000000005478;0,000001922553;0,000001884993;-0,187937854315;0,739878326762;0,000000003912;-0,000000003913;0,000000431108;0,000000417023;0,048525016888;0,657717498632;0,000000002348;-0,000000002348;0,000000567263;0,000000207313;0,787972470057;-0,067702496076;0,000000007825;-0,000000007825;0,000009797633;0,000001629898;0,799996005881;-0,013596584869;0,000000032865;-0,000000021910
10h14m28s,17m;0,000000014818;0,000000008558;0,531470372481;-0,195953544864;0,000000001565;-0,000000001565;0,000001254298;0,000001197958;0,068564243261;0,797992083244;0,000000003912;-0,000000005478;0,000001767618;0,000001676848;-0,199961390139;0,769937166321;0,000000004695;-0,000000004695;0,000004806848;0,000000628298;0,799996005881;-0,001573049045;0,000000031300;-0,000000018780;0,000001590773;0,000001515653;-0,075718186625;0,761921475772;0,000000003130;-0,000000003130;0,000000060203;0,000000016383;0,799996005881;-0,135835865745;0,000000001565;-0,000000002347;0,000003841243;0,000000440498;0,799996005881;0,020470099966;0,000000020345;-0,000000014867;0,000004910138;0,000000661163;0,799996005881;0,010450486779;0,000000035995;-0,000000010955;0,000003864718;0,000000460843;0,797992083244;-0,019608352781;0,000000020345;-0,000000014085;0,000000884958;0,000000861483;-0,187937854315;0,697795951378;0,000000002348;-0,000000002348;0,000001069628;0,000001046153;-0,113792716734;0,721843023026;0,000000006260;-0,000000006260;0,000000706548;0,000000679943;-0,177918241129;0,763925398409;0,000000003913;-0,000000003912;0,000004268488;0,000000679943;0,799996005881;0,006442641504;0,000000017215;-0,000000009390;0,000003797423;0,000000459278;0,799996005881;0,010450486779;0,000000015650;-0,000000009390;0,000000014818;0,000000010123;0,335085954024;-0,199961390139;0,000000001565;-0,000000001565;0,000003960183;0,000000715938;0,799996005881;-0,041651501791;0,000000014867;-0,000000006260;0,000001878733;0,000001841173;-0,189941776952;0,763925398409;0,000000005478;-0,000000005478;0,000000410763;0,000000391983;0,054536784800;0,673748879730;0,000000002348;-0,000000002347;0,000000634558;0,000000212008;0,799996005881;-0,041651501791;0,000000012520;-0,000000006260;0,000009788243;0,000001620508;0,799996005881;-0,003576971682;0,000000033647;-0,000000021910
10h14m35s,39m;0,000000013253;0,000000006993;0,280980042817;-0,149863324206;0,000000001565;-0,000000001565;0,000001155703;0,000001089973;-0,157879014755;0,787972470057;0,000000003912;-0,000000004695;0,000001573558;0,000001482788;-0,123812329921;0,781960702145;0,000000005478;-0,000000006260;0,000004792763;0,000000607953;0,799996005881;-0,001573049045;0,000000029735;-0,000000013302;0,000001332548;0,000001266818;-0,099765258273;0,793984237969;0,000000002348;-0,000000003130;0,000000057073;0,000000016383;0,799996005881;-0,197957467502;0,000000002348;-0,000000002348;0,000003847503;0,000000434238;0,799996005881;0,038505403701;0,000000022692;-0,000000015650;0,000004922658;0,000000656468;0,799996005881;0,010450486779;0,000000028952;-0,000000021910;0,000003833418;0,000000470233;0,799996005881;-0,019608352781;0,000000021128;-0,000000017998;0,000000786363;0,000000762888;-0,157879014755;0,749897939948;0,000000001565;-0,000000002348;0,000001066498;0,000001039893;0,631666504347;0,002434796230;0,000000009390;-0,000000005478;0,000000661163;0,000000628298;-0,185933931678;0,753905785223;0,000000005478;-0,000000003912;0,000004257533;0,000000683073;0,799996005881;0,016462254691;0,000000017215;-0,000000010173;0,000003808378;0,000000448323;0,799996005881;0,018466177328;0,000000021128;-0,000000009390;0,000000014818;0,000000010123;0,487384074460;-0,157879014755;0,000000001565;-0,000000001565;0,000003933578;0,000000720633;0,799996005881;-0,031631888605;0,000000017998;-0,000000006260;0,000001828653;0,000001787963;-0,059686805527;0,747894017311;0,000000003913;-0,000000004695;0,000000381028;0,000000360683;0,104634850733;0,747894017311;0,000000004695;-0,000000004695;0,000000622038;0,000000204183;0,781960702145;-0,063694650802;0,000000009390;-0,000000006260;0,000009780418;0,000001626768;0,799996005881;0,002434796230;0,000000033648;-0,000000021910
10h14m42s,50m;0,000000014818;0,000000008558;0,691784183466;-0,149863324206;0,000000001565;-0,000000001565;0,000001057108;0,000000991378;-0,069706418714;0,799996005881;0,000000003130;-0,000000003130;0,000001399843;0,000001324723;-0,193949622227;0,785968547420;0,000000003913;-0,000000004695;0,000004769288;0,000000604823;0,799996005881;0,008446564142;0,000000029735;-0,000000011737;0,000001135358;0,000001075888;-0,045659347066;0,785968547420;0,000000002348;-0,000000002348;0,000000063333;0,000000016383;0,793984237969;-0,151867246843;0,000000001565;-0,000000001565;0,000003842808;0,000000431108;0,799996005881;0,042513248976;0,000000020345;-0,000000015650;0,000004939873;0,000000659598;0,799996005881;0,012454409416;0,000000029735;-0,000000017215;0,000003838113;0,000000451453;0,799996005881;0,024477945240;0,000000051645;-0,000000033647;0,000000701853;0,000000678378;-0,183930009040;0,739878326762;0,000000002347;-0,000000002348;0,000001033633;0,000001013288;-0,147859401569;0,789976392694;0,000000003912;-0,000000003912;0,000000622038;0,000000595433;-0,197957467502;0,673748879730;0,000000003913;-0,000000003912;0,000004266923;0,000000684638;0,799996005881;0,020470099966;0,000000017215;-0,000000010173;0,000003800553;0,000000443628;0,799996005881;0,048525016888;0,000000021128;-0,000000014085;0,000000014818;0,000000010123;-0,047663269703;-0,195953544864;0,000000001565;-0,000000001565;0,000003922623;0,000000723763;0,799996005881;-0,037643656517;0,000000020345;-0,000000006260;0,000001777008;0,000001733188;-0,023616198055;0,791980315332;0,000000003912;-0,000000003912;0,000000345033;0,000000326253;-0,127820175196;0,735870481487;0,000000003130;-0,000000002348;0,000000622038;0,000000180708;0,795988160606;-0,071710341351;0,000000013302;-0,000000007043;0,000009772593;0,000001628333;0,799996005881;0,004438718867;0,000000035213;-0,000000025040
10h14m49s,60m;0,000000013253;0,000000006993;0,256932971169;-0,083733877175;0,000000001565;-0,000000001565;0,000000967903;0,000000902173;-0,069706418714;0,763925398409;0,000000003130;-0,000000003912;0,000001263688;0,000001190133;-0,139843711020;0,785968547420;0,000000003912;-0,000000003912;0,000004764593;0,000000611083;0,799996005881;0,018466177328;0,000000028170;-0,000000023475;0,000000980423;0,000000919388;0,036501481064;0,797992083244;0,000000002348;-0,000000003130;0,000000061768;0,000000014818;0,787972470057;-0,197957467502;0,000000002348;-0,000000001565;0,000003839678;0,000000432673;0,799996005881;0,048525016888;0,000000018780;-0,000000014867;0,000004922658;0,000000664293;0,799996005881;0,024477945240;0,000000030517;-0,000000019562;0,000003831853;0,000000453018;0,795988160606;0,024477945240;0,000000072773;-0,000000039125;0,000000637688;0,000000614213;-0,179922163766;0,737874404124;0,000000002348;-0,000000002348;0,000001033633;0,000001003898;-0,145855478932;0,791980315332;0,000000005478;-0,000000005478;0,000000571958;0,000000545353;-0,171906473217;0,743886172036;0,000000003130;-0,000000004695;0,000004255968;0,000000673683;0,799996005881;0,032493635789;0,000000019562;-0,000000010955;0,000003789598;0,000000440498;0,799996005881;0,032493635789;0,000000021127;-0,000000010173;0,000000014818;0,000000010123;-0,151867246843;-0,197957467502;0,000000001565;-0,000000001565;0,000003908538;0,000000725328;0,799996005881;-0,019608352781;0,000000018780;-0,000000006260;0,000001725363;0,000001679978;0,068564243261;0,763925398409;0,000000003913;-0,000000003912;0,000000307473;0,000000290258;-0,187937854315;0,781960702145;0,000000001565;-0,000000002348;0,000000579783;0,000000163493;0,797992083244;-0,059686805527;0,000000007825;-0,000000007825;0,000009761638;0,000001628333;0,799996005881;0,006442641504;0,000000033647;-0,000000026605
10h14m56s,75m;0,000000013253;0,000000006993;0,329074186112;-0,023616198055;0,000000001565;-0,000000001565;0,000000884958;0,000000825488;-0,081729954537;0,775948934233;0,000000002348;-0,000000003130;0,000001157268;0,000001096233;-0,085737799812;0,751901862585;0,000000004695;-0,000000003912;0,000004744248;0,000000618908;0,799996005881;0,012454409416;0,000000028952;-0,000000016433;0,000000855223;0,000000792623;-0,051671114978;0,787972470057;0,000000001565;-0,000000002348;0,000000057073;0,000000016383;0,763925398409;-0,157879014755;0,000000001565;-0,000000001565;0,000003831853;0,000000427978;0,799996005881;0,060548552712;0,000000017997;-0,000000011738;0,000004921093;0,000000673683;0,799996005881;0,028485790515;0,000000026605;-0,000000018780;0,000003825593;0,000000465538;0,799996005881;0,018466177328;0,000000057122;-0,000000039125;0,000000587608;0,000000564133;-0,159882937393;0,727854790938;0,000000001565;-0,000000003130;0,000001044588;0,000000977293;0,070568165898;0,777952856871;0,000000015650;-0,000000017215;0,000000548483;0,000000518748;-0,199961390139;0,771941088959;0,000000003130;-0,000000006260;0,000004223103;0,000000645513;0,799996005881;0,060548552712;0,000000016433;-0,000000015650;0,000003766123;0,000000442063;0,799996005881;0,038505403701;0,000000021910;-0,000000009390;0,000000014818;0,000000010123;0,058544630075;-0,191945699590;0,000000001565;-0,000000001565;0,000003881933;0,000000723763;0,799996005881;-0,009588739594;0,000000025823;-0,000000006260;0,000001658068;0,000001606423;-0,041651501791;0,799996005881;0,000000003913;-0,000000003913;0,000000274608;0,000000257393;-0,195953544864;0,737874404124;0,000000001565;-0,000000002348;0,000000568828;0,000000140018;0,797992083244;-0,045659347066;0,000000008607;-0,000000007043;0,000009675563;0,000001631463;0,799996005881;0,014458332054;0,000000034430;-0,000000022692
10h15m03s,91m;0,000000013253;0,000000006993;0,437286008527;-0,099765258273;0,000000001565;-0,000000001565;0,000000809838;0,000000751933;-0,059686805527;0,785968547420;0,000000003130;-0,000000003130;0,000001064933;0,000001010158;-0,099765258273;0,775948934233;0,000000003130;-0,000000003130;0,000004733293;0,000000625168;0,799996005881;0,018466177328;0,000000027387;-0,000000018780;0,000000755063;0,000000701853;-0,079726031900;0,789976392694;0,000000001565;-0,000000002348;0,000000055508;0,000000016383;0,797992083244;-0,123812329921;0,000000002348;-0,000000001565;0,000003819333;0,000000434238;0,799996005881;0,058544630075;0,000000019562;-0,000000014085;0,000004894488;0,000000678378;0,799996005881;0,024477945240;0,000000026605;-0,000000021910;0,000003819333;0,000000462408;0,799996005881;0,032493635789;0,000000070425;-0,000000025040;0,000000543788;0,000000520313;-0,109784871460;0,753905785223;0,000000002348;-0,000000002348;0,000001024243;0,000000992943;0,717835177751;0,777952856871;0,000000007825;-0,000000006260;0,000000529703;0,000000503098;-0,193949622227;0,789976392694;0,000000004695;-0,000000003912;0,000004209018;0,000000654903;0,799996005881;0,052532862163;0,000000017215;-0,000000013302;0,000003764558;0,000000437368;0,799996005881;0,050528939525;0,000000021127;-0,000000010173;0,000000014818;0,000000010123;-0,151867246843;-0,199961390139;0,000000001565;-0,000000001565;0,000003867848;0,000000720633;0,799996005881;-0,009588739594;0,000000018780;-0,000000006260;0,000001592338;0,000001546953;-0,057682882890;0,759917553135;0,000000005478;-0,000000003913;0,000000252698;0,000000233918;-0,195953544864;0,765929321047;0,000000002347;-0,000000002347;0,000000586043;0,000000144713;0,779956779508;-0,011592662231;0,000000009390;-0,000000010173;0,000009688083;0,000001643983;0,799996005881;0,016462254691;0,000000035995;-0,000000023475
10h15m11s,02m;0,000000014818;0,000000006993;0,673748879730;-0,147859401569;0,000000002348;-0,000000001565;0,000000750368;0,000000697158;-0,077722109263;0,791980315332;0,000000002348;-0,000000002348;0,000000996073;0,000000947558;-0,109784871460;0,785968547420;0,000000002348;-0,000000002348;0,000004717643;0,000000626733;0,799996005881;0,014458332054;0,000000028952;-0,000000030518;0,000000690898;0,000000647078;0,024477945240;0,767933243684;0,000000001565;-0,000000002348;0,000000058638;0,000000016383;0,797992083244;-0,195953544864;0,000000001565;-0,000000001565;0,000003802118;0,000000432673;0,799996005881;0,062552475349;0,000000018780;-0,000000012520;0,000004871013;0,000000678378;0,799996005881;0,026481867878;0,000000025823;-0,000000026605;0,000003806813;0,000000470233;0,799996005881;0,038505403701;0,000000066512;-0,000000044602;0,000000512488;0,000000489013;-0,163890782667;0,799996005881;0,000000002347;-0,000000001565;0,000000983553;0,000000956948;-0,193949622227;0,777952856871;0,000000003912;-0,000000004695;0,000000495273;0,000000470233;-0,193949622227;0,685772415554;0,000000002348;-0,000000003130;0,000004182413;0,000000653338;0,799996005881;0,064556397987;0,000000032865;-0,000000020345;0,000003769253;0,000000443628;0,799996005881;0,042513248976;0,000000023475;-0,000000010955;0,000000014818;0,000000010123;0,062552475349;-0,109784871460;0,000000001565;-0,000000001565;0,000003850633;0,000000722198;0,799996005881;-0,019608352781;0,000000021127;-0,000000007825;0,000001521913;0,000001471833;-0,051671114978;0,783964624782;0,000000003912;-0,000000003130;0,000000227658;0,000000210443;-0,193949622227;0,753905785223;0,000000001565;-0,000000002347;0,000000584478;0,000000133758;0,799996005881;-0,041651501791;0,000000008608;-0,000000008608;0,000009652088;0,000001636158;0,799996005881;0,024477945240;0,000000035213;-0,000000025040
10h15m18s,20m;0,000000013253;0,000000006993;0,371156561496;-0,063694650802;0,000000001565;-0,000000001565;0,000000701853;0,000000650208;-0,095757412999;0,771941088959;0,000000003130;-0,000000003130;0,000000952253;0,000000903738;-0,113792716734;0,787972470057;0,000000004695;-0,000000004695;0,000004698863;0,000000628298;0,799996005881;0,032493635789;0,000000028952;-0,000000024257;0,000000651773;0,000000617343;-0,023616198055;0,793984237969;0,000000001565;-0,000000001565;0,000000055508;0,000000016383;0,777952856871;-0,055678960252;0,000000002348;-0,000000001565;0,000003789598;0,000000435803;0,799996005881;0,082591701722;0,000000019562;-0,000000012520;0,000004844408;0,000000683073;0,799996005881;0,042513248976;0,000000025823;-0,000000017215;0,000003784903;0,000000476493;0,799996005881;0,024477945240;0,000000061035;-0,000000023475;0,000000487448;0,000000467103;-0,137839788382;0,735870481487;0,000000002348;-0,000000002348;0,000000980423;0,000000952253;-0,147859401569;0,779956779508;0,000000005478;-0,000000005478;0,000000479623;0,000000449888;-0,199961390139;0,797992083244;0,000000003130;-0,000000003130;0,000004183978;0,000000664293;0,799996005881;0,084595624360;0,000000025040;-0,000000021910;0,000003756733;0,000000443628;0,799996005881;0,064556397987;0,000000019562;-0,000000010955;0,000000014818;0,000000010123;-0,001573049045;-0,199961390139;0,000000001565;-0,000000001565;0,000003838113;0,000000722198;0,799996005881;-0,003576971682;0,000000019562;-0,000000008607;0,000001448358;0,000001401408;-0,057682882890;0,745890094674;0,000000003913;-0,000000003130;0,000000212008;0,000000193228;-0,017604430143;0,795988160606;0,000000002347;-0,000000002348;0,000000568828;0,000000138453;0,797992083244;-0,053675037615;0,000000009390;-0,000000009390;0,000009619223;0,000001643983;0,799996005881;0,026481867878;0,000000038343;-0,000000025040
