Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-31_12h33m48s,24m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
12h33m54s,05m;0,000000014818;0,000000010123;-0,021612275418;-0,199961390139;0,000000001565;-0,000000001565;0,000002266853;0,000000319993;0,799996005881;-0,121808407284;0,000000010173;-0,000000006260;0,000003213678;0,000000465538;0,799996005881;-0,075718186625;0,000000014867;-0,000000008608;0,000004000873;0,000000672118;0,799996005881;-0,079726031900;0,000000015650;-0,000000008607;0,000004179283;0,000000662728;0,799996005881;-0,069706418714;0,000000020345;-0,000000014867;0,000000041423;0,000000013253;0,791980315332;0,156736839303;0,000000001565;-0,000000001565;0,000003082218;0,000000492143;0,799996005881;-0,007584816957;0,000000012520;-0,000000009390;0,000003726998;0,000000645513;0,799996005881;-0,023616198055;0,000000013303;-0,000000010955;0,000003060308;0,000000462408;0,799996005881;-0,039647579154;0,000000015650;-0,000000012520;0,000002105658;0,000000366943;0,799996005881;-0,023616198055;0,000000010173;-0,000000007825;0,000001546953;0,000000254263;0,799996005881;-0,025620120693;0,000000010173;-0,000000007825;0,000001121273;0,000000194793;0,799996005881;0,002434796230;0,000000006260;-0,000000004695;0,000003335748;0,000000717503;0,799996005881;0,038505403701;0,000000014085;-0,000000009390;0,000003050918;0,000000453018;0,799996005881;0,000430873592;0,000000014085;-0,000000009390;0,000000014818;0,000000008558;0,387187942594;-0,151867246843;0,000000001565;-0,000000001565;0,000002969538;0,000000679943;0,799996005881;-0,049667192340;0,000000009390;-0,000000006260;0,000002758263;0,000000429543;0,799996005881;-0,019608352781;0,000000011737;-0,000000010955;0,000000762888;0,000000122803;0,799996005881;-0,039647579154;0,000000009390;-0,000000009390;0,000000032033;0,000000017948;0,773945011596;-0,007584816957;0,000000001565;-0,000000001565;0,000005778713;0,000001462443;0,799996005881;-0,003576971682;0,000000022693;-0,000000021910
12h34m01s,21m;0,000000014818;0,000000008558;0,743886172036;0,000430873592;0,000000002348;-0,000000001565;0,000002096268;0,000000321558;0,799996005881;0,006442641504;0,000000008607;-0,000000007825;0,000003016488;0,000000463973;0,799996005881;0,014458332054;0,000000015650;-0,000000010173;0,000003798988;0,000000667423;0,799996005881;0,004438718867;0,000000015650;-0,000000010955;0,000003993048;0,000000664293;0,799996005881;-0,005580894319;0,000000017998;-0,000000014085;0,000000035163;0,000000013253;0,773945011596;-0,071710341351;0,000000001565;-0,000000001565;0,000002971103;0,000000490578;0,799996005881;0,044517171613;0,000000011738;-0,000000010173;0,000003589278;0,000000656468;0,799996005881;0,006442641504;0,000000015650;-0,000000010173;0,000002960148;0,000000456148;0,797992083244;-0,007584816957;0,000000016433;-0,000000010955;0,000002043058;0,000000366943;0,797992083244;0,012454409416;0,000000013302;-0,000000008607;0,000001509393;0,000000255828;0,799996005881;0,022474022603;0,000000008608;-0,000000007043;0,000001102493;0,000000186968;0,797992083244;0,032493635789;0,000000007043;-0,000000007042;0,000003268453;0,000000719068;0,799996005881;0,046521094251;0,000000014085;-0,000000009390;0,000002994578;0,000000456148;0,799996005881;0,018466177328;0,000000012520;-0,000000010173;0,000000014818;0,000000008558;0,128681922381;-0,125816252558;0,000000001565;-0,000000001565;0,000002924153;0,000000678378;0,799996005881;-0,035639733879;0,000000010173;-0,000000006260;0,000002723833;0,000000429543;0,799996005881;0,008446564142;0,000000012520;-0,000000010955;0,000000755063;0,000000121238;0,799996005881;-0,013596584869;0,000000018780;-0,000000014867;0,000000028903;0,000000017948;0,797992083244;0,208838827873;0,000000001565;-0,000000001565;0,000005697333;0,000001465573;0,799996005881;0,016462254691;0,000000023475;-0,000000023475
12h34m08s,46m;0,000000014818;0,000000008558;0,493395842372;-0,143851556294;0,000000001565;-0,000000001565;0,000002069663;0,000000313733;0,799996005881;0,012454409416;0,000000009390;-0,000000007043;0,000002982058;0,000000465538;0,797992083244;0,014458332054;0,000000014085;-0,000000010173;0,000003755168;0,000000672118;0,799996005881;0,014458332054;0,000000014085;-0,000000011738;0,000003957053;0,000000662728;0,799996005881;0,008446564142;0,000000015650;-0,000000014085;0,000000033598;0,000000013253;0,795988160606;0,120666231831;0,000000002347;-0,000000001565;0,000002957018;0,000000493708;0,799996005881;0,048525016888;0,000000012520;-0,000000008608;0,000003562673;0,000000654903;0,799996005881;0,020470099966;0,000000014085;-0,000000011738;0,000002925718;0,000000459278;0,799996005881;0,014458332054;0,000000018780;-0,000000013302;0,000002022713;0,000000365378;0,799996005881;0,020470099966;0,000000014085;-0,000000010173;0,000001509393;0,000000249568;0,799996005881;0,036501481064;0,000000009390;-0,000000010173;0,000001089973;0,000000193228;0,799996005881;0,032493635789;0,000000006260;-0,000000005478;0,000003237153;0,000000720633;0,799996005881;0,056540707437;0,000000013302;-0,000000010955;0,000002974233;0,000000454583;0,799996005881;0,032493635789;0,000000014867;-0,000000010173;0,000000014818;0,000000010123;0,391195787869;-0,197957467502;0,000000001565;-0,000000001565;0,000002908503;0,000000675248;0,799996005881;-0,023616198055;0,000000010173;-0,000000007042;0,000002695663;0,000000427978;0,797992083244;0,018466177328;0,000000011738;-0,000000009390;0,000000776973;0,000000127498;0,799996005881;-0,001573049045;0,000000010955;-0,000000008607;0,000000028903;0,000000019513;0,623650813797;-0,021612275418;0,000000001565;-0,000000001565;0,000005669163;0,000001470268;0,799996005881;0,026481867878;0,000000025822;-0,000000019563
12h34m15s,76m;0,000000014818;0,000000008558;0,605615510061;-0,135835865745;0,000000001565;-0,000000001565;0,000002054013;0,000000315298;0,799996005881;0,012454409416;0,000000010173;-0,000000009390;0,000002960148;0,000000468668;0,799996005881;0,018466177328;0,000000014085;-0,000000008608;0,000003734823;0,000000675248;0,799996005881;0,014458332054;0,000000016432;-0,000000010955;0,000003930448;0,000000665858;0,799996005881;0,016462254691;0,000000020345;-0,000000013303;0,000000035163;0,000000013253;0,783964624782;0,152728994028;0,000000001565;-0,000000001565;0,000002942933;0,000000490578;0,799996005881;0,058544630075;0,000000012520;-0,000000008608;0,000003545458;0,000000664293;0,799996005881;0,012454409416;0,000000014867;-0,000000011738;0,000002902243;0,000000467103;0,799996005881;0,006442641504;0,000000014867;-0,000000014867;0,000002007063;0,000000365378;0,799996005881;0,020470099966;0,000000010173;-0,000000010955;0,000001495308;0,000000252698;0,797992083244;0,014458332054;0,000000010173;-0,000000008607;0,000001085278;0,000000191663;0,799996005881;0,048525016888;0,000000007825;-0,000000006260;0,000003216808;0,000000720633;0,799996005881;0,068564243261;0,000000012520;-0,000000010173;0,000002961713;0,000000454583;0,799996005881;0,034497558427;0,000000013303;-0,000000009390;0,000000014818;0,000000010123;0,162748607215;-0,197957467502;0,000000001565;-0,000000001565;0,000002892853;0,000000678378;0,799996005881;-0,019608352781;0,000000011738;-0,000000007043;0,000002689403;0,000000429543;0,799996005881;0,018466177328;0,000000012520;-0,000000010955;0,000000755063;0,000000116543;0,797992083244;0,012454409416;0,000000009390;-0,000000008607;0,000000028903;0,000000017948;0,595595896875;0,172768220402;0,000000001565;-0,000000002348;0,000005651948;0,000001474963;0,799996005881;0,040509326339;0,000000021910;-0,000000019562
12h34m22s,99m;0,000000014818;0,000000008558;0,409231091605;-0,035639733879;0,000000001565;-0,000000001565;0,000002038363;0,000000318428;0,799996005881;0,024477945240;0,000000009390;-0,000000007825;0,000002963278;0,000000468668;0,799996005881;0,040509326339;0,000000014085;-0,000000008608;0,000003701958;0,000000668988;0,799996005881;0,032493635789;0,000000014867;-0,000000012520;0,000003903843;0,000000665858;0,799996005881;0,022474022603;0,000000017998;-0,000000013302;0,000000035163;0,000000013253;0,781960702145;0,166756452490;0,000000001565;-0,000000001565;0,000002924153;0,000000492143;0,799996005881;0,068564243261;0,000000011738;-0,000000008608;0,000003539198;0,000000656468;0,799996005881;0,034497558427;0,000000014867;-0,000000012520;0,000002892853;0,000000465538;0,797992083244;0,028485790515;0,000000018780;-0,000000013302;0,000001999238;0,000000366943;0,799996005881;0,030489713152;0,000000010955;-0,000000009390;0,000001490613;0,000000252698;0,799996005881;0,032493635789;0,000000008607;-0,000000009390;0,000001080583;0,000000185403;0,797992083244;0,060548552712;0,000000006260;-0,000000005478;0,000003202723;0,000000719068;0,799996005881;0,072572088536;0,000000014867;-0,000000010173;0,000002950758;0,000000456148;0,799996005881;0,044517171613;0,000000012520;-0,000000010173;0,000000014818;0,000000010123;0,647697885445;-0,189941776952;0,000000001565;-0,000000001565;0,000002885028;0,000000675248;0,799996005881;-0,013596584869;0,000000010955;-0,000000007042;0,000002680013;0,000000427978;0,799996005881;0,018466177328;0,000000011738;-0,000000011738;0,000000747238;0,000000121238;0,799996005881;0,004438718867;0,000000016433;-0,000000007825;0,000000030468;0,000000019513;0,545497830942;0,006442641504;0,000000002347;-0,000000002348;0,000005620648;0,000001473398;0,799996005881;0,036501481064;0,000000025040;-0,000000020345
12h34m30s,19m;0,000000014818;0,000000008558;0,453317389626;-0,183930009040;0,000000001565;-0,000000001565;0,000002050883;0,000000326253;0,799996005881;0,026481867878;0,000000009390;-0,000000009390;0,000002939803;0,000000468668;0,799996005881;0,036501481064;0,000000013303;-0,000000008607;0,000003705088;0,000000665858;0,799996005881;0,032493635789;0,000000014867;-0,000000011738;0,000003896018;0,000000659598;0,799996005881;0,026481867878;0,000000017215;-0,000000014085;0,000000033598;0,000000013253;0,779956779508;0,144713303479;0,000000001565;-0,000000001565;0,000002927283;0,000000493708;0,799996005881;0,060548552712;0,000000011738;-0,000000008608;0,000003521983;0,000000662728;0,799996005881;0,038505403701;0,000000014867;-0,000000010955;0,000002866248;0,000000456148;0,795988160606;0,024477945240;0,000000018780;-0,000000012520;0,000001989848;0,000000365378;0,799996005881;0,036501481064;0,000000010955;-0,000000009390;0,000001487483;0,000000254263;0,799996005881;0,032493635789;0,000000010173;-0,000000009390;0,000001085278;0,000000186968;0,799996005881;0,058544630075;0,000000007825;-0,000000006260;0,000003194898;0,000000717503;0,799996005881;0,086599546997;0,000000014867;-0,000000010173;0,000002938238;0,000000454583;0,799996005881;0,042513248976;0,000000012520;-0,000000009390;0,000000014818;0,000000010123;0,270960429630;-0,193949622227;0,000000001565;-0,000000001565;0,000002878768;0,000000679943;0,799996005881;-0,013596584869;0,000000010955;-0,000000006260;0,000002667493;0,000000426413;0,799996005881;0,030489713152;0,000000014867;-0,000000010173;0,000000737848;0,000000132193;0,797992083244;-0,011592662231;0,000000011738;-0,000000007825;0,000000033598;0,000000019513;0,525458604569;0,002434796230;0,000000002348;-0,000000002348;0,000005623778;0,000001471833;0,799996005881;0,032493635789;0,000000022693;-0,000000020345
12h34m37s,43m;0,000000014818;0,000000008558;-0,171906473217;-0,055678960252;0,000000001565;-0,000000001565;0,000002049318;0,000000326253;0,799996005881;0,030489713152;0,000000008608;-0,000000008607;0,000002942933;0,000000468668;0,799996005881;0,044517171613;0,000000013303;-0,000000009390;0,000003683178;0,000000667423;0,799996005881;0,036501481064;0,000000014085;-0,000000010955;0,000003894453;0,000000664293;0,799996005881;0,024477945240;0,000000017998;-0,000000013303;0,000000035163;0,000000013253;0,769937166321;0,152728994028;0,000000001565;-0,000000001565;0,000002917893;0,000000493708;0,799996005881;0,056540707437;0,000000010955;-0,000000009390;0,000003506333;0,000000661163;0,799996005881;0,038505403701;0,000000014085;-0,000000010955;0,000002866248;0,000000465538;0,799996005881;0,020470099966;0,000000017215;-0,000000014085;0,000001989848;0,000000365378;0,799996005881;0,030489713152;0,000000009390;-0,000000010173;0,000001479658;0,000000248003;0,797992083244;0,034497558427;0,000000010173;-0,000000010173;0,000001072758;0,000000190098;0,799996005881;0,038505403701;0,000000007042;-0,000000006260;0,000003187073;0,000000720633;0,799996005881;0,068564243261;0,000000012520;-0,000000010173;0,000002927283;0,000000457713;0,799996005881;0,038505403701;0,000000012520;-0,000000010955;0,000000014818;0,000000010123;0,361136948309;-0,187937854315;0,000000001565;-0,000000001565;0,000002866248;0,000000676813;0,799996005881;-0,019608352781;0,000000010955;-0,000000007043;0,000002672188;0,000000427978;0,799996005881;0,022474022603;0,000000014085;-0,000000010955;0,000000764453;0,000000122803;0,793984237969;0,006442641504;0,000000014085;-0,000000005478;0,000000030468;0,000000019513;0,741882249399;-0,001573049045;0,000000001565;-0,000000001565;0,000005617518;0,000001471833;0,799996005881;0,048525016888;0,000000022692;-0,000000025040
12h34m44s,55m;0,000000014818;0,000000008558;0,417246782154;-0,113792716734;0,000000001565;-0,000000001565;0,000002025843;0,000000324688;0,799996005881;0,028485790515;0,000000008608;-0,000000008607;0,000002931978;0,000000468668;0,797992083244;0,036501481064;0,000000014867;-0,000000010955;0,000003678483;0,000000667423;0,799996005881;0,044517171613;0,000000015650;-0,000000010955;0,000003866283;0,000000662728;0,799996005881;0,022474022603;0,000000017215;-0,000000014867;0,000000035163;0,000000013253;0,799996005881;0,170764297764;0,000000001565;-0,000000001565;0,000002914763;0,000000493708;0,799996005881;0,066560320624;0,000000010955;-0,000000009390;0,000003507898;0,000000665858;0,799996005881;0,028485790515;0,000000013302;-0,000000010173;0,000002847468;0,000000463973;0,799996005881;0,012454409416;0,000000017215;-0,000000013303;0,000001988283;0,000000365378;0,799996005881;0,034497558427;0,000000010955;-0,000000009390;0,000001479658;0,000000252698;0,799996005881;0,026481867878;0,000000010955;-0,000000009390;0,000001082148;0,000000186968;0,799996005881;0,070568165898;0,000000007825;-0,000000007043;0,000003187073;0,000000719068;0,799996005881;0,086599546997;0,000000014085;-0,000000010955;0,000002933543;0,000000457713;0,799996005881;0,052532862163;0,000000013302;-0,000000010173;0,000000014818;0,000000010123;-0,065698573439;-0,197957467502;0,000000002348;-0,000000001565;0,000002867813;0,000000679943;0,799996005881;-0,007584816957;0,000000010173;-0,000000006260;0,000002673753;0,000000429543;0,799996005881;0,032493635789;0,000000011738;-0,000000010955;0,000000751933;0,000000130628;0,799996005881;0,006442641504;0,000000010955;-0,000000007825;0,000000030468;0,000000019513;0,799996005881;0,000430873592;0,000000001565;-0,000000002347;0,000005608128;0,000001474963;0,799996005881;0,042513248976;0,000000024257;-0,000000024257
12h34m51s,82m;0,000000014818;0,000000008558;0,451313466988;-0,077722109263;0,000000001565;-0,000000003130;0,000002018018;0,000000318428;0,799996005881;0,030489713152;0,000000011737;-0,000000007825;0,000002931978;0,000000470233;0,799996005881;0,044517171613;0,000000011738;-0,000000009390;0,000003673788;0,000000667423;0,799996005881;0,030489713152;0,000000014085;-0,000000012520;0,000003889758;0,000000659598;0,799996005881;0,022474022603;0,000000017997;-0,000000014085;0,000000035163;0,000000011688;0,797992083244;0,162748607215;0,000000001565;-0,000000001565;0,000002921023;0,000000492143;0,799996005881;0,060548552712;0,000000010955;-0,000000010173;0,000003493813;0,000000667423;0,799996005881;0,032493635789;0,000000013303;-0,000000010955;0,000002880333;0,000000463973;0,799996005881;0,034497558427;0,000000019562;-0,000000014085;0,000001991413;0,000000368508;0,799996005881;0,040509326339;0,000000010955;-0,000000011738;0,000001476528;0,000000254263;0,799996005881;0,030489713152;0,000000008607;-0,000000008607;0,000001063368;0,000000190098;0,799996005881;0,064556397987;0,000000007825;-0,000000005478;0,000003176118;0,000000719068;0,799996005881;0,086599546997;0,000000013302;-0,000000009390;0,000002924153;0,000000457713;0,799996005881;0,050528939525;0,000000014085;-0,000000013303;0,000000014818;0,000000008558;0,349113412485;-0,189941776952;0,000000001565;-0,000000001565;0,000002858423;0,000000678378;0,799996005881;-0,013596584869;0,000000010955;-0,000000007825;0,000002661233;0,000000429543;0,799996005881;0,026481867878;0,000000013303;-0,000000010173;0,000000751933;0,000000121238;0,797992083244;0,028485790515;0,000000013302;-0,000000009390;0,000000030468;0,000000017948;0,737874404124;0,088603469634;0,000000002348;-0,000000001565;0,000005601868;0,000001478093;0,799996005881;0,046521094251;0,000000022692;-0,000000018780
12h34m58s,94m;0,000000014818;0,000000008558;0,258936893806;-0,011592662231;0,000000001565;-0,000000001565;0,000002016453;0,000000318428;0,799996005881;0,026481867878;0,000000011738;-0,000000007043;0,000002936673;0,000000465538;0,799996005881;0,046521094251;0,000000014867;-0,000000010173;0,000003662833;0,000000667423;0,799996005881;0,042513248976;0,000000014085;-0,000000010955;0,000003872543;0,000000658033;0,799996005881;0,022474022603;0,000000019562;-0,000000013303;0,000000035163;0,000000014818;0,791980315332;0,164752529852;0,000000002347;-0,000000001565;0,000002913198;0,000000496838;0,799996005881;0,070568165898;0,000000011737;-0,000000008608;0,000003498508;0,000000664293;0,799996005881;0,032493635789;0,000000013303;-0,000000010173;0,000002850598;0,000000454583;0,799996005881;0,026481867878;0,000000015650;-0,000000010955;0,000001983588;0,000000370073;0,799996005881;0,038505403701;0,000000011738;-0,000000008607;0,000001468703;0,000000251133;0,799996005881;0,040509326339;0,000000008607;-0,000000010173;0,000001064933;0,000000191663;0,799996005881;0,068564243261;0,000000006260;-0,000000005478;0,000003182378;0,000000725328;0,799996005881;0,084595624360;0,000000014085;-0,000000011737;0,000002916328;0,000000456148;0,799996005881;0,046521094251;0,000000013302;-0,000000009390;0,000000014818;0,000000010123;0,505419378196;-0,193949622227;0,000000001565;-0,000000001565;0,000002858423;0,000000676813;0,799996005881;-0,001573049045;0,000000010955;-0,000000007043;0,000002664363;0,000000426413;0,799996005881;0,026481867878;0,000000011738;-0,000000010173;0,000000750368;0,000000122803;0,799996005881;0,022474022603;0,000000010173;-0,000000007043;0,000000028903;0,000000019513;0,725850868300;0,000430873592;0,000000001565;-0,000000001565;0,000005595608;0,000001481223;0,799996005881;0,052532862163;0,000000025823;-0,000000021128
