Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-31_18h52m33s,15m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
18h52m38s,85m;0,000000014818;0,000000008558;-0,091749567724;0,311038882376;0,000000001565;-0,000000001565;0,000005816273;0,000000971033;0,797992083244;-0,199961390139;0,000000016433;0,000000001565;0,000000017948;0,000000010123;0,789976392694;-0,199961390139;0,000000002347;-0,000000002347;0,000001958548;0,000000323123;0,799996005881;-0,197957467502;0,000000007043;-0,000000001565;0,000000014818;0,000000010123;0,631666504347;-0,191945699590;0,000000001565;-0,000000001565;0,000001404538;0,000000191663;0,799996005881;-0,079726031900;0,000000007043;-0,000000003913;0,000003229328;0,000000596998;0,799996005881;-0,161886860030;0,000000010173;-0,000000001565;0,000004594008;0,000000722198;0,799996005881;-0,133831943108;0,000000014867;-0,000000006260;0,000000014818;0,000000010123;0,419250704791;-0,199961390139;0,000000001565;-0,000000001565;0,000001406103;0,000000188533;0,799996005881;-0,199961390139;0,000000007043;-0,000000003130;0,000004659738;0,000001008593;0,799996005881;-0,103773103548;0,000000018780;-0,000000011738;0,000003443733;0,000000618908;0,799996005881;-0,083733877175;0,000000011738;-0,000000005478;0,000000271478;0,000000041423;0,799996005881;-0,131828020470;0,000000002348;-0,000000001565;0,000001074323;0,000000176013;0,797992083244;-0,069706418714;0,000000013302;-0,000000008608;0,000003809943;0,000000628298;0,799996005881;-0,079726031900;0,000000013302;-0,000000005478;0,000000014818;0,000000010123;0,162748607215;-0,185933931678;0,000000001565;-0,000000001565;0,000003468773;0,000000586043;0,799996005881;-0,111788794097;0,000000028170;-0,000000005478;0,000006461053;0,000000941298;0,799996005881;-0,109784871460;0,000000020345;-0,000000008608;0,000003756733;0,000000592303;0,799996005881;-0,129824097833;0,000000014085;-0,000000004695;0,000000556308;0,000000088373;0,799996005881;-0,067702496076;0,000000003130;-0,000000002348
18h52m45s,87m;0,000000014818;0,000000008558;0,070568165898;-0,191945699590;0,000000001565;-0,000000001565;0,000005335818;0,000000978858;0,799996005881;-0,087741722449;0,000000016433;-0,000000007825;0,000000014818;0,000000010123;-0,169902550579;-0,145855478932;0,000000001565;-0,000000001565;0,000001817698;0,000000321558;0,799996005881;-0,063694650802;0,000000006260;-0,000000003130;0,000000014818;0,000000010123;0,070568165898;-0,187937854315;0,000000001565;-0,000000001565;0,000001310638;0,000000191663;0,799996005881;-0,001573049045;0,000000007825;-0,000000004695;0,000003013358;0,000000590738;0,799996005881;-0,083733877175;0,000000009390;-0,000000003130;0,000004384298;0,000000717503;0,799996005881;-0,065698573439;0,000000014867;-0,000000010955;0,000000014818;0,000000008558;0,549505676217;-0,087741722449;0,000000001565;-0,000000001565;0,000001335678;0,000000205748;0,799996005881;-0,133831943108;0,000000007042;-0,000000003912;0,000004548623;0,000001071193;0,799996005881;-0,045659347066;0,000000019562;-0,000000017997;0,000003323228;0,000000622038;0,799996005881;-0,037643656517;0,000000012520;-0,000000008607;0,000000257393;0,000000042988;0,797992083244;-0,083733877175;0,000000002348;-0,000000001565;0,000001019548;0,000000177578;0,799996005881;0,010450486779;0,000000008607;-0,000000007042;0,000003687873;0,000000623603;0,799996005881;-0,037643656517;0,000000014085;-0,000000006260;0,000000014818;0,000000010123;-0,047663269703;-0,195953544864;0,000000001565;-0,000000001565;0,000003363918;0,000000592303;0,799996005881;-0,073714263988;0,000000012520;-0,000000009390;0,000006284208;0,000000944428;0,799996005881;-0,067702496076;0,000000021910;-0,000000010955;0,000003662833;0,000000582913;0,797992083244;-0,097761335636;0,000000014085;-0,000000007043;0,000000546918;0,000000086808;0,799996005881;-0,027624043330;0,000000003130;-0,000000002348
18h52m52s,93m;0,000000014818;0,000000008558;0,166756452490;-0,165894705305;0,000000001565;-0,000000001565;0,000005220008;0,000000986683;0,799996005881;-0,061690728164;0,000000019562;-0,000000009390;0,000000014818;0,000000010123;-0,175914318491;-0,125816252558;0,000000001565;-0,000000001565;0,000001773878;0,000000321558;0,799996005881;-0,017604430143;0,000000006260;-0,000000003130;0,000000014818;0,000000010123;0,445301699076;-0,199961390139;0,000000001565;-0,000000001565;0,000001280903;0,000000191663;0,799996005881;0,026481867878;0,000000010955;-0,000000008608;0,000002949193;0,000000589173;0,799996005881;-0,049667192340;0,000000010173;-0,000000005477;0,000004318568;0,000000715938;0,799996005881;-0,035639733879;0,000000016433;-0,000000010173;0,000000014818;0,000000008558;0,248917280619;-0,091749567724;0,000000001565;-0,000000001565;0,000001301248;0,000000210443;0,799996005881;-0,113792716734;0,000000007825;-0,000000005478;0,000004479763;0,000001077453;0,799996005881;-0,019608352781;0,000000019562;-0,000000018780;0,000003263758;0,000000625168;0,799996005881;-0,021612275418;0,000000013303;-0,000000007825;0,000000244873;0,000000042988;0,799996005881;-0,113792716734;0,000000002348;-0,000000001565;0,000000996073;0,000000185403;0,797992083244;0,012454409416;0,000000006260;-0,000000005478;0,000003633098;0,000000626733;0,799996005881;-0,025620120693;0,000000013303;-0,000000007825;0,000000014818;0,000000010123;-0,189941776952;-0,167898627942;0,000000001565;-0,000000001565;0,000003315403;0,000000587608;0,799996005881;-0,053675037615;0,000000014085;-0,000000010173;0,000006224738;0,000000953818;0,799996005881;-0,053675037615;0,000000019563;-0,000000012520;0,000003636228;0,000000582913;0,799996005881;-0,077722109263;0,000000015650;-0,000000007825;0,000000542223;0,000000086808;0,799996005881;0,006442641504;0,000000003130;-0,000000002348
18h52m59s,94m;0,000000014818;0,000000008558;0,311038882376;-0,125816252558;0,000000001565;-0,000000001565;0,000005176188;0,000000992943;0,799996005881;-0,045659347066;0,000000016433;-0,000000010173;0,000000014818;0,000000010123;-0,031631888605;-0,199961390139;0,000000001565;-0,000000001565;0,000001756663;0,000000323123;0,799996005881;-0,025620120693;0,000000007043;-0,000000003130;0,000000014818;0,000000008558;0,767933243684;-0,151867246843;0,000000001565;-0,000000001565;0,000001271513;0,000000193228;0,799996005881;0,046521094251;0,000000008607;-0,000000005477;0,000002914763;0,000000593868;0,799996005881;-0,049667192340;0,000000010173;-0,000000003913;0,000004284138;0,000000717503;0,799996005881;-0,021612275418;0,000000014867;-0,000000010173;0,000000014818;0,000000008558;0,757913630497;-0,161886860030;0,000000002348;-0,000000001565;0,000001301248;0,000000208878;0,799996005881;-0,093753490361;0,000000007825;-0,000000005478;0,000004446898;0,000001077453;0,799996005881;-0,003576971682;0,000000017998;-0,000000017215;0,000003241848;0,000000623603;0,799996005881;-0,015600507506;0,000000013302;-0,000000009390;0,000000241743;0,000000044553;0,793984237969;-0,095757412999;0,000000002348;-0,000000002348;0,000000983553;0,000000182273;0,799996005881;0,042513248976;0,000000007825;-0,000000007043;0,000003608058;0,000000626733;0,799996005881;-0,021612275418;0,000000013302;-0,000000007825;0,000000014818;0,000000010123;0,158740761940;-0,199961390139;0,000000001565;-0,000000001565;0,000003282538;0,000000587608;0,799996005881;-0,035639733879;0,000000012520;-0,000000010173;0,000006179353;0,000000950688;0,799996005881;-0,043655424428;0,000000021128;-0,000000010955;0,000003622143;0,000000584478;0,799996005881;-0,061690728164;0,000000014867;-0,000000009390;0,000000540658;0,000000085243;0,799996005881;0,004438718867;0,000000003913;-0,000000003130
18h53m07s,00m;0,000000014818;0,000000008558;0,451313466988;-0,171906473217;0,000000001565;-0,000000001565;0,000005148018;0,000000997638;0,799996005881;-0,037643656517;0,000000019562;-0,000000010955;0,000000014818;0,000000010123;0,002434796230;-0,149863324206;0,000000001565;-0,000000001565;0,000001741013;0,000000321558;0,799996005881;0,016462254691;0,000000008608;-0,000000002348;0,000000014818;0,000000010123;0,246913357982;-0,191945699590;0,000000001565;-0,000000001565;0,000001260558;0,000000194793;0,799996005881;0,040509326339;0,000000010955;-0,000000006260;0,000002885028;0,000000596998;0,799996005881;-0,035639733879;0,000000010173;-0,000000003912;0,000004262228;0,000000717503;0,799996005881;-0,015600507506;0,000000017215;-0,000000011737;0,000000014818;0,000000010123;0,527462527206;-0,199961390139;0,000000001565;-0,000000001565;0,000001285598;0,000000210443;0,797992083244;-0,087741722449;0,000000007043;-0,000000006260;0,000004417163;0,000001086843;0,799996005881;0,008446564142;0,000000018780;-0,000000018780;0,000003210548;0,000000625168;0,799996005881;0,002434796230;0,000000013302;-0,000000008607;0,000000248003;0,000000044553;0,799996005881;-0,065698573439;0,000000003130;-0,000000002348;0,000000988248;0,000000179143;0,797992083244;0,034497558427;0,000000007043;-0,000000006260;0,000003595538;0,000000626733;0,799996005881;-0,009588739594;0,000000014867;-0,000000007825;0,000000014818;0,000000010123;-0,107780948823;-0,173910395854;0,000000001565;-0,000000001565;0,000003284103;0,000000589173;0,799996005881;-0,027624043330;0,000000014085;-0,000000008607;0,000006149618;0,000000956948;0,799996005881;-0,037643656517;0,000000022693;-0,000000011738;0,000003604928;0,000000587608;0,797992083244;-0,075718186625;0,000000015650;-0,000000008608;0,000000529703;0,000000085243;0,797992083244;0,000430873592;0,000000003912;-0,000000003130
18h53m14s,05m;0,000000014818;0,000000008558;0,585576283688;-0,059686805527;0,000000001565;-0,000000001565;0,000005126108;0,000000989813;0,799996005881;-0,029627965967;0,000000017997;-0,000000010955;0,000000014818;0,000000010123;-0,153871169481;-0,197957467502;0,000000001565;-0,000000001565;0,000001736318;0,000000321558;0,799996005881;0,012454409416;0,000000007043;-0,000000002348;0,000000016383;0,000000010123;0,747894017311;-0,177918241129;0,000000001565;-0,000000002348;0,000001252733;0,000000196358;0,799996005881;0,048525016888;0,000000007825;-0,000000005478;0,000002875638;0,000000595433;0,799996005881;-0,037643656517;0,000000010173;-0,000000003912;0,000004249708;0,000000715938;0,799996005881;-0,017604430143;0,000000016433;-0,000000010173;0,000000014818;0,000000008558;0,717835177751;-0,107780948823;0,000000001565;-0,000000001565;0,000001277773;0,000000207313;0,799996005881;-0,087741722449;0,000000007825;-0,000000006260;0,000004392123;0,000001089973;0,799996005881;0,006442641504;0,000000017998;-0,000000016433;0,000003212113;0,000000626733;0,799996005881;-0,001573049045;0,000000013302;-0,000000008607;0,000000244873;0,000000046118;0,797992083244;-0,083733877175;0,000000003130;-0,000000002348;0,000000964773;0,000000180708;0,797992083244;0,046521094251;0,000000007042;-0,000000006260;0,000003564238;0,000000625168;0,799996005881;-0,015600507506;0,000000014085;-0,000000008607;0,000000014818;0,000000010123;0,288995733366;-0,155875092118;0,000000001565;-0,000000001565;0,000003265323;0,000000589173;0,799996005881;-0,031631888605;0,000000013302;-0,000000009390;0,000006130838;0,000000956948;0,799996005881;-0,025620120693;0,000000022692;-0,000000011738;0,000003589278;0,000000587608;0,799996005881;-0,065698573439;0,000000014085;-0,000000007825;0,000000528138;0,000000086808;0,797992083244;0,022474022603;0,000000003912;-0,000000002348
18h53m21s,17m;0,000000014818;0,000000008558;0,072572088536;-0,173910395854;0,000000001565;-0,000000001565;0,000005105763;0,000000996073;0,799996005881;-0,021612275418;0,000000017997;-0,000000011737;0,000000016383;0,000000010123;0,695792028741;-0,197957467502;0,000000001565;-0,000000001565;0,000001728493;0,000000323123;0,799996005881;-0,009588739594;0,000000007042;-0,000000003130;0,000000014818;0,000000008558;-0,191945699590;-0,071710341351;0,000000001565;-0,000000001565;0,000001254298;0,000000197923;0,799996005881;0,052532862163;0,000000009390;-0,000000005478;0,000002861553;0,000000596998;0,799996005881;-0,017604430143;0,000000009390;-0,000000004695;0,000004229363;0,000000715938;0,799996005881;-0,001573049045;0,000000015650;-0,000000010955;0,000000014818;0,000000008558;0,557521366766;0,012454409416;0,000000001565;-0,000000001565;0,000001277773;0,000000215138;0,799996005881;-0,083733877175;0,000000007825;-0,000000004695;0,000004378038;0,000001091538;0,797992083244;0,008446564142;0,000000017997;-0,000000015650;0,000003210548;0,000000628298;0,799996005881;0,018466177328;0,000000012520;-0,000000007825;0,000000243308;0,000000044553;0,799996005881;-0,095757412999;0,000000002348;-0,000000001565;0,000000963208;0,000000182273;0,799996005881;0,050528939525;0,000000015650;-0,000000009390;0,000003556413;0,000000626733;0,799996005881;-0,013596584869;0,000000013302;-0,000000010173;0,000000014818;0,000000008558;0,108642696007;0,054536784800;0,000000001565;-0,000000001565;0,000003260628;0,000000592303;0,799996005881;-0,029627965967;0,000000013302;-0,000000009390;0,000006110493;0,000000960078;0,799996005881;-0,033635811242;0,000000021128;-0,000000011738;0,000003581453;0,000000587608;0,799996005881;-0,059686805527;0,000000014867;-0,000000008608;0,000000531268;0,000000088373;0,799996005881;0,000430873592;0,000000003912;-0,000000002348
18h53m28s,20m;0,000000014818;0,000000008558;0,158740761940;-0,187937854315;0,000000001565;-0,000000001565;0,000005107328;0,000001022678;0,799996005881;-0,021612275418;0,000000017215;-0,000000009390;0,000000014818;0,000000010123;-0,107780948823;-0,169902550579;0,000000001565;-0,000000001565;0,000001722233;0,000000327818;0,799996005881;0,026481867878;0,000000006260;-0,000000002348;0,000000014818;0,000000008558;0,763925398409;0,022474022603;0,000000001565;-0,000000001565;0,000001249603;0,000000196358;0,799996005881;0,050528939525;0,000000011737;-0,000000007825;0,000002856858;0,000000595433;0,799996005881;-0,023616198055;0,000000010172;-0,000000004695;0,000004232493;0,000000717503;0,799996005881;-0,009588739594;0,000000015650;-0,000000010173;0,000000014818;0,000000008558;0,553513521491;-0,165894705305;0,000000001565;-0,000000001565;0,000001277773;0,000000213573;0,799996005881;-0,085737799812;0,000000006260;-0,000000004695;0,000004378038;0,000001099363;0,799996005881;0,006442641504;0,000000018780;-0,000000017215;0,000003190203;0,000000629863;0,799996005881;0,014458332054;0,000000013302;-0,000000007825;0,000000240178;0,000000044553;0,789976392694;-0,077722109263;0,000000003130;-0,000000001565;0,000000971033;0,000000183838;0,799996005881;0,054536784800;0,000000008607;-0,000000005478;0,000003545458;0,000000625168;0,799996005881;-0,013596584869;0,000000017997;-0,000000007043;0,000000014818;0,000000010123;-0,039647579154;-0,197957467502;0,000000001565;-0,000000001565;0,000003229328;0,000000592303;0,799996005881;-0,025620120693;0,000000013302;-0,000000011737;0,000006107363;0,000000958513;0,799996005881;-0,025620120693;0,000000021910;-0,000000014085;0,000003570498;0,000000589173;0,799996005881;-0,055678960252;0,000000014867;-0,000000007825;0,000000528138;0,000000086808;0,799996005881;0,002434796230;0,000000004695;-0,000000002348
18h53m35s,21m;0,000000014818;0,000000008558;0,377168329408;-0,147859401569;0,000000001565;-0,000000001565;0,000005093243;0,000001003898;0,799996005881;-0,017604430143;0,000000017997;-0,000000011738;0,000000016383;0,000000010123;0,619642968523;-0,195953544864;0,000000001565;-0,000000001565;0,000001715973;0,000000323123;0,799996005881;0,012454409416;0,000000007043;-0,000000003912;0,000000014818;0,000000010123;-0,195953544864;-0,177918241129;0,000000001565;-0,000000001565;0,000001260558;0,000000191663;0,799996005881;0,066560320624;0,000000008607;-0,000000005478;0,000002853728;0,000000601693;0,799996005881;-0,025620120693;0,000000009390;-0,000000003913;0,000004223103;0,000000717503;0,799996005881;-0,003576971682;0,000000014867;-0,000000010955;0,000000014818;0,000000010123;0,639682194896;-0,197957467502;0,000000001565;-0,000000001565;0,000001263688;0,000000212008;0,797992083244;-0,067702496076;0,000000007043;-0,000000004695;0,000004354563;0,000001096233;0,799996005881;0,018466177328;0,000000021910;-0,000000018780;0,000003185508;0,000000629863;0,799996005881;0,010450486779;0,000000014085;-0,000000007825;0,000000241743;0,000000042988;0,799996005881;-0,081729954537;0,000000002348;-0,000000001565;0,000000956948;0,000000185403;0,799996005881;0,054536784800;0,000000006260;-0,000000005478;0,000003543893;0,000000625168;0,799996005881;0,004438718867;0,000000014867;-0,000000008607;0,000000014818;0,000000010123;0,208838827873;-0,149863324206;0,000000001565;-0,000000001565;0,000003201158;0,000000589173;0,799996005881;-0,023616198055;0,000000012520;-0,000000010955;0,000006094843;0,000000963208;0,799996005881;-0,019608352781;0,000000021128;-0,000000013302;0,000003556413;0,000000587608;0,799996005881;-0,055678960252;0,000000014085;-0,000000007825;0,000000521878;0,000000086808;0,799996005881;0,004438718867;0,000000003912;-0,000000003130
18h53m42s,28m;0,000000014818;0,000000008558;-0,019608352781;-0,175914318491;0,000000001565;-0,000000001565;0,000005069768;0,000001002333;0,799996005881;-0,017604430143;0,000000017997;-0,000000010955;0,000000014818;0,000000010123;-0,165894705305;-0,147859401569;0,000000001565;-0,000000001565;0,000001719103;0,000000324688;0,799996005881;0,004438718867;0,000000006260;-0,000000002348;0,000000014818;0,000000010123;0,517442914020;-0,193949622227;0,000000001565;-0,000000001565;0,000001257428;0,000000191663;0,799996005881;0,066560320624;0,000000007825;-0,000000003913;0,000002847468;0,000000601693;0,799996005881;-0,027624043330;0,000000011737;-0,000000004695;0,000004219973;0,000000720633;0,799996005881;-0,005580894319;0,000000015650;-0,000000010955;0,000000014818;0,000000008558;0,431274240615;-0,199961390139;0,000000001565;-0,000000001565;0,000001265253;0,000000213573;0,799996005881;-0,075718186625;0,000000007825;-0,000000005478;0,000004346738;0,000001099363;0,799996005881;0,020470099966;0,000000016433;-0,000000017215;0,000003174553;0,000000631428;0,797992083244;0,012454409416;0,000000010955;-0,000000009390;0,000000240178;0,000000042988;0,797992083244;-0,067702496076;0,000000002348;-0,000000001565;0,000000961643;0,000000186968;0,799996005881;0,044517171613;0,000000006260;-0,000000005478;0,000003539198;0,000000623603;0,799996005881;0,004438718867;0,000000014085;-0,000000009390;0,000000014818;0,000000010123;0,395203633143;-0,139843711020;0,000000001565;-0,000000001565;0,000003229328;0,000000590738;0,799996005881;-0,027624043330;0,000000012520;-0,000000010955;0,000006096408;0,000000963208;0,799996005881;-0,023616198055;0,000000021910;-0,000000011737;0,000003548588;0,000000589173;0,799996005881;-0,055678960252;0,000000014867;-0,000000007825;0,000000518748;0,000000085243;0,797992083244;0,016462254691;0,000000003130;-0,000000002348
