Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-30_12h00m36s,31m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
12h00m42s,05m;0,000000014818;0,000000008558;0,311038882376;0,052532862163;0,000000001565;-0,000000002348;0,000006177788;0,000001586078;0,799996005881;-0,199961390139;0,000000020345;-0,000000000783;0,000000014818;0,000000010123;0,046521094251;-0,197957467502;0,000000001565;-0,000000001565;0,000002875638;0,000000543788;0,799996005881;-0,199961390139;0,000000009390;0,000000000783;0,000000014818;0,000000008558;0,541489985667;0,377168329408;0,000000001565;-0,000000001565;0,000001809873;0,000000251133;0,797992083244;-0,199961390139;0,000000007825;-0,000000001565;0,000004032173;0,000001155703;0,799996005881;-0,197957467502;0,000000010173;0,000000000000;0,000005889828;0,000001761358;0,799996005881;-0,199961390139;0,000000016432;0,000000000782;0,000000014818;0,000000008558;0,387187942594;-0,165894705305;0,000000001565;-0,000000001565;0,000002282503;0,000000539093;0,799996005881;-0,199961390139;0,000000010955;-0,000000003913;0,000005553353;0,000001847433;0,799996005881;-0,199961390139;0,000000015650;-0,000000001565;0,000004504803;0,000000855223;0,799996005881;-0,199961390139;0,000000015650;0,000000000783;0,000001694063;0,000000248003;0,797992083244;-0,199961390139;0,000000006260;-0,000000000783;0,000001681543;0,000000283998;0,795988160606;-0,193949622227;0,000000012520;-0,000000006260;0,000004986823;0,000001017983;0,799996005881;-0,199961390139;0,000000014867;0,000000000783;0,000000014818;0,000000010123;0,184791756225;-0,187937854315;0,000000001565;-0,000000001565;0,000004811543;0,000001010158;0,799996005881;-0,199961390139;0,000000017998;-0,000000002348;0,000007370318;0,000001556343;0,799996005881;-0,199961390139;0,000000023475;0,000000000000;0,000004129203;0,000001010158;0,799996005881;-0,199961390139;0,000000014867;-0,000000002348;0,000000930343;0,000000129063;0,799996005881;-0,199961390139;0,000000003912;-0,000000001565
12h00m49s,24m;0,000000014818;0,000000008558;0,212846673148;0,146717226116;0,000000001565;-0,000000001565;0,000006961853;0,000001626768;0,799996005881;-0,199961390139;0,000000021910;-0,000000001565;0,000000014818;0,000000010123;-0,017604430143;-0,179922163766;0,000000001565;-0,000000001565;0,000002902243;0,000000546918;0,799996005881;-0,199961390139;0,000000009390;0,000000000000;0,000000014818;0,000000010123;0,329074186112;-0,187937854315;0,000000001565;-0,000000002348;0,000001831783;0,000000251133;0,799996005881;-0,199961390139;0,000000010173;-0,000000003130;0,000004263793;0,000001196393;0,799996005881;-0,199961390139;0,000000010173;0,000000000782;0,000006328028;0,000001736318;0,797992083244;-0,199961390139;0,000000017215;-0,000000003130;0,000000014818;0,000000008558;0,439289931164;-0,189941776952;0,000000001565;-0,000000002348;0,000002290328;0,000000551613;0,799996005881;-0,197957467502;0,000000010955;-0,000000004695;0,000006237258;0,000001662763;0,799996005881;-0,197957467502;0,000000020345;0,000000000783;0,000004748943;0,000000888088;0,799996005881;-0,199961390139;0,000000014085;0,000000000783;0,000001775443;0,000000252698;0,799996005881;-0,199961390139;0,000000006260;-0,000000000783;0,000001706583;0,000000221398;0,795988160606;-0,197957467502;0,000000011737;-0,000000005478;0,000005079158;0,000000945993;0,799996005881;-0,199961390139;0,000000015650;-0,000000000783;0,000000014818;0,000000010123;-0,077722109263;-0,167898627942;0,000000001565;-0,000000001565;0,000004917963;0,000001008593;0,799996005881;-0,199961390139;0,000000016433;-0,000000005478;0,000007758438;0,000001506263;0,799996005881;-0,199961390139;0,000000025823;0,000000002347;0,000004423423;0,000000969468;0,799996005881;-0,199961390139;0,000000016433;-0,000000003130;0,000000920953;0,000000119673;0,795988160606;-0,199961390139;0,000000003912;-0,000000001565
12h00m56s,36m;0,000000014818;0,000000008558;0,260940816443;-0,191945699590;0,000000002348;-0,000000002348;0,000007019758;0,000001514088;0,799996005881;-0,199961390139;0,000000021910;0,000000000782;0,000000016383;0,000000010123;0,755909707860;-0,181926086403;0,000000001565;-0,000000001565;0,000002880333;0,000000529703;0,799996005881;-0,199961390139;0,000000009390;0,000000000782;0,000000014818;0,000000010123;0,361136948309;-0,193949622227;0,000000001565;-0,000000001565;0,000001809873;0,000000243308;0,795988160606;-0,197957467502;0,000000008607;-0,000000005478;0,000004273183;0,000001107188;0,799996005881;-0,199961390139;0,000000010955;0,000000000783;0,000006400018;0,000001665893;0,799996005881;-0,199961390139;0,000000017997;0,000000000000;0,000000014818;0,000000008558;0,174772143039;-0,183930009040;0,000000001565;-0,000000001565;0,000002293458;0,000000539093;0,793984237969;-0,199961390139;0,000000008608;-0,000000002348;0,000006356198;0,000001539128;0,799996005881;-0,199961390139;0,000000017215;0,000000002347;0,000004731728;0,000000833313;0,799996005881;-0,199961390139;0,000000016433;0,000000000783;0,000001753533;0,000000233918;0,799996005881;-0,199961390139;0,000000006260;-0,000000000783;0,000001715973;0,000000210443;0,797992083244;-0,199961390139;0,000000011738;-0,000000007042;0,000005066638;0,000000823923;0,799996005881;-0,199961390139;0,000000016433;0,000000000783;0,000000014818;0,000000010123;0,028485790515;-0,147859401569;0,000000001565;-0,000000001565;0,000004880403;0,000000902173;0,797992083244;-0,199961390139;0,000000016433;-0,000000011737;0,000007949368;0,000001354458;0,799996005881;-0,199961390139;0,000000025040;0,000000002347;0,000004518888;0,000000892783;0,799996005881;-0,199961390139;0,000000014867;-0,000000001565;0,000000900608;0,000000107153;0,793984237969;-0,199961390139;0,000000004695;-0,000000000783
12h01m03s,55m;0,000000014818;0,000000008558;0,082591701722;0,206834905236;0,000000001565;-0,000000001565;0,000007022888;0,000001379498;0,799996005881;-0,199961390139;0,000000021128;0,000000000783;0,000000014818;0,000000010123;0,010450486779;-0,161886860030;0,000000001565;-0,000000001565;0,000002850598;0,000000487448;0,797992083244;-0,199961390139;0,000000008607;0,000000000000;0,000000014818;0,000000008558;0,230881976884;-0,115796639372;0,000000001565;-0,000000001565;0,000001794223;0,000000219833;0,797992083244;-0,199961390139;0,000000008607;-0,000000002348;0,000004218408;0,000001032068;0,799996005881;-0,199961390139;0,000000010955;0,000000000000;0,000006385933;0,000001515653;0,797992083244;-0,199961390139;0,000000017997;0,000000002347;0,000000014818;0,000000008558;0,493395842372;-0,185933931678;0,000000001565;-0,000000001565;0,000002288763;0,000000518748;0,795988160606;-0,199961390139;0,000000007825;-0,000000001565;0,000006326463;0,000001395148;0,799996005881;-0,199961390139;0,000000019562;0,000000001565;0,000004670693;0,000000772278;0,799996005881;-0,199961390139;0,000000013302;0,000000000000;0,000001726928;0,000000210443;0,795988160606;-0,199961390139;0,000000007043;-0,000000000783;0,000001681543;0,000000197923;0,797992083244;-0,199961390139;0,000000011738;-0,000000003912;0,000004993083;0,000000747238;0,799996005881;-0,197957467502;0,000000014867;-0,000000002347;0,000000014818;0,000000010123;0,062552475349;-0,191945699590;0,000000001565;-0,000000001565;0,000004800588;0,000000803578;0,797992083244;-0,199961390139;0,000000015650;-0,000000010173;0,000008010403;0,000001224563;0,799996005881;-0,199961390139;0,000000024258;0,000000000783;0,000004501673;0,000000764453;0,799996005881;-0,199961390139;0,000000014867;-0,000000001565;0,000000883393;0,000000096198;0,793984237969;-0,195953544864;0,000000003913;-0,000000000783
12h01m10s,75m;0,000000014818;0,000000008558;0,335085954024;0,465340925449;0,000000001565;-0,000000001565;0,000007041668;0,000001240213;0,799996005881;-0,199961390139;0,000000022692;0,000000000783;0,000000016383;0,000000010123;0,739878326762;-0,191945699590;0,000000001565;-0,000000001565;0,000002809908;0,000000453018;0,799996005881;-0,199961390139;0,000000009390;0,000000000000;0,000000014818;0,000000008558;0,276972197542;0,024477945240;0,000000001565;-0,000000001565;0,000001767618;0,000000210443;0,799996005881;-0,199961390139;0,000000010173;-0,000000002348;0,000004141723;0,000000931908;0,799996005881;-0,199961390139;0,000000010955;0,000000000000;0,000006337418;0,000001330983;0,799996005881;-0,199961390139;0,000000022693;0,000000001565;0,000000014818;0,000000006993;0,254929048531;-0,193949622227;0,000000001565;-0,000000001565;0,000002257463;0,000000463973;0,797992083244;-0,197957467502;0,000000008608;-0,000000003130;0,000006220043;0,000001238648;0,799996005881;-0,199961390139;0,000000017215;0,000000001565;0,000004587748;0,000000694028;0,795988160606;-0,199961390139;0,000000013303;0,000000000000;0,000001697193;0,000000185403;0,799996005881;-0,199961390139;0,000000006260;-0,000000000783;0,000001667458;0,000000188533;0,799996005881;-0,199961390139;0,000000010173;-0,000000003130;0,000004919528;0,000000672118;0,799996005881;-0,199961390139;0,000000014867;-0,000000000783;0,000000014818;0,000000010123;0,152728994028;-0,195953544864;0,000000001565;-0,000000001565;0,000004700428;0,000000708113;0,799996005881;-0,199961390139;0,000000016433;-0,000000009390;0,000007930588;0,000001088408;0,799996005881;-0,199961390139;0,000000025040;0,000000000782;0,000004481328;0,000000672118;0,797992083244;-0,199961390139;0,000000017997;-0,000000001565;0,000000859918;0,000000096198;0,799996005881;-0,179922163766;0,000000003913;-0,000000001565
12h01m17s,89m;0,000000014818;0,000000008558;0,166756452490;0,485380151823;0,000000001565;-0,000000001565;0,000006958723;0,000001124403;0,799996005881;-0,199961390139;0,000000022692;0,000000000783;0,000000014818;0,000000010123;-0,093753490361;-0,157879014755;0,000000001565;-0,000000001565;0,000002780173;0,000000417023;0,799996005881;-0,199961390139;0,000000008608;0,000000000783;0,000000014818;0,000000010123;0,224870208972;-0,191945699590;0,000000001565;-0,000000001565;0,000001744143;0,000000205748;0,797992083244;-0,199961390139;0,000000010955;-0,000000004695;0,000004080688;0,000000842703;0,799996005881;-0,199961390139;0,000000010955;-0,000000000783;0,000006274818;0,000001133793;0,799996005881;-0,199961390139;0,000000018780;0,000000000000;0,000000014818;0,000000008558;0,461333080175;-0,183930009040;0,000000001565;-0,000000001565;0,000002246508;0,000000417023;0,799996005881;-0,197957467502;0,000000010955;-0,000000007043;0,000006116753;0,000001132228;0,799996005881;-0,199961390139;0,000000019562;-0,000000001565;0,000004523583;0,000000668988;0,799996005881;-0,199961390139;0,000000014867;0,000000000782;0,000001664328;0,000000176013;0,797992083244;-0,199961390139;0,000000006260;-0,000000001565;0,000001626768;0,000000191663;0,799996005881;-0,173910395854;0,000000010955;-0,000000008607;0,000004855363;0,000000665858;0,799996005881;-0,199961390139;0,000000014868;-0,000000000783;0,000000014818;0,000000010123;0,353121257760;-0,191945699590;0,000000001565;-0,000000001565;0,000004662868;0,000000653338;0,799996005881;-0,199961390139;0,000000015650;0,000000000000;0,000007874248;0,000001055543;0,799996005881;-0,199961390139;0,000000025823;0,000000000000;0,000004448463;0,000000629863;0,799996005881;-0,199961390139;0,000000014867;-0,000000003913;0,000000842703;0,000000094633;0,795988160606;-0,161886860030;0,000000003913;-0,000000001565
12h01m25s,10m;0,000000014818;0,000000008558;0,206834905236;-0,139843711020;0,000000001565;-0,000000001565;0,000006903948;0,000001055543;0,799996005881;-0,199961390139;0,000000021910;-0,000000011738;0,000000016383;0,000000010123;0,721843023026;-0,189941776952;0,000000001565;-0,000000001565;0,000002747308;0,000000401373;0,799996005881;-0,195953544864;0,000000008607;-0,000000001565;0,000000013253;0,000000010123;-0,193949622227;-0,179922163766;0,000000001565;-0,000000001565;0,000001692498;0,000000204183;0,799996005881;-0,193949622227;0,000000008608;-0,000000003912;0,000004022783;0,000000808273;0,799996005881;-0,193949622227;0,000000010955;-0,000000002348;0,000006215348;0,000001066498;0,799996005881;-0,199961390139;0,000000017998;0,000000000000;0,000000014818;0,000000008558;0,629662581709;-0,181926086403;0,000000001565;-0,000000001565;0,000002221468;0,000000391983;0,797992083244;-0,199961390139;0,000000011737;-0,000000005478;0,000006038503;0,000001060238;0,799996005881;-0,199961390139;0,000000019562;0,000000001565;0,000004471938;0,000000650208;0,799996005881;-0,199961390139;0,000000014867;0,000000000000;0,000001651808;0,000000174448;0,799996005881;-0,199961390139;0,000000006260;-0,000000000783;0,000001607988;0,000000194793;0,799996005881;-0,177918241129;0,000000009390;-0,000000010955;0,000004789633;0,000000653338;0,799996005881;-0,199961390139;0,000000015650;-0,000000003130;0,000000014818;0,000000010123;0,305027114464;-0,193949622227;0,000000001565;-0,000000002348;0,000004598703;0,000000647078;0,799996005881;-0,199961390139;0,000000018780;-0,000000005478;0,000007806953;0,000001043023;0,799996005881;-0,197957467502;0,000000024257;-0,000000002347;0,000004434378;0,000000617343;0,799996005881;-0,199961390139;0,000000015650;-0,000000000783;0,000000834878;0,000000096198;0,799996005881;-0,143851556294;0,000000004695;-0,000000001565
12h01m32s,29m;0,000000014818;0,000000008558;0,395203633143;-0,189941776952;0,000000002348;-0,000000001565;0,000006839783;0,000001053978;0,799996005881;-0,199961390139;0,000000020345;-0,000000008607;0,000000014818;0,000000010123;-0,055678960252;-0,197957467502;0,000000001565;-0,000000001565;0,000002723833;0,000000388853;0,799996005881;-0,199961390139;0,000000007825;0,000000000782;0,000000014818;0,000000010123;0,727854790938;-0,199961390139;0,000000001565;-0,000000001565;0,000001658068;0,000000202618;0,797992083244;-0,165894705305;0,000000009390;-0,000000004695;0,000003969573;0,000000759758;0,799996005881;-0,195953544864;0,000000010955;-0,000000001565;0,000006166833;0,000000989813;0,799996005881;-0,199961390139;0,000000017998;-0,000000001565;0,000000014818;0,000000008558;0,667737111818;-0,165894705305;0,000000001565;-0,000000001565;0,000002201123;0,000000370073;0,797992083244;-0,199961390139;0,000000010955;-0,000000003912;0,000005966513;0,000001021113;0,799996005881;-0,199961390139;0,000000017997;0,000000001565;0,000004432813;0,000000642383;0,799996005881;-0,187937854315;0,000000014085;-0,000000000783;0,000001639288;0,000000176013;0,799996005881;-0,189941776952;0,000000005478;-0,000000001565;0,000001606423;0,000000194793;0,799996005881;-0,143851556294;0,000000009390;-0,000000004695;0,000004747378;0,000000640818;0,799996005881;-0,177918241129;0,000000014867;-0,000000003130;0,000000014818;0,000000010123;-0,165894705305;-0,143851556294;0,000000001565;-0,000000001565;0,000004565838;0,000000637688;0,799996005881;-0,191945699590;0,000000015650;-0,000000001565;0,000007739658;0,000001030503;0,799996005881;-0,179922163766;0,000000024257;-0,000000003912;0,000004409338;0,000000614213;0,795988160606;-0,199961390139;0,000000014867;-0,000000000783;0,000000825488;0,000000096198;0,797992083244;-0,147859401569;0,000000003912;-0,000000001565
12h01m39s,49m;0,000000014818;0,000000008558;-0,039647579154;-0,199961390139;0,000000001565;-0,000000001565;0,000006783443;0,000001028938;0,799996005881;-0,175914318491;0,000000021127;-0,000000004695;0,000000014818;0,000000010123;-0,091749567724;-0,161886860030;0,000000001565;-0,000000001565;0,000002695663;0,000000373203;0,799996005881;-0,199961390139;0,000000009390;0,000000000783;0,000000014818;0,000000010123;0,128681922381;-0,191945699590;0,000000001565;-0,000000001565;0,000001643983;0,000000201053;0,799996005881;-0,157879014755;0,000000010172;-0,000000006260;0,000003928883;0,000000739413;0,799996005881;-0,181926086403;0,000000011738;-0,000000003130;0,000006119883;0,000000941298;0,799996005881;-0,199961390139;0,000000025040;-0,000000003912;0,000000014818;0,000000008558;0,393199710506;-0,163890782667;0,000000001565;-0,000000001565;0,000002179213;0,000000357553;0,799996005881;-0,199961390139;0,000000011737;-0,000000003912;0,000005900783;0,000001002333;0,799996005881;-0,199961390139;0,000000018780;0,000000000783;0,000004388993;0,000000637688;0,799996005881;-0,193949622227;0,000000015650;-0,000000001565;0,000001618943;0,000000179143;0,797992083244;-0,189941776952;0,000000007043;-0,000000001565;0,000001570428;0,000000190098;0,799996005881;-0,131828020470;0,000000008607;-0,000000007043;0,000004711383;0,000000640818;0,799996005881;-0,175914318491;0,000000017215;-0,000000003130;0,000000014818;0,000000010123;0,082591701722;-0,195953544864;0,000000001565;-0,000000001565;0,000004523583;0,000000622038;0,799996005881;-0,181926086403;0,000000019562;-0,000000003130;0,000007686448;0,000001033633;0,799996005881;-0,175914318491;0,000000025040;-0,000000003912;0,000004387428;0,000000603258;0,799996005881;-0,199961390139;0,000000015650;0,000000000000;0,000000819228;0,000000099328;0,799996005881;-0,127820175196;0,000000003913;-0,000000001565
12h01m46s,62m;0,000000014818;0,000000008558;0,048525016888;-0,099765258273;0,000000001565;-0,000000001565;0,000006733363;0,000001007028;0,799996005881;-0,167898627942;0,000000021128;-0,000000004695;0,000000014818;0,000000010123;-0,029627965967;-0,187937854315;0,000000001565;-0,000000001565;0,000002673753;0,000000371638;0,799996005881;-0,197957467502;0,000000010173;-0,000000000783;0,000000014818;0,000000008558;0,503415455558;0,347109489848;0,000000001565;-0,000000001565;0,000001628333;0,000000202618;0,799996005881;-0,135835865745;0,000000011738;-0,000000007043;0,000003889758;0,000000697158;0,799996005881;-0,187937854315;0,000000010955;-0,000000001565;0,000006076063;0,000000914693;0,799996005881;-0,195953544864;0,000000019562;-0,000000001565;0,000000014818;0,000000008558;0,547501753579;-0,167898627942;0,000000001565;-0,000000001565;0,000002169823;0,000000345033;0,799996005881;-0,199961390139;0,000000012520;-0,000000010173;0,000005833488;0,000000986683;0,799996005881;-0,199961390139;0,000000018780;0,000000002347;0,000004360823;0,000000640818;0,799996005881;-0,189941776952;0,000000015650;-0,000000002348;0,000001603293;0,000000177578;0,799996005881;-0,179922163766;0,000000005478;-0,000000000783;0,000001576688;0,000000193228;0,789976392694;-0,119804484646;0,000000007825;-0,000000015650;0,000004659738;0,000000626733;0,799996005881;-0,173910395854;0,000000016433;-0,000000004695;0,000000014818;0,000000010123;-0,187937854315;-0,073714263988;0,000000001565;-0,000000001565;0,000004476633;0,000000626733;0,799996005881;-0,187937854315;0,000000017215;-0,000000004695;0,000007639498;0,000001024243;0,799996005881;-0,157879014755;0,000000023475;-0,000000003912;0,000004346738;0,000000606388;0,799996005881;-0,191945699590;0,000000016433;-0,000000001565;0,000000814533;0,000000097763;0,799996005881;-0,103773103548;0,000000003912;-0,000000001565
