Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-03-31_15h11m06s,18m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,19996139013900027200;0,00000005707300000000;0,00000028399800000000;0,00000074410800000000;0,00000021983300000000;0,00000020574800000000;0,00000069402800000000;0,00000052813800000000;0,00000011654300000000;0,00000034190300000000;0,00000054691800000000;0,00000001168800000000;0,00000001012300000000;0,00000066585800000000;0,00000083957300000000;0,00000001325300000000;0,00000118700300000000;0,00000001012300000000;0,00000001012300000000;0,00000005237800000000;0,00000001012300000000
-0,19795746750168563600;0,00000005081300000000;0,00000028243300000000;0,00000074097800000000;0,00000021983300000000;0,00000020731300000000;0,00000068776800000000;0,00000052500800000000;0,00000011654300000000;0,00000033564300000000;0,00000054691800000000;0,00000001168800000000;0,00000001168800000000;0,00000065646800000000;0,00000083331300000000;0,00000001325300000000;0,00000118074300000000;0,00000001168800000000;0,00000001168800000000;0,00000005081300000000;0,00000001012300000000
-0,19595354486437099900;0,00000005237800000000;0,00000028086800000000;0,00000073941300000000;0,00000021826800000000;0,00000020731300000000;0,00000068463800000000;0,00000052187800000000;0,00000011654300000000;0,00000033564300000000;0,00000054691800000000;0,00000001168800000000;0,00000001168800000000;0,00000066742300000000;0,00000081766300000000;0,00000001325300000000;0,00000117448300000000;0,00000001168800000000;0,00000001012300000000;0,00000004924800000000;0,00000000855800000000
-0,19394962222705639000;0,00000004924800000000;0,00000028086800000000;0,00000073941300000000;0,00000021670300000000;0,00000020887800000000;0,00000068307300000000;0,00000052187800000000;0,00000011497800000000;0,00000033407800000000;0,00000053439800000000;0,00000001012300000000;0,00000001012300000000;0,00000067055300000000;0,00000082079300000000;0,00000001325300000000;0,00000116822300000000;0,00000001012300000000;0,00000001012300000000;0,00000005081300000000;0,00000001012300000000
-0,19194569958974175300;0,00000004924800000000;0,00000028243300000000;0,00000073941300000000;0,00000021670300000000;0,00000020731300000000;0,00000067994300000000;0,00000051718300000000;0,00000011497800000000;0,00000033407800000000;0,00000053596300000000;0,00000001168800000000;0,00000001012300000000;0,00000067211800000000;0,00000081140300000000;0,00000001325300000000;0,00000115726800000000;0,00000001012300000000;0,00000001012300000000;0,00000004924800000000;0,00000001168800000000
-0,18994177695242711600;0,00000005081300000000;0,00000028243300000000;0,00000073628300000000;0,00000021670300000000;0,00000020887800000000;0,00000067681300000000;0,00000051561800000000;0,00000011497800000000;0,00000032938300000000;0,00000053283300000000;0,00000001168800000000;0,00000001012300000000;0,00000067524800000000;0,00000080357800000000;0,00000001168800000000;0,00000114944300000000;0,00000001168800000000;0,00000001012300000000;0,00000005081300000000;0,00000001012300000000
-0,18793785431511247900;0,00000004924800000000;0,00000028086800000000;0,00000073628300000000;0,00000021357300000000;0,00000021044300000000;0,00000067368300000000;0,00000051248800000000;0,00000011497800000000;0,00000032781800000000;0,00000053126800000000;0,00000001168800000000;0,00000001168800000000;0,00000067368300000000;0,00000079418800000000;0,00000001325300000000;0,00000114005300000000;0,00000001168800000000;0,00000001012300000000;0,00000004924800000000;0,00000001168800000000
-0,18593393167779787000;0,00000005237800000000;0,00000028243300000000;0,00000073471800000000;0,00000021357300000000;0,00000020887800000000;0,00000067055300000000;0,00000050779300000000;0,00000011184800000000;0,00000032468800000000;0,00000052031300000000;0,00000001325300000000;0,00000001012300000000;0,00000068307300000000;0,00000079105800000000;0,00000001325300000000;0,00000113066300000000;0,00000001168800000000;0,00000001168800000000;0,00000004924800000000;0,00000001168800000000
-0,18393000904048323300;0,00000005707300000000;0,00000028399800000000;0,00000073628300000000;0,00000021357300000000;0,00000020887800000000;0,00000066742300000000;0,00000050779300000000;0,00000011341300000000;0,00000032155800000000;0,00000051718300000000;0,00000001168800000000;0,00000001012300000000;0,00000067211800000000;0,00000078949300000000;0,00000001168800000000;0,00000112283800000000;0,00000001168800000000;0,00000001168800000000;0,00000005081300000000;0,00000001168800000000
-0,18192608640316859600;0,00000005394300000000;0,00000028243300000000;0,00000073315300000000;0,00000021200800000000;0,00000020887800000000;0,00000066429300000000;0,00000050466300000000;0,00000011028300000000;0,00000032155800000000;0,00000051561800000000;0,00000001168800000000;0,00000001168800000000;0,00000069089800000000;0,00000075349800000000;0,00000001168800000000;0,00000111501300000000;0,00000001168800000000;0,00000001168800000000;0,00000004924800000000;0,00000001012300000000
-0,17992216376585396000;0,00000005550800000000;0,00000028243300000000;0,00000073315300000000;0,00000021200800000000;0,00000021044300000000;0,00000066272800000000;0,00000050309800000000;0,00000011184800000000;0,00000032155800000000;0,00000051248800000000;0,00000001325300000000;0,00000001012300000000;0,00000069089800000000;0,00000078010300000000;0,00000001168800000000;0,00000111031800000000;0,00000001168800000000;0,00000001168800000000;0,00000004768300000000;0,00000001012300000000
-0,17791824112853935100;0,00000005394300000000;0,00000028399800000000;0,00000073315300000000;0,00000021200800000000;0,00000021200800000000;0,00000066116300000000;0,00000049996800000000;0,00000011184800000000;0,00000031373300000000;0,00000050779300000000;0,00000001168800000000;0,00000001168800000000;0,00000068150800000000;0,00000076132300000000;0,00000001325300000000;0,00000109936300000000;0,00000001168800000000;0,00000001168800000000;0,00000004768300000000;0,00000001168800000000
