Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-30_10h24m39s,56m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h24m45s,35m;0,000000022643;0,000000008558;0,745890094674;-0,181926086403;0,000000002348;-0,000000001565;0,000002479693;0,000000285563;0,799996005881;0,002434796230;0,000000010173;-0,000000007042;0,000005426588;0,000000859918;0,799996005881;-0,015600507506;0,000000025823;-0,000000012520;0,000001706583;0,000000221398;0,799996005881;-0,003576971682;0,000000007043;-0,000000005478;0,000002187038;0,000000448323;0,799996005881;-0,037643656517;0,000000010955;-0,000000005478;0,000004318568;0,000000647078;0,799996005881;0,002434796230;0,000000014085;-0,000000009390;0,000003908538;0,000000504663;0,799996005881;-0,009588739594;0,000000013303;-0,000000007825;0,000001848998;0,000000202618;0,799996005881;-0,019608352781;0,000000009390;-0,000000005478;0,000002520383;0,000000307473;0,799996005881;-0,033635811242;0,000000023475;-0,000000009390;0,000003980528;0,000000463973;0,799996005881;-0,039647579154;0,000000019562;-0,000000011738;0,000000014818;0,000000010123;-0,133831943108;-0,089745645087;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,121808407284;-0,195953544864;0,000000001565;-0,000000001565;0,000000537528;0,000000237048;-0,197957467502;0,100627005458;0,000000032083;-0,000000040690;0,000004163633;0,000000606388;0,799996005881;0,038505403701;0,000000050863;-0,000000046168;0,000000014818;0,000000010123;-0,083733877175;0,433278163252;0,000000001565;-0,000000001565;0,000005065073;0,000000770713;0,799996005881;0,080587779085;0,000000023475;-0,000000014867;0,000000805143;0,000000127498;0,797992083244;0,040509326339;0,000000006260;-0,000000004695;0,000000017948;0,000000010123;0,789976392694;-0,193949622227;0,000000001565;-0,000000001565;0,000000210443;0,000000036728;0,799996005881;0,086599546997;0,000000002348;-0,000000001565;0,000000194793;0,000000030468;0,793984237969;-0,065698573439;0,000000003913;-0,000000002348
10h24m52s,49m;0,000000019513;0,000000008558;0,755909707860;-0,151867246843;0,000000001565;-0,000000001565;0,000002377968;0,000000298083;0,799996005881;0,070568165898;0,000000010955;-0,000000007043;0,000005210618;0,000000847398;0,799996005881;0,020470099966;0,000000026605;-0,000000012520;0,000001651808;0,000000224528;0,799996005881;0,026481867878;0,000000007043;-0,000000005478;0,000002014888;0,000000434238;0,799996005881;0,014458332054;0,000000010955;-0,000000005478;0,000004193368;0,000000645513;0,799996005881;0,036501481064;0,000000014867;-0,000000010955;0,000003809943;0,000000503098;0,799996005881;0,030489713152;0,000000014085;-0,000000008607;0,000001739448;0,000000201053;0,797992083244;0,028485790515;0,000000010173;-0,000000005478;0,000002410833;0,000000318428;0,799996005881;0,028485790515;0,000000015650;-0,000000010173;0,000003819333;0,000000471798;0,799996005881;0,008446564142;0,000000017215;-0,000000011737;0,000000014818;0,000000010123;-0,127820175196;-0,097761335636;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;0,006442641504;-0,167898627942;0,000000001565;-0,000000001565;0,000000531268;0,000000243308;-0,167898627942;0,118662309194;0,000000033648;-0,000000026605;0,000004071298;0,000000601693;0,799996005881;0,086599546997;0,000000041473;-0,000000035995;0,000000014818;0,000000010123;0,022474022603;0,355125180397;0,000000001565;-0,000000001565;0,000004900748;0,000000758193;0,799996005881;0,100627005458;0,000000021127;-0,000000019562;0,000000755063;0,000000130628;0,799996005881;0,014458332054;0,000000009390;-0,000000007043;0,000000016383;0,000000008558;0,757913630497;-0,157879014755;0,000000001565;-0,000000001565;0,000000194793;0,000000036728;0,789976392694;0,134693690293;0,000000003130;-0,000000002348;0,000000193228;0,000000030468;0,797992083244;-0,039647579154;0,000000004695;-0,000000003130
10h24m59s,61m;0,000000017948;0,000000008558;0,749897939948;0,034497558427;0,000000001565;-0,000000001565;0,000002307543;0,000000273043;0,799996005881;0,100627005458;0,000000013302;-0,000000008608;0,000005047858;0,000000838008;0,799996005881;0,058544630075;0,000000025823;-0,000000015650;0,000001595468;0,000000221398;0,799996005881;0,066560320624;0,000000010173;-0,000000006260;0,000001924118;0,000000424848;0,799996005881;0,054536784800;0,000000010173;-0,000000005478;0,000004077558;0,000000634558;0,799996005881;0,082591701722;0,000000015650;-0,000000010955;0,000003706653;0,000000498403;0,799996005881;0,072572088536;0,000000014085;-0,000000008607;0,000001675283;0,000000194793;0,799996005881;0,066560320624;0,000000010173;-0,000000005478;0,000002310673;0,000000302778;0,799996005881;0,084595624360;0,000000017997;-0,000000010955;0,000003694133;0,000000462408;0,799996005881;0,038505403701;0,000000017215;-0,000000011738;0,000000014818;0,000000010123;-0,111788794097;-0,087741722449;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,266952584355;-0,177918241129;0,000000001565;-0,000000002348;0,000000561003;0,000000258958;-0,111788794097;0,134693690293;0,000000035213;-0,000000044602;0,000003963313;0,000000595433;0,799996005881;0,122670154469;0,000000043820;-0,000000043037;0,000000014818;0,000000010123;0,100627005458;-0,035639733879;0,000000000783;-0,000000001565;0,000004763028;0,000000776973;0,799996005881;0,138701535567;0,000000021128;-0,000000017215;0,000000733153;0,000000138453;0,797992083244;0,022474022603;0,000000007825;-0,000000007043;0,000000016383;0,000000010123;0,775948934233;-0,199961390139;0,000000001565;-0,000000001565;0,000000185403;0,000000038293;0,799996005881;0,098623082821;0,000000003130;-0,000000002348;0,000000185403;0,000000030468;0,797992083244;-0,001573049045;0,000000002348;-0,000000001565
10h25m06s,81m;0,000000017948;0,000000008558;0,765929321047;0,042513248976;0,000000001565;-0,000000001565;0,000002227728;0,000000310603;0,799996005881;0,102630928096;0,000000011737;-0,000000007043;0,000004916398;0,000000856788;0,799996005881;0,070568165898;0,000000026605;-0,000000014085;0,000001540693;0,000000229223;0,799996005881;0,086599546997;0,000000006260;-0,000000006260;0,000001889688;0,000000429543;0,799996005881;0,062552475349;0,000000010955;-0,000000005478;0,000003961748;0,000000662728;0,799996005881;0,106638773370;0,000000015650;-0,000000010173;0,000003604928;0,000000509358;0,799996005881;0,086599546997;0,000000013303;-0,000000009390;0,000001609553;0,000000208878;0,799996005881;0,070568165898;0,000000010955;-0,000000006260;0,000002232423;0,000000321558;0,797992083244;0,078583856448;0,000000014085;-0,000000015650;0,000003593973;0,000000467103;0,799996005881;0,072572088536;0,000000017215;-0,000000012520;0,000000014818;0,000000010123;-0,197957467502;-0,161886860030;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,089745645087;-0,157879014755;0,000000001565;-0,000000001565;0,000000546918;0,000000246438;-0,109784871460;0,192807446775;0,000000039125;-0,000000031300;0,000003878803;0,000000600128;0,797992083244;0,124674077106;0,000000053992;-0,000000040690;0,000000014818;0,000000010123;0,230881976884;0,006442641504;0,000000001565;-0,000000001565;0,000004651913;0,000000783233;0,799996005881;0,158740761940;0,000000021128;-0,000000016433;0,000000720633;0,000000136888;0,799996005881;0,084595624360;0,000000010173;-0,000000006260;0,000000014818;0,000000010123;0,166756452490;-0,197957467502;0,000000001565;-0,000000001565;0,000000174448;0,000000036728;0,795988160606;0,114654463919;0,000000003130;-0,000000002348;0,000000180708;0,000000028903;0,791980315332;0,026481867878;0,000000002348;-0,000000002348
10h25m13s,97m;0,000000016383;0,000000010123;0,707815564565;-0,193949622227;0,000000001565;-0,000000001565;0,000002161998;0,000000312168;0,799996005881;0,126677999743;0,000000010173;-0,000000008607;0,000004806848;0,000000848963;0,799996005881;0,096619160184;0,000000032082;-0,000000014867;0,000001492178;0,000000230788;0,799996005881;0,094615237546;0,000000007825;-0,000000006260;0,000001847433;0,000000426413;0,799996005881;0,094615237546;0,000000010173;-0,000000006260;0,000003869413;0,000000661163;0,799996005881;0,132689767655;0,000000015650;-0,000000010955;0,000003504768;0,000000509358;0,799996005881;0,116658386557;0,000000014867;-0,000000010173;0,000001543823;0,000000207313;0,799996005881;0,096619160184;0,000000009390;-0,000000005478;0,000002169823;0,000000318428;0,799996005881;0,104634850733;0,000000014085;-0,000000010173;0,000003509463;0,000000471798;0,799996005881;0,094615237546;0,000000014867;-0,000000014085;0,000000014818;0,000000010123;-0,183930009040;-0,043655424428;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,489387997097;-0,145855478932;0,000000001565;-0,000000001565;0,000000553178;0,000000243308;-0,097761335636;0,210842750510;0,000000039125;-0,000000032865;0,000003775513;0,000000606388;0,799996005881;0,156736839303;0,000000046950;-0,000000042255;0,000000014818;0,000000010123;-0,147859401569;-0,113792716734;0,000000001565;-0,000000001565;0,000004554883;0,000000789493;0,799996005881;0,156736839303;0,000000021910;-0,000000022693;0,000000698723;0,000000140018;0,799996005881;0,078583856448;0,000000008607;-0,000000007042;0,000000014818;0,000000008558;0,182787833588;-0,187937854315;0,000000001565;-0,000000001565;0,000000172883;0,000000036728;0,797992083244;0,130685845018;0,000000004695;-0,000000003130;0,000000176013;0,000000030468;0,789976392694;0,038505403701;0,000000003130;-0,000000003130
10h25m21s,15m;0,000000016383;0,000000008558;0,627658659072;0,288995733366;0,000000001565;-0,000000001565;0,000002108788;0,000000305908;0,799996005881;0,150725071391;0,000000010955;-0,000000007825;0,000004716078;0,000000855223;0,799996005881;0,120666231831;0,000000021910;-0,000000014867;0,000001449923;0,000000229223;0,799996005881;0,120666231831;0,000000007825;-0,000000005478;0,000001817698;0,000000432673;0,799996005881;0,110646618645;0,000000010955;-0,000000006260;0,000003775513;0,000000675248;0,799996005881;0,140705458204;0,000000016433;-0,000000010955;0,000003428083;0,000000517183;0,799996005881;0,118662309194;0,000000013303;-0,000000009390;0,000001496873;0,000000208878;0,799996005881;0,112650541282;0,000000009390;-0,000000006260;0,000002083748;0,000000321558;0,799996005881;0,122670154469;0,000000017215;-0,000000011738;0,000003409303;0,000000467103;0,799996005881;0,100627005458;0,000000016433;-0,000000014085;0,000000014818;0,000000010123;-0,059686805527;-0,103773103548;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,046521094251;-0,191945699590;0,000000001565;-0,000000001565;0,000000545353;0,000000241743;-0,079726031900;0,238897667433;0,000000046167;-0,000000042255;0,000003697263;0,000000596998;0,799996005881;0,180783910951;0,000000049297;-0,000000047733;0,000000014818;0,000000010123;-0,115796639372;0,411235014242;0,000000001565;-0,000000001565;0,000004459418;0,000000787928;0,799996005881;0,200823137324;0,000000021910;-0,000000019562;0,000000687768;0,000000133758;0,799996005881;0,118662309194;0,000000008607;-0,000000007825;0,000000014818;0,000000010123;0,517442914020;-0,199961390139;0,000000001565;-0,000000001565;0,000000160363;0,000000036728;0,791980315332;0,180783910951;0,000000003130;-0,000000003130;0,000000171318;0,000000030468;0,795988160606;0,020470099966;0,000000003130;-0,000000002348
10h25m28s,24m;0,000000017948;0,000000010123;0,765929321047;-0,155875092118;0,000000001565;-0,000000001565;0,000002063403;0,000000316863;0,799996005881;0,132689767655;0,000000010173;-0,000000007825;0,000004615918;0,000000855223;0,799996005881;0,134693690293;0,000000031300;-0,000000014867;0,000001409233;0,000000229223;0,799996005881;0,132689767655;0,000000007825;-0,000000006260;0,000001783268;0,000000434238;0,799996005881;0,130685845018;0,000000010955;-0,000000006260;0,000003691003;0,000000673683;0,799996005881;0,156736839303;0,000000015650;-0,000000010955;0,000003345138;0,000000509358;0,799996005881;0,150725071391;0,000000014867;-0,000000010173;0,000001459313;0,000000208878;0,799996005881;0,136697612930;0,000000008608;-0,000000007825;0,000002036798;0,000000321558;0,799996005881;0,148721148754;0,000000012520;-0,000000010955;0,000003329488;0,000000471798;0,799996005881;0,126677999743;0,000000017215;-0,000000015650;0,000000014818;0,000000010123;-0,129824097833;-0,079726031900;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,113792716734;-0,183930009040;0,000000001565;-0,000000001565;0,000000465538;0,000000213573;-0,189941776952;0,232885899521;0,000000021910;-0,000000020345;0,000003603363;0,000000595433;0,797992083244;0,200823137324;0,000000029735;-0,000000028952;0,000000014818;0,000000010123;-0,053675037615;-0,113792716734;0,000000001565;-0,000000001565;0,000004374908;0,000000766018;0,799996005881;0,206834905236;0,000000023475;-0,000000019563;0,000000676813;0,000000127498;0,799996005881;0,158740761940;0,000000005478;-0,000000004695;0,000000014818;0,000000010123;0,096619160184;-0,185933931678;0,000000001565;-0,000000001565;0,000000160363;0,000000036728;0,799996005881;0,240901590070;0,000000003130;-0,000000002348;0,000000169753;0,000000030468;0,791980315332;0,140705458204;0,000000002348;-0,000000002347
10h25m35s,44m;0,000000017948;0,000000008558;0,779956779508;0,052532862163;0,000000001565;-0,000000001565;0,000002016453;0,000000313733;0,799996005881;0,166756452490;0,000000010173;-0,000000008608;0,000004539233;0,000000864613;0,799996005881;0,144713303479;0,000000032082;-0,000000014867;0,000001376368;0,000000227658;0,799996005881;0,166756452490;0,000000007042;-0,000000005478;0,000001753533;0,000000437368;0,799996005881;0,142709380842;0,000000010173;-0,000000006260;0,000003623708;0,000000683073;0,799996005881;0,162748607215;0,000000015650;-0,000000010955;0,000003285668;0,000000523443;0,799996005881;0,150725071391;0,000000014085;-0,000000010955;0,000001434273;0,000000210443;0,799996005881;0,134693690293;0,000000008608;-0,000000007042;0,000001997673;0,000000316863;0,799996005881;0,154732916666;0,000000019562;-0,000000014867;0,000003268453;0,000000474928;0,799996005881;0,134693690293;0,000000019562;-0,000000014867;0,000000014818;0,000000010123;-0,137839788382;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,258936893806;-0,199961390139;0,000000001565;-0,000000001565;0,000000567263;0,000000251133;-0,007584816957;0,234889822158;0,000000037560;-0,000000038342;0,000003540763;0,000000615778;0,799996005881;0,218858441060;0,000000060253;-0,000000050080;0,000000014818;0,000000010123;-0,165894705305;-0,043655424428;0,000000001565;-0,000000001565;0,000004287268;0,000000808273;0,799996005881;0,226874131609;0,000000023475;-0,000000017997;0,000000664293;0,000000138453;0,799996005881;0,128681922381;0,000000008608;-0,000000007043;0,000000014818;0,000000008558;0,252925125894;-0,173910395854;0,000000001565;-0,000000001565;0,000000152538;0,000000036728;0,797992083244;0,216854518422;0,000000003130;-0,000000002348;0,000000165058;0,000000030468;0,797992083244;0,054536784800;0,000000003130;-0,000000002348
10h25m42s,56m;0,000000016383;0,000000010123;0,677756725005;-0,065698573439;0,000000001565;-0,000000001565;0,000001983588;0,000000304343;0,799996005881;0,198819214687;0,000000010173;-0,000000007825;0,000004457853;0,000000870873;0,799996005881;0,160744684578;0,000000024258;-0,000000014867;0,000001349763;0,000000233918;0,799996005881;0,158740761940;0,000000007825;-0,000000006260;0,000001722233;0,000000442063;0,799996005881;0,164752529852;0,000000010173;-0,000000006260;0,000003559543;0,000000683073;0,799996005881;0,194811369412;0,000000017215;-0,000000012520;0,000003221503;0,000000523443;0,799996005881;0,160744684578;0,000000014867;-0,000000010955;0,000001393583;0,000000212008;0,799996005881;0,160744684578;0,000000008607;-0,000000005478;0,000001917858;0,000000319993;0,799996005881;0,168760375127;0,000000014085;-0,000000010955;0,000003235588;0,000000471798;0,799996005881;0,154732916666;0,000000015650;-0,000000014085;0,000000014818;0,000000010123;-0,173910395854;-0,021612275418;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,169902550579;-0,139843711020;0,000000001565;-0,000000001565;0,000000567263;0,000000230788;-0,065698573439;0,266952584355;0,000000051645;-0,000000044602;0,000003493813;0,000000625168;0,799996005881;0,232885899521;0,000000064165;-0,000000064165;0,000000014818;0,000000010123;-0,173910395854;-0,117800562009;0,000000001565;-0,000000001565;0,000004219973;0,000000805143;0,799996005881;0,248917280619;0,000000021910;-0,000000017997;0,000000656468;0,000000144713;0,797992083244;0,136697612930;0,000000009390;-0,000000009390;0,000000014818;0,000000010123;0,461333080175;-0,199961390139;0,000000001565;-0,000000001565;0,000000150973;0,000000038293;0,795988160606;0,230881976884;0,000000003130;-0,000000002347;0,000000160363;0,000000030468;0,799996005881;0,070568165898;0,000000002348;-0,000000002348
10h25m49s,63m;0,000000016383;0,000000010123;0,597599819512;0,094615237546;0,000000001565;-0,000000001565;0,000001942898;0,000000316863;0,799996005881;0,174772143039;0,000000009390;-0,000000010173;0,000004398383;0,000000881828;0,799996005881;0,162748607215;0,000000022692;-0,000000015650;0,000001327853;0,000000232353;0,799996005881;0,172768220402;0,000000011738;-0,000000006260;0,000001697193;0,000000445193;0,799996005881;0,170764297764;0,000000013302;-0,000000006260;0,000003500073;0,000000689333;0,799996005881;0,204830982599;0,000000016433;-0,000000011738;0,000003179248;0,000000528138;0,799996005881;0,174772143039;0,000000014867;-0,000000010173;0,000001370108;0,000000208878;0,797992083244;0,166756452490;0,000000010173;-0,000000007043;0,000001919423;0,000000316863;0,799996005881;0,182787833588;0,000000017997;-0,000000014085;0,000003160468;0,000000468668;0,799996005881;0,158740761940;0,000000017215;-0,000000014867;0,000000014818;0,000000010123;-0,135835865745;0,431274240615;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,178779988313;-0,175914318491;0,000000001565;-0,000000001565;0,000000609518;0,000000265218;0,004438718867;0,268956506993;0,000000050080;-0,000000038342;0,000003442168;0,000000615778;0,799996005881;0,242905512708;0,000000039907;-0,000000043037;0,000000014818;0,000000010123;-0,199961390139;-0,057682882890;0,000000001565;-0,000000001565;0,000004160503;0,000000808273;0,799996005881;0,256932971169;0,000000021910;-0,000000018780;0,000000643948;0,000000141583;0,799996005881;0,168760375127;0,000000009390;-0,000000009390;0,000000014818;0,000000008558;-0,053675037615;-0,199961390139;0,000000001565;-0,000000001565;0,000000146278;0,000000036728;0,799996005881;0,164752529852;0,000000002348;-0,000000002348;0,000000157233;0,000000030468;0,793984237969;0,118662309194;0,000000003912;-0,000000003130
