Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-30_14h46m32s,80m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
14h46m38s,54m;0,000000022643;0,000000008558;0,789976392694;-0,137839788382;0,000000002348;-0,000000001565;0,000002259028;0,000000345033;0,795988160606;-0,199961390139;0,000000009390;0,000000000000;0,000004127638;0,000000895913;0,797992083244;-0,199961390139;0,000000014867;-0,000000000783;0,000001595468;0,000000233918;0,797992083244;-0,199961390139;0,000000005478;-0,000000000783;0,000000381028;0,000000201053;0,787972470057;-0,197957467502;0,000000003912;-0,000000003130;0,000003698828;0,000000672118;0,797992083244;-0,199961390139;0,000000011738;0,000000000000;0,000003293493;0,000000531268;0,799996005881;-0,197957467502;0,000000010955;0,000000000783;0,000001701888;0,000000221398;0,799996005881;-0,199961390139;0,000000007825;-0,000000001565;0,000002215208;0,000000288693;0,799996005881;-0,199961390139;0,000000021910;-0,000000009390;0,000003518853;0,000000490578;0,799996005881;-0,199961390139;0,000000014867;-0,000000005478;0,000000014818;0,000000010123;-0,123812329921;-0,075718186625;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,174772143039;-0,167898627942;0,000000001565;-0,000000001565;0,000000584478;0,000000257393;-0,185933931678;0,791980315332;0,000000029735;-0,000000023475;0,000003445298;0,000000603258;0,799996005881;-0,141847633657;0,000000022692;-0,000000016433;0,000000014818;0,000000010123;-0,155875092118;0,471352693361;0,000000001565;-0,000000001565;0,000004686343;0,000000673683;0,799996005881;-0,187937854315;0,000000016433;-0,000000003130;0,000000019513;0,000000010123;0,735870481487;-0,179922163766;0,000000001565;-0,000000001565;0,000000017948;0,000000008558;0,777952856871;-0,107780948823;0,000000001565;-0,000000001565;0,000000219833;0,000000035163;0,797992083244;-0,193949622227;0,000000003913;-0,000000002347;0,000000014818;0,000000008558;0,146717226116;-0,199961390139;0,000000001565;-0,000000001565
14h46m45s,64m;0,000000021078;0,000000008558;0,675752802367;-0,159882937393;0,000000002347;-0,000000001565;0,000002252768;0,000000288693;0,799996005881;-0,199961390139;0,000000008607;0,000000000783;0,000004298223;0,000000773843;0,799996005881;-0,199961390139;0,000000014867;0,000000000000;0,000001565733;0,000000213573;0,799996005881;-0,199961390139;0,000000005478;0,000000000000;0,000000542223;0,000000213573;0,795988160606;-0,197957467502;0,000000006260;-0,000000004695;0,000003906973;0,000000623603;0,799996005881;-0,199961390139;0,000000013302;-0,000000000782;0,000003465643;0,000000501533;0,799996005881;-0,199961390139;0,000000012520;0,000000000000;0,000001642418;0,000000199488;0,799996005881;-0,199961390139;0,000000007043;-0,000000000783;0,000002140088;0,000000277738;0,797992083244;-0,189941776952;0,000000018780;-0,000000010173;0,000003482858;0,000000460843;0,799996005881;-0,197957467502;0,000000016433;-0,000000003912;0,000000014818;0,000000010123;-0,143851556294;-0,015600507506;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,168760375127;-0,181926086403;0,000000001565;-0,000000001565;0,000000622038;0,000000251133;-0,195953544864;0,789976392694;0,000000028170;-0,000000030518;0,000003529808;0,000000584478;0,797992083244;-0,131828020470;0,000000023475;-0,000000010955;0,000000014818;0,000000010123;-0,145855478932;-0,109784871460;0,000000001565;-0,000000001565;0,000004750508;0,000000672118;0,799996005881;-0,123812329921;0,000000017215;-0,000000004695;0,000000019513;0,000000008558;0,793984237969;-0,089745645087;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,653709653357;-0,193949622227;0,000000001565;-0,000000001565;0,000000199488;0,000000036728;0,799996005881;-0,177918241129;0,000000003912;-0,000000003130;0,000000014818;0,000000008558;0,687776338191;-0,183930009040;0,000000001565;-0,000000001565
14h46m52s,67m;0,000000019513;0,000000008558;0,745890094674;-0,181926086403;0,000000001565;-0,000000001565;0,000002187038;0,000000274608;0,799996005881;-0,199961390139;0,000000008607;-0,000000000783;0,000004111988;0,000000723763;0,799996005881;-0,179922163766;0,000000014085;-0,000000002348;0,000001520348;0,000000207313;0,799996005881;-0,173910395854;0,000000005478;-0,000000001565;0,000000561003;0,000000190098;0,797992083244;-0,141847633657;0,000000006260;-0,000000005478;0,000003886628;0,000000618908;0,799996005881;-0,141847633657;0,000000013303;-0,000000003130;0,000003362353;0,000000489013;0,799996005881;-0,153871169481;0,000000012520;-0,000000001565;0,000001545388;0,000000193228;0,799996005881;-0,169902550579;0,000000007043;-0,000000002347;0,000002052448;0,000000280868;0,799996005881;-0,141847633657;0,000000020345;-0,000000007042;0,000003403043;0,000000456148;0,799996005881;-0,145855478932;0,000000015650;-0,000000004695;0,000000014818;0,000000010123;0,062552475349;-0,157879014755;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,481372306548;-0,157879014755;0,000000001565;-0,000000001565;0,000000626733;0,000000249568;-0,181926086403;0,785968547420;0,000000025823;-0,000000036778;0,000003485988;0,000000581348;0,795988160606;-0,097761335636;0,000000026605;-0,000000013302;0,000000014818;0,000000010123;-0,127820175196;0,104634850733;0,000000001565;-0,000000001565;0,000004659738;0,000000664293;0,799996005881;-0,075718186625;0,000000017997;-0,000000007825;0,000000019513;0,000000010123;0,691784183466;-0,195953544864;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,715831255114;-0,197957467502;0,000000001565;-0,000000001565;0,000000174448;0,000000033598;0,789976392694;-0,143851556294;0,000000003130;-0,000000003130;0,000000014818;0,000000006993;0,375164406770;-0,149863324206;0,000000001565;-0,000000001565
14h46m59s,68m;0,000000019513;0,000000006993;0,751901862585;-0,067702496076;0,000000001565;-0,000000001565;0,000002107223;0,000000269913;0,799996005881;-0,133831943108;0,000000007825;-0,000000002348;0,000003891323;0,000000708113;0,799996005881;-0,135835865745;0,000000014085;-0,000000004695;0,000001470268;0,000000207313;0,799996005881;-0,125816252558;0,000000006260;-0,000000002348;0,000000537528;0,000000157233;0,799996005881;-0,099765258273;0,000000005478;-0,000000004695;0,000003838113;0,000000618908;0,799996005881;-0,101769180911;0,000000013302;-0,000000005478;0,000003282538;0,000000484318;0,799996005881;-0,113792716734;0,000000011738;-0,000000003130;0,000001495308;0,000000193228;0,797992083244;-0,107780948823;0,000000007043;-0,000000002348;0,000001992978;0,000000283998;0,799996005881;-0,107780948823;0,000000019562;-0,000000014867;0,000003310708;0,000000448323;0,799996005881;-0,113792716734;0,000000016433;-0,000000005478;0,000000014818;0,000000010123;-0,115796639372;-0,003576971682;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,665733189181;-0,199961390139;0,000000001565;-0,000000001565;0,000000615778;0,000000263653;-0,109784871460;0,789976392694;0,000000025040;-0,000000035213;0,000003429648;0,000000559438;0,799996005881;-0,101769180911;0,000000026605;-0,000000032865;0,000000014818;0,000000010123;0,260940816443;-0,103773103548;0,000000001565;-0,000000001565;0,000004576793;0,000000659598;0,799996005881;-0,037643656517;0,000000020345;-0,000000007043;0,000000019513;0,000000010123;0,759917553135;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000008558;0,781960702145;-0,141847633657;0,000000001565;-0,000000001565;0,000000172883;0,000000033598;0,797992083244;-0,121808407284;0,000000003130;-0,000000003130;0,000000014818;0,000000008558;0,635674349621;-0,195953544864;0,000000001565;-0,000000001565
14h47m06s,73m;0,000000017948;0,000000008558;0,617639045885;-0,195953544864;0,000000001565;-0,000000001565;0,000002068098;0,000000271478;0,799996005881;-0,117800562009;0,000000007825;-0,000000003130;0,000003813073;0,000000703418;0,795988160606;-0,101769180911;0,000000014867;-0,000000005478;0,000001440533;0,000000205748;0,799996005881;-0,115796639372;0,000000005478;-0,000000003130;0,000000537528;0,000000155668;0,793984237969;-0,113792716734;0,000000006260;-0,000000003913;0,000003814638;0,000000617343;0,799996005881;-0,073714263988;0,000000013302;-0,000000005478;0,000003248108;0,000000476493;0,799996005881;-0,089745645087;0,000000012520;-0,000000003913;0,000001459313;0,000000191663;0,799996005881;-0,101769180911;0,000000007043;-0,000000003130;0,000001972633;0,000000279303;0,789976392694;-0,095757412999;0,000000028170;-0,000000021910;0,000003262193;0,000000456148;0,799996005881;-0,097761335636;0,000000021128;-0,000000006260;0,000000014818;0,000000010123;-0,125816252558;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,667737111818;0,138701535567;0,000000002348;-0,000000001565;0,000000636123;0,000000269913;-0,109784871460;0,799996005881;0,000000025823;-0,000000031300;0,000003426518;0,000000570393;0,799996005881;-0,017604430143;0,000000029735;-0,000000025040;0,000000014818;0,000000010123;-0,131828020470;0,108642696007;0,000000001565;-0,000000001565;0,000004537668;0,000000656468;0,799996005881;-0,023616198055;0,000000018780;-0,000000007825;0,000000017948;0,000000010123;0,601607664787;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000008558;0,771941088959;-0,021612275418;0,000000001565;-0,000000001565;0,000000177578;0,000000033598;0,795988160606;-0,079726031900;0,000000003130;-0,000000002348;0,000000014818;0,000000008558;0,765929321047;-0,165894705305;0,000000001565;-0,000000001565
14h47m13s,85m;0,000000021078;0,000000008558;0,795988160606;-0,137839788382;0,000000001565;-0,000000001565;0,000002044623;0,000000271478;0,799996005881;-0,107780948823;0,000000007825;-0,000000003130;0,000003781773;0,000000701853;0,799996005881;-0,093753490361;0,000000013302;-0,000000006260;0,000001424883;0,000000207313;0,799996005881;-0,101769180911;0,000000005478;-0,000000003130;0,000000529703;0,000000163493;0,799996005881;-0,123812329921;0,000000007042;-0,000000003913;0,000003784903;0,000000617343;0,799996005881;-0,065698573439;0,000000013302;-0,000000006260;0,000003212113;0,000000476493;0,799996005881;-0,071710341351;0,000000013302;-0,000000003913;0,000001446793;0,000000190098;0,799996005881;-0,095757412999;0,000000007043;-0,000000003912;0,000001900643;0,000000280868;0,799996005881;-0,085737799812;0,000000014085;-0,000000011737;0,000003201158;0,000000442063;0,799996005881;-0,069706418714;0,000000017997;-0,000000007825;0,000000014818;0,000000010123;-0,081729954537;-0,151867246843;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,593591974238;-0,131828020470;0,000000001565;-0,000000001565;0,000000617343;0,000000274608;-0,153871169481;0,789976392694;0,000000039125;-0,000000035213;0,000003388958;0,000000561003;0,799996005881;-0,003576971682;0,000000032082;-0,000000021910;0,000000014818;0,000000010123;-0,103773103548;0,014458332054;0,000000001565;-0,000000001565;0,000004500108;0,000000653338;0,799996005881;-0,009588739594;0,000000016433;-0,000000008608;0,000000017948;0,000000008558;0,693788106103;-0,197957467502;0,000000001565;-0,000000000783;0,000000016383;0,000000010123;0,729858713575;-0,199961390139;0,000000001565;-0,000000000783;0,000000172883;0,000000033598;0,797992083244;-0,031631888605;0,000000003130;-0,000000003130;0,000000014818;0,000000008558;0,222866286334;-0,131828020470;0,000000001565;-0,000000001565
14h47m20s,96m;0,000000017948;0,000000008558;0,731862636212;-0,183930009040;0,000000001565;-0,000000001565;0,000002022713;0,000000271478;0,799996005881;-0,085737799812;0,000000007043;-0,000000003913;0,000003783338;0,000000703418;0,799996005881;-0,075718186625;0,000000014085;-0,000000006260;0,000001407668;0,000000207313;0,799996005881;-0,089745645087;0,000000005478;-0,000000003130;0,000000528138;0,000000169753;0,799996005881;-0,099765258273;0,000000007825;-0,000000004695;0,000003762993;0,000000617343;0,799996005881;-0,055678960252;0,000000012520;-0,000000006260;0,000003194898;0,000000471798;0,799996005881;-0,073714263988;0,000000011738;-0,000000004695;0,000001426448;0,000000194793;0,799996005881;-0,077722109263;0,000000006260;-0,000000003130;0,000001916293;0,000000277738;0,797992083244;-0,069706418714;0,000000012520;-0,000000007042;0,000003201158;0,000000448323;0,799996005881;-0,073714263988;0,000000014867;-0,000000007825;0,000000014818;0,000000010123;-0,081729954537;-0,161886860030;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,075718186625;-0,151867246843;0,000000001565;-0,000000001565;0,000000632993;0,000000260523;-0,117800562009;0,789976392694;0,000000046167;-0,000000034430;0,000003374873;0,000000551613;0,799996005881;-0,013596584869;0,000000027388;-0,000000018780;0,000000014818;0,000000010123;0,030489713152;-0,089745645087;0,000000001565;-0,000000001565;0,000004476633;0,000000653338;0,799996005881;0,000430873592;0,000000017215;-0,000000008607;0,000000017948;0,000000010123;0,589584128963;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,783964624782;-0,197957467502;0,000000001565;-0,000000001565;0,000000168188;0,000000032033;0,785968547420;0,004438718867;0,000000003130;-0,000000002348;0,000000014818;0,000000008558;0,459329157538;-0,195953544864;0,000000001565;-0,000000001565
14h47m28s,02m;0,000000019513;0,000000008558;0,777952856871;-0,149863324206;0,000000001565;-0,000000001565;0,000002002368;0,000000273043;0,799996005881;-0,087741722449;0,000000008607;-0,000000003130;0,000003791163;0,000000706548;0,799996005881;-0,067702496076;0,000000014867;-0,000000006260;0,000001396713;0,000000207313;0,799996005881;-0,081729954537;0,000000005478;-0,000000003913;0,000000526573;0,000000177578;0,797992083244;-0,061690728164;0,000000006260;-0,000000003912;0,000003764558;0,000000620473;0,799996005881;-0,041651501791;0,000000013303;-0,000000006260;0,000003174553;0,000000471798;0,799996005881;-0,053675037615;0,000000011738;-0,000000005478;0,000001421753;0,000000190098;0,799996005881;-0,073714263988;0,000000007825;-0,000000003912;0,000001905338;0,000000280868;0,797992083244;-0,049667192340;0,000000021910;-0,000000008608;0,000003182378;0,000000446758;0,799996005881;-0,059686805527;0,000000017215;-0,000000007825;0,000000014818;0,000000010123;-0,187937854315;-0,163890782667;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,299015346552;-0,127820175196;0,000000001565;-0,000000001565;0,000000645513;0,000000265218;-0,085737799812;0,781960702145;0,000000017997;-0,000000018780;0,000003342008;0,000000570393;0,795988160606;0,002434796230;0,000000027387;-0,000000018780;0,000000014818;0,000000010123;-0,173910395854;-0,045659347066;0,000000001565;-0,000000001565;0,000004465678;0,000000651773;0,799996005881;0,008446564142;0,000000019562;-0,000000007825;0,000000019513;0,000000010123;0,783964624782;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,246913357982;-0,197957467502;0,000000001565;-0,000000001565;0,000000168188;0,000000033598;0,795988160606;-0,011592662231;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,455321312263;-0,189941776952;0,000000001565;-0,000000001565
14h47m35s,04m;0,000000019513;0,000000008558;0,793984237969;-0,127820175196;0,000000001565;-0,000000001565;0,000001988283;0,000000271478;0,799996005881;-0,077722109263;0,000000009390;-0,000000004695;0,000003778643;0,000000706548;0,799996005881;-0,061690728164;0,000000014867;-0,000000006260;0,000001387323;0,000000207313;0,799996005881;-0,073714263988;0,000000005478;-0,000000003130;0,000000525008;0,000000179143;0,795988160606;-0,065698573439;0,000000005478;-0,000000004695;0,000003750473;0,000000623603;0,799996005881;-0,045659347066;0,000000014085;-0,000000007825;0,000003154208;0,000000470233;0,799996005881;-0,057682882890;0,000000011738;-0,000000004695;0,000001407668;0,000000196358;0,795988160606;-0,077722109263;0,000000007042;-0,000000003912;0,000001870908;0,000000285563;0,799996005881;-0,055678960252;0,000000022693;-0,000000010173;0,000003157338;0,000000451453;0,799996005881;-0,051671114978;0,000000016433;-0,000000008607;0,000000014818;0,000000010123;-0,131828020470;-0,113792716734;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,313042805014;-0,191945699590;0,000000001565;-0,000000001565;0,000000650208;0,000000269913;-0,085737799812;0,795988160606;0,000000032083;-0,000000043037;0,000003321663;0,000000579783;0,799996005881;0,002434796230;0,000000029735;-0,000000014867;0,000000014818;0,000000010123;-0,191945699590;0,148721148754;0,000000001565;-0,000000001565;0,000004446898;0,000000650208;0,799996005881;0,012454409416;0,000000017215;-0,000000008607;0,000000017948;0,000000010123;0,625654736435;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,733866558850;-0,199961390139;0,000000001565;-0,000000001565;0,000000163493;0,000000033598;0,789976392694;-0,021612275418;0,000000003130;-0,000000003912;0,000000014818;0,000000008558;0,369152638858;-0,179922163766;0,000000001565;-0,000000001565
14h47m42s,16m;0,000000017948;0,000000008558;0,697795951378;-0,199961390139;0,000000001565;-0,000000001565;0,000001985153;0,000000273043;0,799996005881;-0,075718186625;0,000000008607;-0,000000003130;0,000003766123;0,000000708113;0,799996005881;-0,065698573439;0,000000014085;-0,000000007043;0,000001382628;0,000000205748;0,799996005881;-0,069706418714;0,000000004695;-0,000000003913;0,000000514053;0,000000188533;0,799996005881;-0,053675037615;0,000000006260;-0,000000003912;0,000003730128;0,000000626733;0,799996005881;-0,045659347066;0,000000014085;-0,000000006260;0,000003133863;0,000000470233;0,799996005881;-0,045659347066;0,000000010955;-0,000000005478;0,000001402973;0,000000191663;0,799996005881;-0,065698573439;0,000000005478;-0,000000004695;0,000001881863;0,000000280868;0,799996005881;-0,035639733879;0,000000021910;-0,000000017215;0,000003151078;0,000000446758;0,799996005881;-0,055678960252;0,000000018780;-0,000000007825;0,000000016383;0,000000010123;0,683768492917;-0,139843711020;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,230881976884;-0,173910395854;0,000000001565;-0,000000001565;0,000000676813;0,000000266783;-0,081729954537;0,773945011596;0,000000014085;-0,000000017215;0,000003329488;0,000000568828;0,799996005881;0,006442641504;0,000000031300;-0,000000014867;0,000000014818;0,000000010123;-0,193949622227;-0,173910395854;0,000000001565;-0,000000001565;0,000004418728;0,000000645513;0,799996005881;0,020470099966;0,000000019562;-0,000000008608;0,000000017948;0,000000010123;0,591588051600;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,797992083244;-0,199961390139;0,000000001565;-0,000000001565;0,000000168188;0,000000035163;0,797992083244;-0,011592662231;0,000000003130;-0,000000002348;0,000000014818;0,000000008558;0,445301699076;-0,163890782667;0,000000001565;-0,000000001565
