Variable Source,dev1,dev2,dev3,dev4,dev5,dev6,dev7,dev8,dev9,dev10,dev11,dev12,dev13,dev14,dev15,dev16,dev17,Dev 18,Dev 19,Dev 20
"-0,499938586","8,73049E-07","8,70105E-07","1,03944E-06","1,86083E-06","6,61579E-08","8,61777E-07","4,34449E-06","8,64918E-07","7,8251E-07","9,86675E-07","2,89755E-06","2,67134E-06","9,6863E-09","2,63683E-06","4,63931E-07","2,33745E-06","8,96481E-09","6,96925E-09","8,41247E-09","1,05176E-06"
"-0,497934664","8,70858E-07","8,67739E-07","1,03668E-06","1,8557E-06","6,57885E-08","8,5898E-07","4,33338E-06","8,62234E-07","7,81046E-07","9,84589E-07","2,89109E-06","2,67039E-06","9,92266E-09","2,63067E-06","4,63603E-07","2,33231E-06","9,32821E-09","7,40378E-09","8,65882E-09","1,0489E-06"
"-0,495930741","8,68644E-07","8,6536E-07","1,03393E-06","1,85057E-06","6,54272E-08","8,56175E-07","4,32222E-06","8,5953E-07","7,79554E-07","9,82463E-07","2,88457E-06","2,66936E-06","1,0148E-08","2,62443E-06","4,63247E-07","2,32707E-06","9,67003E-09","7,81665E-09","8,89321E-09","1,04601E-06"
"-0,493926818","8,66406E-07","8,62967E-07","1,0312E-06","1,84543E-06","6,50741E-08","8,53361E-07","4,31102E-06","8,56808E-07","7,78034E-07","9,80296E-07","2,87801E-06","2,66825E-06","1,03624E-08","2,61811E-06","4,62863E-07","2,32173E-06","9,99028E-09","8,20786E-09","9,11564E-09","1,04311E-06"
"-0,491922896","8,64145E-07","8,60561E-07","1,02848E-06","1,84027E-06","6,4729E-08","8,50538E-07","4,29977E-06","8,54066E-07","7,76487E-07","9,7809E-07","2,87138E-06","2,66707E-06","1,05658E-08","2,6117E-06","4,62452E-07","2,3163E-06","1,02889E-08","8,57741E-09","9,3261E-09","1,04019E-06"
"-0,489918973","8,61861E-07","8,58141E-07","1,02577E-06","1,83511E-06","6,43921E-08","8,47706E-07","4,28847E-06","8,51304E-07","7,74912E-07","9,75843E-07","2,86471E-06","2,66581E-06","1,07582E-08","2,6052E-06","4,62013E-07","2,31075E-06","1,0566E-08","8,92529E-09","9,5246E-09","1,03725E-06"
"-0,48791505","8,59553E-07","8,55707E-07","1,02308E-06","1,82993E-06","6,40633E-08","8,44866E-07","4,27713E-06","8,48524E-07","7,7331E-07","9,73555E-07","2,85798E-06","2,66448E-06","1,09396E-08","2,59862E-06","4,61545E-07","2,30511E-06","1,08215E-08","9,25151E-09","9,71113E-09","1,03429E-06"
"-0,485911128","8,57221E-07","8,53259E-07","1,0204E-06","1,82474E-06","6,37426E-08","8,42017E-07","4,26574E-06","8,45723E-07","7,7168E-07","9,71228E-07","2,8512E-06","2,66307E-06","1,111E-08","2,59196E-06","4,61051E-07","2,29937E-06","1,10555E-08","9,55606E-09","9,88571E-09","1,03131E-06"
"-0,483907205","8,54867E-07","8,50798E-07","1,01773E-06","1,81955E-06","6,343E-08","8,39159E-07","4,2543E-06","8,42904E-07","7,70023E-07","9,6886E-07","2,84436E-06","2,66158E-06","1,12694E-08","2,58521E-06","4,60528E-07","2,29353E-06","1,12678E-08","9,83896E-09","1,00483E-08","1,0283E-06"
"-0,481903283","8,52489E-07","8,48322E-07","1,01508E-06","1,81434E-06","6,31256E-08","8,36292E-07","4,24281E-06","8,40065E-07","7,68337E-07","9,66452E-07","2,83747E-06","2,66001E-06","1,14179E-08","2,57838E-06","4,59978E-07","2,28759E-06","1,14586E-08","1,01002E-08","1,0199E-08","1,02528E-06"
