"2025-04-07_15h55m29s,05m",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"-0,499938586","2,23366E-06","8,03526E-06","1,03816E-08","1,15366E-08","2,52859E-06","3,15555E-06","1,51153E-06","1,20669E-08","1,05366E-08","1,59162E-06","2,23799E-06","4,45642E-06","2,67775E-06","3,8612E-06","1,12493E-08","4,94562E-06","1,20261E-06","6,57143E-06","3,60737E-06","2,52982E-06"
"-0,497934664","2,22742E-06","8,03902E-06","1,04369E-08","1,14027E-08","2,52153E-06","3,14579E-06","1,5087E-06","1,1996E-08","1,07349E-08","1,58805E-06","2,23024E-06","4,44357E-06","2,67061E-06","3,84779E-06","1,11698E-08","4,9313E-06","1,198E-06","6,55913E-06","3,59699E-06","2,52214E-06"
"-0,495930741","2,22112E-06","8,04228E-06","1,04935E-08","1,12812E-08","2,51448E-06","3,13601E-06","1,50587E-06","1,19263E-08","1,09184E-08","1,58441E-06","2,22242E-06","4,43059E-06","2,66338E-06","3,83422E-06","1,10994E-08","4,91685E-06","1,1934E-06","6,54657E-06","3,58654E-06","2,51445E-06"
"-0,493926818","2,21476E-06","8,04504E-06","1,05511E-08","1,11722E-08","2,50741E-06","3,1262E-06","1,50302E-06","1,18579E-08","1,10869E-08","1,58071E-06","2,21455E-06","4,41746E-06","2,65604E-06","3,82048E-06","1,10382E-08","4,90228E-06","1,18882E-06","6,53378E-06","3,57602E-06","2,50676E-06"
"-0,491922896","2,20835E-06","8,04729E-06","1,061E-08","1,10758E-08","2,50034E-06","3,11636E-06","1,50015E-06","1,17907E-08","1,12405E-08","1,57693E-06","2,20661E-06","4,40419E-06","2,6486E-06","3,80657E-06","1,09861E-08","4,88759E-06","1,18425E-06","6,52074E-06","3,56545E-06","2,49906E-06"
"-0,489918973","2,20189E-06","8,04903E-06","1,067E-08","1,09919E-08","2,49327E-06","3,10649E-06","1,49728E-06","1,17247E-08","1,13792E-08","1,57309E-06","2,19862E-06","4,39077E-06","2,64107E-06","3,79251E-06","1,09432E-08","4,87277E-06","1,1797E-06","6,50746E-06","3,5548E-06","2,49136E-06"
"-0,48791505","2,19537E-06","8,05027E-06","1,07311E-08","1,09205E-08","2,48618E-06","3,09659E-06","1,49439E-06","1,166E-08","1,1503E-08","1,56919E-06","2,19057E-06","4,37721E-06","2,63343E-06","3,77828E-06","1,09094E-08","4,85782E-06","1,17517E-06","6,49393E-06","3,5441E-06","2,48365E-06"
"-0,485911128","2,1888E-06","8,051E-06","1,07934E-08","1,08616E-08","2,4791E-06","3,08666E-06","1,49149E-06","1,15965E-08","1,16119E-08","1,56522E-06","2,18246E-06","4,36352E-06","2,62569E-06","3,76388E-06","1,08848E-08","4,84275E-06","1,17065E-06","6,48016E-06","3,53333E-06","2,47594E-06"
"-0,483907205","2,18217E-06","8,05123E-06","1,08569E-08","1,08152E-08","2,47201E-06","3,0767E-06","1,48857E-06","1,15343E-08","1,17059E-08","1,56118E-06","2,17429E-06","4,34967E-06","2,61785E-06","3,74933E-06","1,08693E-08","4,82756E-06","1,16615E-06","6,46615E-06","3,52249E-06","2,46822E-06"
"-0,481903283","2,17549E-06","8,05095E-06","1,09216E-08","1,07813E-08","2,46491E-06","3,06671E-06","1,48564E-06","1,14733E-08","1,17849E-08","1,55707E-06","2,16607E-06","4,33569E-06","2,60991E-06","3,73461E-06","1,08629E-08","4,81225E-06","1,16166E-06","6,4519E-06","3,51159E-06","2,46049E-06"
"-0,47989936","2,16875E-06","8,05017E-06","1,09873E-08","1,07599E-08","2,4578E-06","3,05669E-06","1,4827E-06","1,14136E-08","1,18491E-08","1,5529E-06","2,15778E-06","4,32156E-06","2,60187E-06","3,71972E-06","1,08657E-08","4,79681E-06","1,15719E-06","6,4374E-06","3,50062E-06","2,45276E-06"
"-0,477895437","2,16197E-06","8,04887E-06","1,10543E-08","1,07511E-08","2,45069E-06","3,04665E-06","1,47974E-06","1,13551E-08","1,18983E-08","1,54866E-06","2,14944E-06","4,30729E-06","2,59374E-06","3,70467E-06","1,08776E-08","4,78124E-06","1,15274E-06","6,42266E-06","3,48959E-06","2,44502E-06"
"-0,475891515","2,15512E-06","8,04708E-06","1,11224E-08","1,07547E-08","2,44358E-06","3,03657E-06","1,47677E-06","1,12978E-08","1,19326E-08","1,54435E-06","2,14103E-06","4,29288E-06","2,5855E-06","3,68946E-06","1,08987E-08","4,76555E-06","1,1483E-06","6,40767E-06","3,4785E-06","2,43728E-06"
"-0,473887592","2,14823E-06","8,04478E-06","1,11917E-08","1,07709E-08","2,43646E-06","3,02646E-06","1,47379E-06","1,12418E-08","1,1952E-08","1,53997E-06","2,13257E-06","4,27833E-06","2,57716E-06","3,67408E-06","1,09289E-08","4,74974E-06","1,14388E-06","6,39244E-06","3,46734E-06","2,42953E-06"
"-0,471883669","2,14128E-06","8,04197E-06","1,12621E-08","1,07996E-08","2,42933E-06","3,01633E-06","1,4708E-06","1,1187E-08","1,19565E-08","1,53553E-06","2,12405E-06","4,26363E-06","2,56872E-06","3,65854E-06","1,09683E-08","4,7338E-06","1,13948E-06","6,37697E-06","3,45611E-06","2,42177E-06"
"-0,469879747","2,13427E-06","8,03865E-06","1,13337E-08","1,08408E-08","2,4222E-06","3,00617E-06","1,46779E-06","1,11334E-08","1,19461E-08","1,53103E-06","2,11547E-06","4,24879E-06","2,56018E-06","3,64284E-06","1,10168E-08","4,71774E-06","1,13509E-06","6,36126E-06","3,44482E-06","2,41401E-06"
"-0,467875824","2,12721E-06","8,03483E-06","1,14064E-08","1,08945E-08","2,41506E-06","2,99597E-06","1,46476E-06","1,10811E-08","1,19207E-08","1,52645E-06","2,10683E-06","4,23381E-06","2,55153E-06","3,62697E-06","1,10744E-08","4,70156E-06","1,13071E-06","6,3453E-06","3,43347E-06","2,40624E-06"
"-0,465871901","2,1201E-06","8,03051E-06","1,14803E-08","1,09607E-08","2,40792E-06","2,98575E-06","1,46173E-06","1,10301E-08","1,18805E-08","1,52181E-06","2,09813E-06","4,21869E-06","2,54279E-06","3,61094E-06","1,11412E-08","4,68525E-06","1,12636E-06","6,3291E-06","3,42205E-06","2,39846E-06"
"-0,463867979","2,11293E-06","8,02568E-06","1,15554E-08","1,10395E-08","2,40077E-06","2,9755E-06","1,45868E-06","1,09802E-08","1,18253E-08","1,5171E-06","2,08938E-06","4,20342E-06","2,53395E-06","3,59475E-06","1,12171E-08","4,66881E-06","1,12202E-06","6,31265E-06","3,41057E-06","2,39068E-06"
"-0,461864056","2,10571E-06","8,02034E-06","1,16316E-08","1,11307E-08","2,39362E-06","2,96522E-06","1,45562E-06","1,09316E-08","1,17552E-08","1,51232E-06","2,08056E-06","4,18801E-06","2,52501E-06","3,57839E-06","1,13022E-08","4,65226E-06","1,11769E-06","6,29596E-06","3,39902E-06","2,3829E-06"
"-0,459860134","2,09843E-06","8,0145E-06","1,1709E-08","1,12345E-08","2,38646E-06","2,95491E-06","1,45254E-06","1,08843E-08","1,16702E-08","1,50748E-06","2,07169E-06","4,17246E-06","2,51597E-06","3,56187E-06","1,13964E-08","4,63557E-06","1,11338E-06","6,27903E-06","3,38741E-06","2,37511E-06"
"-0,457856211","2,0911E-06","8,00815E-06","1,17875E-08","1,13508E-08","2,37929E-06","2,94457E-06","1,44945E-06","1,08382E-08","1,15703E-08","1,50257E-06","2,06275E-06","4,15676E-06","2,50683E-06","3,54518E-06","1,14998E-08","4,61877E-06","1,10909E-06","6,26185E-06","3,37573E-06","2,36731E-06"
"-0,455852288","2,08372E-06","8,00129E-06","1,18672E-08","1,14795E-08","2,37212E-06","2,9342E-06","1,44635E-06","1,07934E-08","1,14555E-08","1,49759E-06","2,05376E-06","4,14093E-06","2,49758E-06","3,52833E-06","1,16123E-08","4,60184E-06","1,10481E-06","6,24444E-06","3,36399E-06","2,35951E-06"
"-0,453848366","2,07628E-06","7,99393E-06","1,19481E-08","1,16208E-08","2,36494E-06","2,9238E-06","1,44324E-06","1,07497E-08","1,13258E-08","1,49255E-06","2,04471E-06","4,12495E-06","2,48824E-06","3,51132E-06","1,17339E-08","4,58478E-06","1,10055E-06","6,22677E-06","3,35219E-06","2,3517E-06"
"-0,451844443","2,06879E-06","7,98607E-06","1,20301E-08","1,17747E-08","2,35776E-06","2,91338E-06","1,44011E-06","1,07074E-08","1,11811E-08","1,48744E-06","2,0356E-06","4,10883E-06","2,4788E-06","3,49414E-06","1,18647E-08","4,56761E-06","1,09631E-06","6,20887E-06","3,34032E-06","2,34388E-06"
"-0,44984052","2,06127E-06","7,97783E-06","1,21087E-08","1,1928E-08","2,35054E-06","2,9029E-06","1,43696E-06","1,06682E-08","1,10352E-08","1,4823E-06","2,02648E-06","4,09263E-06","2,4693E-06","3,47692E-06","1,19948E-08","4,55034E-06","1,09207E-06","6,19078E-06","3,3284E-06","2,33606E-06"
"-0,447836598","2,05375E-06","7,96934E-06","1,21792E-08","1,2068E-08","2,34327E-06","2,89237E-06","1,43377E-06","1,06343E-08","1,09016E-08","1,47718E-06","2,01738E-06","4,07644E-06","2,45979E-06","3,45976E-06","1,21143E-08","4,53302E-06","1,08783E-06","6,17257E-06","3,31645E-06","2,32823E-06"
"-0,445832675","2,04623E-06","7,96061E-06","1,22416E-08","1,21946E-08","2,33593E-06","2,88178E-06","1,43055E-06","1,06056E-08","1,07804E-08","1,47206E-06","2,0083E-06","4,06024E-06","2,45027E-06","3,44267E-06","1,22233E-08","4,51565E-06","1,08358E-06","6,15423E-06","3,30448E-06","2,3204E-06"
"-0,443828752","2,03871E-06","7,95164E-06","1,22959E-08","1,23078E-08","2,32854E-06","2,87113E-06","1,4273E-06","1,05822E-08","1,06716E-08","1,46696E-06","1,99925E-06","4,04405E-06","2,44075E-06","3,42565E-06","1,23218E-08","4,49823E-06","1,07933E-06","6,13577E-06","3,29248E-06","2,31257E-06"
"-0,44182483","2,03118E-06","7,94242E-06","1,23422E-08","1,24076E-08","2,32108E-06","2,86042E-06","1,42401E-06","1,0564E-08","1,05751E-08","1,46186E-06","1,99022E-06","4,02785E-06","2,43121E-06","3,40869E-06","1,24097E-08","4,48076E-06","1,07508E-06","6,11719E-06","3,28046E-06","2,30473E-06"
"-0,439820907","2,02366E-06","7,93296E-06","1,23804E-08","1,2494E-08","2,31357E-06","2,84965E-06","1,42069E-06","1,0551E-08","1,04909E-08","1,45678E-06","1,98122E-06","4,01165E-06","2,42167E-06","3,3918E-06","1,2487E-08","4,46324E-06","1,07082E-06","6,09849E-06","3,2684E-06","2,29688E-06"
"-0,437816985","2,01613E-06","7,92326E-06","1,24106E-08","1,2567E-08","2,306E-06","2,83882E-06","1,41734E-06","1,05433E-08","1,04192E-08","1,45171E-06","1,97225E-06","3,99546E-06","2,41211E-06","3,37497E-06","1,25539E-08","4,44566E-06","1,06656E-06","6,07966E-06","3,25632E-06","2,28903E-06"
"-0,435813062","2,0086E-06","7,91331E-06","1,24327E-08","1,26266E-08","2,29836E-06","2,82793E-06","1,41395E-06","1,05407E-08","1,03597E-08","1,44666E-06","1,9633E-06","3,97926E-06","2,40255E-06","3,35822E-06","1,26102E-08","4,42804E-06","1,0623E-06","6,06071E-06","3,24421E-06","2,28118E-06"
"-0,433809139","2,00107E-06","7,90312E-06","1,24467E-08","1,26728E-08","2,29067E-06","2,81698E-06","1,41053E-06","1,05434E-08","1,03127E-08","1,44161E-06","1,95437E-06","3,96306E-06","2,39298E-06","3,34152E-06","1,26559E-08","4,41036E-06","1,05803E-06","6,04164E-06","3,23207E-06","2,27332E-06"
"-0,431805217","1,99354E-06","7,89268E-06","1,24526E-08","1,27056E-08","2,28291E-06","2,80597E-06","1,40707E-06","1,05514E-08","1,0278E-08","1,43657E-06","1,94548E-06","3,94686E-06","2,38339E-06","3,3249E-06","1,26911E-08","4,39263E-06","1,05375E-06","6,02245E-06","3,21991E-06","2,26546E-06"
"-0,429801294","1,98601E-06","7,882E-06","1,24505E-08","1,2725E-08","2,2751E-06","2,7949E-06","1,40359E-06","1,05646E-08","1,02556E-08","1,43155E-06","1,9366E-06","3,93066E-06","2,3738E-06","3,30834E-06","1,27158E-08","4,37485E-06","1,04948E-06","6,00313E-06","3,20771E-06","2,25759E-06"
"-0,427797371","1,97848E-06","7,87108E-06","1,24403E-08","1,27311E-08","2,26723E-06","2,78377E-06","1,40006E-06","1,0583E-08","1,02456E-08","1,42654E-06","1,92775E-06","3,91446E-06","2,3642E-06","3,29185E-06","1,27299E-08","4,35702E-06","1,0452E-06","5,98369E-06","3,19549E-06","2,24971E-06"
"-0,425793449","1,97094E-06","7,85991E-06","1,2422E-08","1,27237E-08","2,25929E-06","2,77258E-06","1,39651E-06","1,06066E-08","1,0248E-08","1,42153E-06","1,91893E-06","3,89825E-06","2,35459E-06","3,27543E-06","1,27335E-08","4,33913E-06","1,04091E-06","5,96412E-06","3,18325E-06","2,24184E-06"
