Variable Source,dev1,dev2,dev3,dev4,dev5,dev6,dev7,dev8,dev9,dev10,dev11,dev12,dev13,dev14,dev15,dev16,dev17,Dev 18,Dev 19,Dev 20
"-0,499987229","3,2096E-06","1,30386E-06","1,16171E-08","3,992E-06","3,9977E-06","6,91264E-07","2,98814E-06","9,43992E-09","2,11427E-06","2,32034E-06","1,08216E-06","1,74685E-06","1,69537E-06","1,82522E-06","5,8124E-09","8,4971E-09","2,6371E-06","1,04857E-06","2,98294E-06","-3,53883E-09"
"-0,497983303","3,20444E-06","1,30151E-06","1,14725E-08","3,98924E-06","3,99402E-06","6,91096E-07","2,98329E-06","9,39938E-09","2,11436E-06","2,31623E-06","1,08257E-06","1,7434E-06","1,69412E-06","1,82311E-06","6,0518E-09","8,70405E-09","2,63446E-06","1,04697E-06","2,98119E-06","-3,22523E-09"
"-0,495979378","3,19925E-06","1,29915E-06","1,13354E-08","3,98633E-06","3,99022E-06","6,909E-07","2,97841E-06","9,36327E-09","2,11433E-06","2,31208E-06","1,08285E-06","1,73993E-06","1,69278E-06","1,82087E-06","6,27835E-09","8,89826E-09","2,6317E-06","1,04532E-06","2,9793E-06","-2,92679E-09"
"-0,493975452","3,19402E-06","1,29676E-06","1,12059E-08","3,98325E-06","3,9863E-06","6,90676E-07","2,97353E-06","9,33159E-09","2,11418E-06","2,3079E-06","1,08301E-06","1,73641E-06","1,69136E-06","1,81853E-06","6,49207E-09","9,07973E-09","2,62882E-06","1,04364E-06","2,97727E-06","-2,6435E-09"
"-0,491971527","3,18876E-06","1,29435E-06","1,1084E-08","3,98002E-06","3,98227E-06","6,90425E-07","2,96863E-06","9,30434E-09","2,11392E-06","2,30367E-06","1,08303E-06","1,73287E-06","1,68985E-06","1,81607E-06","6,69295E-09","9,24846E-09","2,62582E-06","1,04192E-06","2,97511E-06","-2,37537E-09"
"-0,489967601","3,18347E-06","1,29191E-06","1,09697E-08","3,97663E-06","3,97812E-06","6,90146E-07","2,96372E-06","9,28153E-09","2,11353E-06","2,2994E-06","1,08293E-06","1,72928E-06","1,68826E-06","1,8135E-06","6,88099E-09","9,40444E-09","2,6227E-06","1,04015E-06","2,97281E-06","-2,12239E-09"
"-0,487963676","3,17815E-06","1,28946E-06","1,0863E-08","3,97308E-06","3,97385E-06","6,89839E-07","2,95879E-06","9,26314E-09","2,11303E-06","2,29509E-06","1,08269E-06","1,72566E-06","1,68657E-06","1,81081E-06","7,05619E-09","9,54769E-09","2,61946E-06","1,03835E-06","2,97038E-06","-1,88457E-09"
"-0,48595975","3,1728E-06","1,28698E-06","1,07639E-08","3,96938E-06","3,96947E-06","6,89505E-07","2,95385E-06","9,24919E-09","2,11241E-06","2,29074E-06","1,08233E-06","1,72201E-06","1,6848E-06","1,80801E-06","7,21856E-09","9,6782E-09","2,6161E-06","1,03651E-06","2,9678E-06","-1,6619E-09"
"-0,483955825","3,16741E-06","1,28447E-06","1,06725E-08","3,96551E-06","3,96496E-06","6,89143E-07","2,94889E-06","9,23967E-09","2,11168E-06","2,28634E-06","1,08184E-06","1,71832E-06","1,68295E-06","1,8051E-06","7,36808E-09","9,79596E-09","2,61263E-06","1,03463E-06","2,96509E-06","-1,45439E-09"
"-0,481951899","3,16199E-06","1,28195E-06","1,05886E-08","3,96149E-06","3,96035E-06","6,88753E-07","2,94392E-06","9,23458E-09","2,11082E-06","2,28191E-06","1,08121E-06","1,7146E-06","1,681E-06","1,80208E-06","7,50477E-09","9,90099E-09","2,60903E-06","1,0327E-06","2,96225E-06","-1,26203E-09"
"-0,479947974","3,15654E-06","1,2794E-06","1,05123E-08","3,9573E-06","3,95561E-06","6,88335E-07","2,93894E-06","9,23392E-09","2,10985E-06","2,27744E-06","1,08046E-06","1,71084E-06","1,67897E-06","1,79894E-06","7,62862E-09","9,99327E-09","2,60532E-06","1,03074E-06","2,95926E-06","-1,08483E-09"
"-0,477944048","3,15106E-06","1,27683E-06","1,04436E-08","3,95296E-06","3,95076E-06","6,8789E-07","2,93394E-06","9,23769E-09","2,10876E-06","2,27293E-06","1,07958E-06","1,70704E-06","1,67685E-06","1,79568E-06","7,73963E-09","1,00728E-08","2,60149E-06","1,02873E-06","2,95615E-06","-9,22779E-10"
"-0,475940123","3,14555E-06","1,27424E-06","1,03826E-08","3,94846E-06","3,94579E-06","6,87417E-07","2,92892E-06","9,24589E-09","2,10756E-06","2,26838E-06","1,07857E-06","1,70321E-06","1,67464E-06","1,79232E-06","7,8378E-09","1,01396E-08","2,59754E-06","1,02669E-06","2,95289E-06","-7,75886E-10"
"-0,473936197","3,14E-06","1,27162E-06","1,03291E-08","3,9438E-06","3,9407E-06","6,86917E-07","2,9239E-06","9,25853E-09","2,10623E-06","2,26378E-06","1,07742E-06","1,69935E-06","1,67235E-06","1,78883E-06","7,92314E-09","1,01937E-08","2,59347E-06","1,02461E-06","2,9495E-06","-6,44148E-10"
"-0,471932272","3,13442E-06","1,26899E-06","1,02832E-08","3,93898E-06","3,93549E-06","6,86389E-07","2,91885E-06","9,2756E-09","2,10479E-06","2,25915E-06","1,07615E-06","1,69545E-06","1,66997E-06","1,78524E-06","7,99563E-09","1,0235E-08","2,58928E-06","1,02248E-06","2,94597E-06","-5,27565E-10"
"-0,469928346","3,12881E-06","1,26633E-06","1,0245E-08","3,93401E-06","3,93017E-06","6,85833E-07","2,9138E-06","9,29709E-09","2,10323E-06","2,25448E-06","1,07475E-06","1,69151E-06","1,6675E-06","1,78153E-06","8,05529E-09","1,02636E-08","2,58497E-06","1,02032E-06","2,9423E-06","-4,26137E-10"
"-0,467924421","3,12317E-06","1,26364E-06","1,02143E-08","3,92887E-06","3,92473E-06","6,85249E-07","2,90873E-06","9,32302E-09","2,10155E-06","2,24976E-06","1,07322E-06","1,68754E-06","1,66495E-06","1,77771E-06","8,10211E-09","1,02794E-08","2,58054E-06","1,01811E-06","2,9385E-06","-3,39864E-10"
"-0,465920495","3,1175E-06","1,26094E-06","1,01912E-08","3,92358E-06","3,91918E-06","6,84638E-07","2,90364E-06","9,35338E-09","2,09975E-06","2,24501E-06","1,07156E-06","1,68354E-06","1,66231E-06","1,77378E-06","8,13609E-09","1,02825E-08","2,57599E-06","1,01587E-06","2,93456E-06","-2,68746E-10"
"-0,46391657","3,11179E-06","1,25821E-06","1,01758E-08","3,91813E-06","3,91351E-06","6,83999E-07","2,89854E-06","9,38817E-09","2,09784E-06","2,24021E-06","1,06977E-06","1,6795E-06","1,65958E-06","1,76973E-06","8,15723E-09","1,02729E-08","2,57133E-06","1,01358E-06","2,93048E-06","-2,12783E-10"
"-0,461912644","3,10606E-06","1,25546E-06","1,01679E-08","3,91252E-06","3,90772E-06","6,83332E-07","2,89343E-06","9,42739E-09","2,09581E-06","2,23538E-06","1,06785E-06","1,67542E-06","1,65676E-06","1,76557E-06","8,16553E-09","1,02505E-08","2,56654E-06","1,01126E-06","2,92627E-06","-1,71974E-10"
"-0,459908719","3,10029E-06","1,25268E-06","1,01676E-08","3,90675E-06","3,90181E-06","6,82638E-07","2,8883E-06","9,47105E-09","2,09366E-06","2,2305E-06","1,06581E-06","1,67131E-06","1,65386E-06","1,76129E-06","8,161E-09","1,02154E-08","2,56164E-06","1,00889E-06","2,92192E-06","-1,46321E-10"
"-0,457904793","3,09449E-06","1,24989E-06","1,0175E-08","3,90082E-06","3,89578E-06","6,81916E-07","2,88315E-06","9,51913E-09","2,09139E-06","2,22559E-06","1,06363E-06","1,66716E-06","1,65087E-06","1,7569E-06","8,14362E-09","1,01675E-08","2,55662E-06","1,00649E-06","2,91743E-06","-1,35823E-10"
"-0,455900868","3,08865E-06","1,24707E-06","1,01899E-08","3,89473E-06","3,88964E-06","6,81166E-07","2,878E-06","9,57165E-09","2,089E-06","2,22063E-06","1,06132E-06","1,66298E-06","1,64779E-06","1,7524E-06","8,11341E-09","1,01069E-08","2,55147E-06","1,00404E-06","2,91281E-06","-1,40479E-10"
"-0,453896942","3,08279E-06","1,24422E-06","1,02125E-08","3,88849E-06","3,88339E-06","6,80389E-07","2,87283E-06","9,6286E-09","2,0865E-06","2,21563E-06","1,05888E-06","1,65876E-06","1,64463E-06","1,74778E-06","8,07036E-09","1,00336E-08","2,54621E-06","1,00155E-06","2,90805E-06","-1,60291E-10"
"-0,451893017","3,07689E-06","1,24136E-06","1,02426E-08","3,88209E-06","3,87701E-06","6,79584E-07","2,86764E-06","9,68997E-09","2,08388E-06","2,2106E-06","1,05632E-06","1,65451E-06","1,64137E-06","1,74305E-06","8,01447E-09","9,94747E-09","2,54083E-06","9,99029E-07","2,90316E-06","-1,95257E-10"
"-0,449889091","3,07095E-06","1,23847E-06","1,02757E-08","3,87557E-06","3,87054E-06","6,78753E-07","2,86241E-06","9,7512E-09","2,08117E-06","2,20553E-06","1,05368E-06","1,65023E-06","1,63806E-06","1,73826E-06","7,95425E-09","9,85834E-09","2,53537E-06","9,96484E-07","2,89816E-06","-2,33908E-10"
"-0,447885166","3,06494E-06","1,23557E-06","1,0307E-08","3,86897E-06","3,86399E-06","6,77896E-07","2,8571E-06","9,80768E-09","2,0784E-06","2,20045E-06","1,05103E-06","1,64592E-06","1,63471E-06","1,73346E-06","7,89818E-09","9,77584E-09","2,52987E-06","9,93942E-07","2,8931E-06","-2,64774E-10"
"-0,44588124","3,05888E-06","1,23264E-06","1,03366E-08","3,8623E-06","3,85737E-06","6,77015E-07","2,85172E-06","9,85943E-09","2,07558E-06","2,19535E-06","1,04838E-06","1,64158E-06","1,63131E-06","1,72866E-06","7,84628E-09","9,69999E-09","2,52433E-06","9,91402E-07","2,88797E-06","-2,87855E-10"
"-0,443877315","3,05275E-06","1,2297E-06","1,03645E-08","3,85555E-06","3,85067E-06","6,76109E-07","2,84626E-06","9,90644E-09","2,0727E-06","2,19023E-06","1,04571E-06","1,63721E-06","1,62788E-06","1,72385E-06","7,79854E-09","9,63078E-09","2,51875E-06","9,88865E-07","2,88278E-06","-3,0315E-10"
"-0,441873389","3,04656E-06","1,22673E-06","1,03906E-08","3,84872E-06","3,8439E-06","6,75179E-07","2,84072E-06","9,94871E-09","2,06976E-06","2,18509E-06","1,04304E-06","1,63282E-06","1,62441E-06","1,71903E-06","7,75496E-09","9,5682E-09","2,51313E-06","9,8633E-07","2,87753E-06","-3,10661E-10"
"-0,439869464","3,04031E-06","1,22375E-06","1,0415E-08","3,84183E-06","3,83706E-06","6,74223E-07","2,83511E-06","9,98624E-09","2,06676E-06","2,17994E-06","1,04035E-06","1,6284E-06","1,62091E-06","1,7142E-06","7,71554E-09","9,51227E-09","2,50746E-06","9,83799E-07","2,87221E-06","-3,10386E-10"
"-0,437865538","3,034E-06","1,22074E-06","1,04376E-08","3,83485E-06","3,83014E-06","6,73243E-07","2,82942E-06","1,0019E-08","2,06371E-06","2,17477E-06","1,03766E-06","1,62396E-06","1,61736E-06","1,70937E-06","7,68029E-09","9,46298E-09","2,50176E-06","9,81269E-07","2,86682E-06","-3,02325E-10"
"-0,435861613","3,02763E-06","1,21772E-06","1,04585E-08","3,8278E-06","3,82314E-06","6,72237E-07","2,82365E-06","1,00471E-08","2,0606E-06","2,16959E-06","1,03495E-06","1,61948E-06","1,61378E-06","1,70453E-06","7,64919E-09","9,42034E-09","2,49601E-06","9,78742E-07","2,86137E-06","-2,8648E-10"
"-0,433857687","3,02119E-06","1,21468E-06","1,04776E-08","3,82067E-06","3,81607E-06","6,71207E-07","2,81781E-06","1,00704E-08","2,05743E-06","2,16438E-06","1,03224E-06","1,61498E-06","1,61015E-06","1,69969E-06","7,62226E-09","9,38433E-09","2,49023E-06","9,76218E-07","2,85586E-06","-2,62849E-10"
"-0,431853762","3,0147E-06","1,21161E-06","1,0495E-08","3,81347E-06","3,80892E-06","6,70152E-07","2,81189E-06","1,0089E-08","2,0542E-06","2,15916E-06","1,02952E-06","1,61045E-06","1,60649E-06","1,69484E-06","7,59949E-09","9,35496E-09","2,4844E-06","9,73697E-07","2,85028E-06","-2,31433E-10"
"-0,429849836","3,00814E-06","1,20853E-06","1,05106E-08","3,80619E-06","3,8017E-06","6,69072E-07","2,80589E-06","1,01028E-08","2,05091E-06","2,15393E-06","1,02678E-06","1,6059E-06","1,60279E-06","1,68998E-06","7,58088E-09","9,33224E-09","2,47853E-06","9,71178E-07","2,84464E-06","-1,92232E-10"
"-0,427845911","3,00153E-06","1,20543E-06","1,05245E-08","3,79884E-06","3,79441E-06","6,67967E-07","2,79982E-06","1,01119E-08","2,04757E-06","2,14867E-06","1,02404E-06","1,60132E-06","1,59905E-06","1,68511E-06","7,56644E-09","9,31615E-09","2,47263E-06","9,68661E-07","2,83893E-06","-1,45245E-10"
"-0,425841985","2,99485E-06","1,2023E-06","1,05367E-08","3,79141E-06","3,78704E-06","6,66838E-07","2,79367E-06","1,01162E-08","2,04417E-06","2,1434E-06","1,02129E-06","1,59671E-06","1,59527E-06","1,68024E-06","7,55616E-09","9,30671E-09","2,46668E-06","9,66147E-07","2,83316E-06","-9,04731E-11"
"-0,42383806","2,98811E-06","1,19916E-06","1,05471E-08","3,7839E-06","3,77959E-06","6,65683E-07","2,78745E-06","1,01159E-08","2,04071E-06","2,13811E-06","1,01853E-06","1,59207E-06","1,59146E-06","1,67536E-06","7,55003E-09","9,30391E-09","2,46069E-06","9,63636E-07","2,82732E-06","-2,7916E-11"
"-0,421834134","2,98131E-06","1,196E-06","1,05558E-08","3,77632E-06","3,77207E-06","6,64504E-07","2,78114E-06","1,01107E-08","2,0372E-06","2,13281E-06","1,01576E-06","1,58741E-06","1,5876E-06","1,67047E-06","7,54807E-09","9,30775E-09","2,45466E-06","9,61127E-07","2,82142E-06","4,24263E-11"
"-0,419830209","2,97444E-06","1,19282E-06","1,05627E-08","3,76866E-06","3,76448E-06","6,633E-07","2,77477E-06","1,01009E-08","2,03362E-06","2,12748E-06","1,01297E-06","1,58272E-06","1,58371E-06","1,66558E-06","7,55028E-09","9,31823E-09","2,44859E-06","9,58621E-07","2,81546E-06","1,20554E-10"
"-0,417826283","2,96752E-06","1,18961E-06","1,05679E-08","3,76093E-06","3,75681E-06","6,62071E-07","2,76831E-06","1,00863E-08","2,02999E-06","2,12214E-06","1,01018E-06","1,578E-06","1,57978E-06","1,66068E-06","7,55664E-09","9,33535E-09","2,44247E-06","9,56118E-07","2,80943E-06","2,06467E-10"
