"-0,169902551","2,04183E-07","1,3253E-08","1,3253E-08.1","1,3253E-08.2","1,1688E-08","1,4818E-08","9,77293E-07","1,3253E-08.3","1,1688E-08.1","2,49691E-06","1,3253E-08.4","4,73363E-07","1,01955E-06","1,3253E-08.5","1,1688E-08.2","2,07749E-06","8,02013E-07","3,62248E-07","1,3253E-08.6","2,30285E-06"
"-0,167898628","2,02618E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,1688E-08","1,3253E-08","2,49691E-06","1,3253E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,1688E-08","2,07436E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,30285E-06"
"-0,165894705","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,1688E-08","2,49534E-06","1,3253E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,1688E-08","2,08218E-06","8,02013E-07","3,62248E-07","1,3253E-08","2,30441E-06"
"-0,163890783","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,1688E-08","4,71798E-07","1,01798E-06","1,3253E-08","1,3253E-08","2,07749E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30441E-06"
"-0,16188686","2,02618E-07","1,3253E-08","1,1688E-08","1,4818E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,73363E-07","1,01798E-06","1,3253E-08","1,1688E-08","2,07905E-06","8,03578E-07","3,60683E-07","1,3253E-08","2,30598E-06"
"-0,159882937","2,01053E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,3253E-08","4,74928E-07","1,01798E-06","1,3253E-08","1,3253E-08","2,07123E-06","8,02013E-07","3,62248E-07","1,3253E-08","2,30598E-06"
"-0,157879015","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,73363E-07","1,01798E-06","1,3253E-08","1,1688E-08","2,07905E-06","8,03578E-07","3,62248E-07","1,1688E-08","2,30441E-06"
"-0,155875092","2,02618E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,72598E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,73363E-07","1,01798E-06","1,3253E-08","1,1688E-08","2,07905E-06","8,00448E-07","3,63813E-07","1,3253E-08","2,30441E-06"
"-0,153871169","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,72598E-07","1,4818E-08","1,1688E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,01798E-06","1,3253E-08","1,1688E-08","2,07592E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30285E-06"
"-0,151867247","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,01642E-06","1,3253E-08","1,1688E-08","2,08218E-06","8,03578E-07","3,63813E-07","1,1688E-08","2,30441E-06"
"-0,149863324","2,05748E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,3253E-08","4,71798E-07","1,01798E-06","1,3253E-08","1,3253E-08","2,07905E-06","8,03578E-07","3,63813E-07","1,4818E-08","2,30598E-06"
"-0,147859402","2,05748E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,71798E-07","1,01798E-06","1,1688E-08","1,1688E-08","2,08375E-06","8,02013E-07","3,66943E-07","1,3253E-08","2,30598E-06"
"-0,145855479","2,05748E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,71798E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,07749E-06","8,02013E-07","3,62248E-07","1,3253E-08","2,30598E-06"
"-0,143851556","2,04183E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,73363E-07","1,01798E-06","1,3253E-08","1,1688E-08","2,08062E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,30598E-06"
"-0,141847634","2,02618E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","9,74163E-07","1,4818E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,1688E-08","2,08218E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,30911E-06"
"-0,139843711","2,05748E-07","1,1688E-08","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","9,72598E-07","1,3253E-08","1,1688E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,4818E-08","1,1688E-08","2,07749E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30598E-06"
"-0,137839788","2,04183E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,1688E-08","2,49221E-06","1,1688E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,08218E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30598E-06"
"-0,135835866","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,07905E-06","8,02013E-07","3,62248E-07","1,3253E-08","2,30441E-06"
"-0,133831943","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,1688E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,07905E-06","8,00448E-07","3,63813E-07","1,3253E-08","2,30598E-06"
"-0,13182802","2,07313E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,1688E-08","1,3253E-08","2,49221E-06","1,3253E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,08062E-06","8,02013E-07","3,62248E-07","1,1688E-08","2,30598E-06"
"-0,129824098","2,05748E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,78858E-07","1,1688E-08","1,4818E-08","2,49378E-06","1,3253E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,1688E-08","2,07905E-06","8,02013E-07","3,60683E-07","1,3253E-08","2,30598E-06"
"-0,127820175","2,05748E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,1688E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,08062E-06","8,02013E-07","3,62248E-07","1,1688E-08","2,30598E-06"
"-0,125816253","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,74928E-07","1,01955E-06","1,4818E-08","1,3253E-08","2,08062E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,30441E-06"
