Variable Source,dev1,dev2,dev3,dev4,dev5,dev6,dev7,dev8,dev9,dev10,dev11,dev12,dev13,dev14,dev15,dev16,dev17,Dev 18,Dev 19,Dev 20
"-0,19996139","6,54903E-07","4,40498E-07","4,02938E-07","7,14373E-07","1,3253E-08","6,11083E-07","4,84318E-07","4,79623E-07","1,07902E-06","1,0123E-08","1,8177E-06","1,57512E-06","7,70713E-07","1,79422E-06","8,00448E-07","7,25328E-07","7,94188E-07","1,1688E-08","1,77578E-07","8,558E-09"
"-0,197957468","6,53338E-07","4,35803E-07","3,99808E-07","7,09678E-07","1,1688E-08","6,09518E-07","4,81188E-07","4,78058E-07","1,06963E-06","1,0123E-08","1,81144E-06","1,57356E-06","7,64453E-07","1,78796E-06","7,97318E-07","7,22198E-07","7,92623E-07","1,1688E-08","1,77578E-07","8,558E-09"
"-0,195953545","6,45513E-07","4,35803E-07","3,99808E-07","7,09678E-07","1,1688E-08","6,03258E-07","4,79623E-07","4,76493E-07","1,06963E-06","1,0123E-08","1,79579E-06","1,5626E-06","7,62888E-07","1,77701E-06","7,92623E-07","7,15938E-07","7,89493E-07","1,1688E-08","1,76013E-07","1,0123E-08"
"-0,193949622","6,43948E-07","4,27978E-07","3,98243E-07","7,01853E-07","1,3253E-08","6,00128E-07","4,78058E-07","4,84318E-07","1,06024E-06","1,0123E-08","1,7864E-06","1,56104E-06","7,56628E-07","1,76918E-06","7,89493E-07","7,08113E-07","7,84798E-07","1,0123E-08","1,77578E-07","1,0123E-08"
"-0,1919457","6,36123E-07","4,27978E-07","3,99808E-07","6,98723E-07","1,1688E-08","5,98563E-07","4,78058E-07","4,79623E-07","1,05711E-06","1,0123E-08","1,77857E-06","1,54695E-06","7,53498E-07","1,75979E-06","7,87928E-07","7,01853E-07","7,81668E-07","1,1688E-08","1,76013E-07","1,0123E-08"
"-0,189941777","6,32993E-07","4,21718E-07","3,99808E-07","6,90898E-07","1,1688E-08","5,90738E-07","4,79623E-07","4,78058E-07","1,05241E-06","1,0123E-08","1,76762E-06","1,54069E-06","7,48803E-07","1,74884E-06","7,81668E-07","7,03418E-07","7,78538E-07","1,1688E-08","1,72883E-07","8,558E-09"
"-0,187937854","6,29863E-07","4,20153E-07","3,96678E-07","6,89333E-07","1,3253E-08","5,90738E-07","4,84318E-07","4,74928E-07","1,04615E-06","1,0123E-08","1,7551E-06","1,53287E-06","7,44108E-07","1,74571E-06","7,80103E-07","6,97158E-07","7,76973E-07","1,1688E-08","1,74448E-07","8,558E-09"
"-0,185933932","6,22038E-07","4,13893E-07","3,93548E-07","6,78378E-07","1,3253E-08","5,79783E-07","4,74928E-07","4,76493E-07","1,04302E-06","8,558E-09","1,73945E-06","1,5313E-06","7,39413E-07","1,73632E-06","7,75408E-07","6,98723E-07","7,73843E-07","1,0123E-08","1,77578E-07","8,558E-09"
"-0,183930009","6,25168E-07","4,15458E-07","3,88853E-07","6,81508E-07","1,1688E-08","5,81348E-07","4,76493E-07","4,73363E-07","1,02268E-06","1,1688E-08","1,73632E-06","1,52191E-06","7,34718E-07","1,72849E-06","7,70713E-07","6,94028E-07","7,70713E-07","1,0123E-08","1,76013E-07","1,0123E-08"
"-0,181926086","6,18908E-07","4,13893E-07","3,88853E-07","6,75248E-07","1,1688E-08","5,76653E-07","4,78058E-07","4,73363E-07","1,02894E-06","8,558E-09","1,72223E-06","1,51252E-06","7,33153E-07","1,72223E-06","7,69148E-07","6,89333E-07","7,66018E-07","1,1688E-08","1,74448E-07","1,0123E-08"
