"2025-03-26_13h09m59s,02m",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"-0,19996139","1,35323E-07","9,6198E-08","1,40018E-07","4,7683E-08","1,1688E-08","1,0123E-08","1,57982E-06","1,75197E-06","1,67059E-06","8,08273E-07","1,1688E-08","1,3253E-08","1,42332E-06","2,07313E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,0123E-08","1,1688E-08","2,1078E-08"
"-0,197957468","1,36888E-07","9,6198E-08","1,40018E-07","4,7683E-08","1,1688E-08","1,0123E-08","1,57356E-06","1,74571E-06","1,66902E-06","8,00448E-07","1,1688E-08","1,1688E-08","1,41706E-06","2,07313E-07","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,7948E-08"
"-0,195953545","1,35323E-07","9,4633E-08","1,38453E-07","4,9248E-08","1,1688E-08","1,0123E-08","1,57199E-06","1,73945E-06","1,66589E-06","7,95753E-07","1,3253E-08","1,1688E-08","1,41236E-06","2,10443E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,3253E-08","2,1078E-08"
"-0,193949622","1,35323E-07","9,4633E-08","1,38453E-07","4,7683E-08","1,1688E-08","1,1688E-08","1,56417E-06","1,73632E-06","1,65807E-06","7,89493E-07","1,1688E-08","1,3253E-08","1,40454E-06","2,08878E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,0123E-08","1,1688E-08","1,9513E-08"
"-0,1919457","1,33758E-07","9,7763E-08","1,41583E-07","4,7683E-08","1,1688E-08","1,0123E-08","1,55791E-06","1,73006E-06","1,65494E-06","7,80103E-07","1,1688E-08","1,1688E-08","1,39984E-06","2,10443E-07","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,3253E-08","1,9513E-08"
"-0,189941777","1,32193E-07","9,7763E-08","1,41583E-07","4,7683E-08","1,1688E-08","1,1688E-08","1,55165E-06","1,7238E-06","1,65181E-06","7,75408E-07","1,1688E-08","1,1688E-08","1,39202E-06","2,05748E-07","1,1688E-08","1,0123E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,9513E-08"
"-0,187937854","1,32193E-07","9,6198E-08","1,41583E-07","4,6118E-08","1,1688E-08","1,1688E-08","1,54539E-06","1,72067E-06","1,64868E-06","7,67583E-07","1,0123E-08","1,3253E-08","1,38889E-06","2,04183E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,0123E-08","1,1688E-08","1,9513E-08"
"-0,185933932","1,29063E-07","9,7763E-08","1,41583E-07","4,6118E-08","1,1688E-08","1,1688E-08","1,53913E-06","1,71441E-06","1,64398E-06","7,66018E-07","1,1688E-08","1,1688E-08","1,38263E-06","2,04183E-07","1,4818E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,3253E-08","1,9513E-08"
"-0,183930009","1,32193E-07","9,4633E-08","1,43148E-07","4,2988E-08","1,1688E-08","1,1688E-08","1,53287E-06","1,70815E-06","1,63772E-06","7,55063E-07","1,1688E-08","1,3253E-08","1,3748E-06","2,04183E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,6383E-08"
"-0,181926086","1,29063E-07","9,4633E-08","1,44713E-07","4,2988E-08","1,1688E-08","1,1688E-08","1,52348E-06","1,70032E-06","1,63146E-06","7,50368E-07","1,1688E-08","1,1688E-08","1,37011E-06","2,05748E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,7948E-08"
