categoria,nome,vencimento,valor,status_code,parcela_atual,total_parcelas
CASA,Cadmia,6,158.0,pago,,
CASA,Aluguel,10,1325.0,pago,,
CASA,Internet,10,113.55,pago,,
CASA,Vivo,10,66.8,pago,,
CASA,Condominio,11,350.0,pago,,
CASA,Luz,13,263.06,pago,,
CASA,Larissel,15,30.0,pago,,
CASA,Geladeira,16,868.0,pago,4.0,10.0
M,renner,3,382.0,pago,,
M,JC,5,327.0,pago,1.0,7.0
M,Banrisul,10,389.15,pago,,
M,curso,10,100.0,pago,1.0,3.0
M,Banco do Brasil,16,0.0,pago,,
M,PicPay,18,0.0,pago,,
M,Moto,19,487.18,pago,,
M,Mercado Livre,21,628.28,pago,,
V,Contadora,6,300.0,pago,,
V,Apocalipse,16,1260.29,pago,12.0,32.0
V,PF,16,2595.64,pago,,
V,PJ,17,3954.0,pago,,
V,Cheque Especial,17,42.0,pago,,
V,Imposto,17,1000.0,pago,,
V,99,20,796.21,pago,,
